Dest,ArrDelay
OGG,0.33356407
SUN,0.258968437
FCA,0.212606666
KTN,0.161456628
GCC,0.042854127
ITO,-0.097232824
TWF,-0.123076923
ABR,-0.214073874
BRD,-0.225877193
CDV,-0.331766657
SPN,-0.604651163
GJT,-0.606274275
LIH,-0.717089112
BJI,-0.904852781
RHI,-0.976277372
ADQ,-1.033094507
VEL,-1.119791667
BLI,-1.13789715
AKN,-1.293929712
KOA,-1.305370663
OME,-1.343949045
RFD,-1.377637131
OTZ,-1.450719823
SIT,-1.461920772
COD,-1.486281683
ISN,-1.549598208
FAI,-1.557987127
SCC,-1.8260181
BET,-1.852247927
JNU,-1.949689191
GST,-2.068126521
ANC,-2.068773213
GTF,-2.165655471
YAK,-2.235619469
PIH,-2.456338028
EKO,-2.617977528
XWA,-2.894736842
HLN,-3.000123594
DIK,-3.286573146
CPR,-3.433686577
DLG,-3.846715328
BRW,-3.865311909
IMT,-3.917038359
INL,-4.674850488
HIB,-4.779290853
BTM,-4.904041873
LWS,-7.373298429
ADK,-7.468330134
FNL,-11
