Month,Airline,DelayType,DelayValue
3,Puerto Rico  ,LateAircraftDelay,2.75
3,Jetblue ,CarrierDelay,5.79
3,Jetblue ,WeatherDelay,0.33
3,Jetblue ,NASDelay,4.06
3,Jetblue ,SecurityDelay,0.03
3,Jetblue ,LateAircraftDelay,7.31
3,Delta ,CarrierDelay,3.05
3,Delta ,WeatherDelay,0.6
3,Delta ,NASDelay,1.95
3,Delta ,SecurityDelay,0.01
3,Delta ,LateAircraftDelay,2.19
3,Express Jet ,CarrierDelay,5.02
3,Express Jet ,WeatherDelay,0.25
3,Express Jet ,NASDelay,3.12
3,Express Jet ,LateAircraftDelay,4.87
3,Frontier ,CarrierDelay,3.8
3,Frontier ,WeatherDelay,0.25
3,Frontier ,NASDelay,4.21
3,Frontier ,LateAircraftDelay,7.38
3,Hawaiian ,CarrierDelay,2.71
3,Hawaiian ,WeatherDelay,0.24
3,Hawaiian ,NASDelay,0.07
3,Hawaiian ,SecurityDelay,0.02
3,Hawaiian ,LateAircraftDelay,1.67
3,Envoy Air,CarrierDelay,3.32
3,Envoy Air,WeatherDelay,0.72
3,Envoy Air,NASDelay,2.47
3,Envoy Air,SecurityDelay,0.02
3,Envoy Air,LateAircraftDelay,4.46
3,Spirit ,CarrierDelay,2.52
3,Spirit ,WeatherDelay,0.2
3,Spirit ,NASDelay,7.41
3,Spirit ,SecurityDelay,0.02
3,Spirit ,LateAircraftDelay,3.04
3,SkyWest ,CarrierDelay,4.48
3,SkyWest ,WeatherDelay,0.72
3,SkyWest ,NASDelay,2.59
3,SkyWest ,SecurityDelay,0.01
3,SkyWest ,LateAircraftDelay,5.22
4,Spirit ,CarrierDelay,2.61
4,Spirit ,WeatherDelay,0.27
4,Spirit ,NASDelay,7.49
4,Spirit ,SecurityDelay,0.02
4,Spirit ,LateAircraftDelay,3.59
4,SkyWest ,CarrierDelay,3.98
4,SkyWest ,WeatherDelay,0.68
4,SkyWest ,NASDelay,2.18
4,SkyWest ,SecurityDelay,0.01
4,SkyWest ,LateAircraftDelay,4.53
4,Express Jet ,CarrierDelay,4.94
4,Express Jet ,WeatherDelay,0.31
4,Express Jet ,NASDelay,3.34
4,Express Jet ,LateAircraftDelay,4.48
4,Frontier ,CarrierDelay,3.58
4,Frontier ,WeatherDelay,0.17
4,Frontier ,NASDelay,3.93
4,Frontier ,LateAircraftDelay,7.02
4,Envoy Air,CarrierDelay,2.77
4,Envoy Air,WeatherDelay,1.2
4,Envoy Air,NASDelay,3.08
4,Envoy Air,SecurityDelay,0.02
4,Envoy Air,LateAircraftDelay,4
4,SkyWest ,CarrierDelay,3.11
4,SkyWest ,WeatherDelay,0.44
4,SkyWest ,NASDelay,3.54
4,SkyWest ,LateAircraftDelay,4.81
4,Puerto Rico  ,CarrierDelay,3.08
4,Puerto Rico  ,WeatherDelay,0.15
4,Puerto Rico  ,NASDelay,2.67
4,Puerto Rico  ,SecurityDelay,0.02
4,Puerto Rico  ,LateAircraftDelay,2.1
4,Virgin America,CarrierDelay,2.07
4,Virgin America,WeatherDelay,0.73
4,Virgin America,NASDelay,6.34
4,Virgin America,SecurityDelay,0.08
4,Virgin America,LateAircraftDelay,5.24
4,Southwest ,CarrierDelay,2.89
4,Southwest ,WeatherDelay,0.3
4,Southwest ,NASDelay,1.5
4,Southwest ,SecurityDelay,0.01
4,Southwest ,LateAircraftDelay,4.82
4,American ,CarrierDelay,3.83
4,American ,WeatherDelay,0.59
4,American ,NASDelay,2.88
4,American ,SecurityDelay,0.01
4,American ,LateAircraftDelay,4.39
4,Alaska ,CarrierDelay,2.05
4,Alaska ,WeatherDelay,0.12
4,Alaska ,NASDelay,2.41
4,Alaska ,SecurityDelay,0.02
4,Alaska ,LateAircraftDelay,2.13
4,Jetblue ,CarrierDelay,5.35
4,Jetblue ,WeatherDelay,0.29
4,Jetblue ,NASDelay,4.54
4,Jetblue ,SecurityDelay,0.02
4,Jetblue ,LateAircraftDelay,7.61
4,Delta ,CarrierDelay,3.84
4,Delta ,WeatherDelay,0.97
4,Delta ,NASDelay,2.44
4,Delta ,SecurityDelay,0
4,Delta ,LateAircraftDelay,3.05
4,Hawaiian ,CarrierDelay,2.4
4,Hawaiian ,WeatherDelay,0.12
4,Hawaiian ,NASDelay,0.13
4,Hawaiian ,SecurityDelay,0.01
4,Hawaiian ,LateAircraftDelay,1.04
5,SkyWest ,CarrierDelay,3.42
5,SkyWest ,WeatherDelay,0.93
5,SkyWest ,NASDelay,4.44
5,SkyWest ,SecurityDelay,0
5,SkyWest ,LateAircraftDelay,5.66
5,Puerto Rico  ,CarrierDelay,2.53
5,Puerto Rico  ,WeatherDelay,0.23
5,Puerto Rico  ,NASDelay,2.46
5,Puerto Rico  ,SecurityDelay,0.02
5,Puerto Rico  ,LateAircraftDelay,2.08
5,Virgin America,CarrierDelay,2.63
5,Virgin America,WeatherDelay,0.5
5,Virgin America,NASDelay,7.13
5,Virgin America,SecurityDelay,0.03
5,Virgin America,LateAircraftDelay,6.36
5,Southwest ,CarrierDelay,3.15
5,Southwest ,WeatherDelay,0.47
5,Southwest ,NASDelay,1.73
5,Southwest ,SecurityDelay,0.02
5,Southwest ,LateAircraftDelay,5.63
5,Spirit ,CarrierDelay,3.65
5,Spirit ,WeatherDelay,0.57
5,Spirit ,NASDelay,7.25
5,Spirit ,SecurityDelay,0.04
5,Spirit ,LateAircraftDelay,5.62
5,SkyWest ,CarrierDelay,4.01
5,SkyWest ,WeatherDelay,0.81
5,SkyWest ,NASDelay,2.65
5,SkyWest ,SecurityDelay,0.02
5,SkyWest ,LateAircraftDelay,4.95
5,Express Jet ,CarrierDelay,5.06
5,Express Jet ,WeatherDelay,0.46
5,Express Jet ,NASDelay,3.87
5,Express Jet ,LateAircraftDelay,4.8
5,Hawaiian ,CarrierDelay,2.31
5,Hawaiian ,WeatherDelay,0.1
5,Hawaiian ,NASDelay,0.1
5,Hawaiian ,SecurityDelay,0.01
5,Hawaiian ,LateAircraftDelay,1.05
5,Envoy Air,CarrierDelay,3.27
5,Envoy Air,WeatherDelay,1.66
5,Envoy Air,NASDelay,3.65
5,Envoy Air,SecurityDelay,0.02
5,Envoy Air,LateAircraftDelay,5.35
5,Delta ,CarrierDelay,3.27
5,Delta ,WeatherDelay,0.45
5,Delta ,NASDelay,2.49
5,Delta ,SecurityDelay,0.01
5,Delta ,LateAircraftDelay,2.49
5,Jetblue ,CarrierDelay,4.78
5,Jetblue ,WeatherDelay,0.37
5,Jetblue ,NASDelay,4.5
5,Jetblue ,SecurityDelay,0.03
5,Jetblue ,LateAircraftDelay,6.24
5,Frontier ,CarrierDelay,4.12
5,Frontier ,WeatherDelay,0.26
5,Frontier ,NASDelay,4.72
5,Frontier ,LateAircraftDelay,9.37
5,American ,CarrierDelay,4.32
5,American ,WeatherDelay,0.9
5,American ,NASDelay,3.38
5,American ,SecurityDelay,0.01
5,American ,LateAircraftDelay,5.34
5,Alaska ,CarrierDelay,1.89
5,Alaska ,WeatherDelay,0.14
5,Alaska ,NASDelay,2.72
5,Alaska ,SecurityDelay,0.02
5,Alaska ,LateAircraftDelay,1.97
6,Spirit ,CarrierDelay,3.85
6,Spirit ,WeatherDelay,0.61
6,Spirit ,NASDelay,9.52
6,Spirit ,SecurityDelay,0.05
6,Spirit ,LateAircraftDelay,6.56
6,SkyWest ,CarrierDelay,4.98
6,SkyWest ,WeatherDelay,0.88
6,SkyWest ,NASDelay,2.88
6,SkyWest ,SecurityDelay,0.03
6,SkyWest ,LateAircraftDelay,6.13
6,Express Jet ,CarrierDelay,6.64
6,Express Jet ,WeatherDelay,0.5
6,Express Jet ,NASDelay,5.01
6,Express Jet ,LateAircraftDelay,6.52
6,Envoy Air,CarrierDelay,4.29
6,Envoy Air,WeatherDelay,1.36
6,Envoy Air,NASDelay,4.64
6,Envoy Air,SecurityDelay,0.02
