origin,dest
IAH, ABQ AEX AGS AMA ANC ASE ATL AUS BDL BFL BHM BNA BOI BOS BPT BRO BTR BWI BZN CAE CAK CHS CLE CLL CLT CMH COS CRP CRW CVG DAL DAY DCA DEN DFW DRO DSM DTW ECP EGE ELP EWR FLL GJT GPT GRK GRR GSO GSP GUC HDN HNL HOB HRL HSV IAD ICT IND ISN JAC JAN JAX JFK LAS LAX LBB LCH LEX LFT LGA LIT LRD MAF MCI MCO MEM MFE MIA MKE MLU MOB MSN MSP MSY MTJ MYR OAK OKC OMA ONT ORD ORF PBI PDX PHL PHX PIA PIT PNS PSP RAP RDU RIC RNO RSW SAN SAT SAV SDF SEA SFO SGF SHV SJC SJU SLC SMF SNA STL STT TPA TUL TUS TYR TYS VPS XNA
ICT, ATL AZA DAL DAY DEN DFW HYS IAH LAS LAX MDW MHK MSP ORD PHX SEA SFB STL VPS
IDA, AZA DEN LAS LAX MSP OAK SLC
IFP, PHX
ILG, MCO TPA
ILM, ATL CLT DCA DFW IAD LGA ORD PHL
IMT, DTW MSP RHI
IND, ATL AUS AZA BOS BWI CHS CLT DAL DCA DEN DFW DTW EWR FLL HOU IAD IAH JAX JFK LAS LAX LGA MCI MCO MDW MIA MSP MSY MYR OAK ORD PBI PGD PHL PHX PIE RDU RSW SAN SAV SEA SFB SFO SLC SRQ TPA TTN TUS VPS XNA
INL, BRD HIB MSP
ISN, BIL DEN IAH MSP
ISP, ATL BWI DTW FLL MCO MIA MSP MSY MYR ORD PBI RDU RSW SJU TPA
ITH, CLT DTW
ITO, HNL LAX OGG
JAC, ATL DEN DFW EWR IAD IAH JFK LAX LGA MSP ORD PHX SEA SFO SLC
JAN, ATL CLT DCA DEN DFW HOB IAH MCO ORD PIA
JAX, ATL AUS BLV BNA BOS BUF BWI CLE CLT CVG DAL DCA DEN DFW DTW EWR FLL GNV GRR HOU IAD IAH IND JFK LAS LCK LGA MCI MCO MDW MIA MKE MSP ORD ORF PHL PIT RDU SAT SDF STL TPA TTN
JFK, ABQ ACK ATL AUS BGR BNA BOS BQN BTV BUF BUR BWI CHS CLE CLT CMH CVG DAB DCA DEN DFW DTW EGE FLL HNL HOU HYA IAD IAH IND JAC JAX LAS LAX LGB MCO MIA MSP MSY MVY OAK ONT ORD ORF ORH PBI PDX PHL PHX PIT PSE PSP PWM RDU RIC RNO ROC RSW SAN SAT SAV SEA SFO SJC SJU SLC SMF SNA SRQ STT SYR TPA TUS
JLN, DFW ORD
JMS, DEN DVL
JNU, ANC FAI GST KTN PSG SEA SIT YAK
KOA, ANC BLI DEN DFW HNL LAX LIH OAK OGG PDX PHX SAN SEA SFO SJC SMF
KTN, JNU SEA SIT WRG
LAN, ATL AZO DCA DTW MBS MSP ORD PLN
LAR, DEN
LAS, ABQ ALB AMA ANC ATL ATW AUS AZA BDL BHM BIL BIS BLI BLV BNA BOI BOS BUF BUR BWI BZN CAK CID CLE CLT CMH COS CPR CVG DAL DCA DEN DFW DSM DTW ELP EUG EWR FAR FAT FCA FLL FNT FSD GEG GFK GJT GRI GRR GSP GTF HNL HOU IAD IAH ICT IDA IND JAX JFK LAX LBB LBE LGB LIT LRD MAF MCI MCO MDW MEM MFE MFR MHK MHT MIA MKE MLI MOT MRY MSN MSO MSP MSY OAK OGD OGG OKC OMA ONT ORD ORF PDX PHL PHX PIA PIT PSC RAP RDM RDU RFD RNO RSW SAN SAT SBN SCK SDF SEA SFO SGF SHV SJC SLC SMF SMX SNA STL TPA TUL TUS TYS XNA
LAW, DFW
LAX, ABQ ACV ANC ASE ATL AUS BDL BIL BLI BNA BOI BOS BUF BWI BZN CID CLD CLE CLT CMH COS CVG DAL DCA DEN DFW DRO DSM DTW EGE ELP EUG EWR FAR FAT FCA FLG FLL FSD GEG GJT HDN HNL HOU IAD IAH ICT IDA IND ITO JAC JFK KOA LAS LEX LIH LIT LWS MCI MCO MDW MEM MFE MFR MIA MKE MMH MRY MSN MSO MSP MSY MTJ OAK OGD OGG OKC OMA ORD PBI PDX PHL PHX PIT PRC PSC PSP PVU RAP RDD RDM RDU RNO SAF SAN SAT SBA SBN SBP SCK SDF SEA SFO SGF SGU SJC SLC SMF SMX SNA STL STS SUN SWO TPA TUL TUS XNA
LBB, AMA AUS DAL DEN DFW HOU IAH LAS PHX SAF
LBE, FLL LAS MCO MYR ORD RSW TPA
LBF, DEN
LBL, DEN PUB
LCH, DFW IAH
LCK, AUS CHS FLL JAX MSY MYR PGD PIE SAV SFB SRQ VPS
LEX, ATL CLT DCA DFW DTW EWR FLL IAD IAH LAX LGA MSP MYR ORD PGD PIE SAV SFB VPS
LFT, ATL BHM BTR DEN DFW IAH JAN MCO
LGA, ACK AGS ATL AVL BGR BHM BNA BOS BTV BUF BZN CAE CAK CHA CHO CHS CLE CLT CMH CVG DAB DAL DAY DCA DEN DFW DSM DTW EGE EYW FLL GRR GSO GSP HHH HOU IAD IAH ILM IND JAC JAX LAS LEX LIT MCI MCO MDW MEM MHT MIA MKE MSN MSP MSY MTJ MVY MYR OMA ORD ORF PBI PHL PHX PIT PWM RDU RIC ROA ROC RSW SAT SAV SBN SDF SRQ STL SYR TPA TVC TYS XNA
LGB, ANC AUS BOS BUF BZN DEN FLL HDN HNL JFK LAS MCO OAK PDX PHX RNO SEA SFO SJC SLC SMF
LIH, DEN DFW HNL KOA LAX OAK OGG PDX PHX SAN SEA SFO SJC
LIT, ATL BWI CLT DAL DCA DEN DFW DTW IAH LAS LAX LGA MCO MDW ORD PHX SFB STL VPS
LNK, ATL CMH DEN ICT MKE MSP ORD
LRD, DFW HRL IAH LAS
LSE, DTW MSP ORD
LWB, IAD ORD SHD
LWS, LAX SFO SLC
LYH, CLT
MAF, DAL DEN DFW HOU IAH LAS PHX
MBS, APN ATL DTW MSP ORD
MCI, ABQ ATL AUS AZA BNA BOS BWI CLT CVG DAL DCA DEN DFW DLH DSM DTW ECP EWR FLL HOU IAD IAH IND JAX LAS LAX LGA LNK MCO MDW MIA MKE MSP MSY MYR OAK OMA ORD PDX PGD PHL PHX PIE PNS RDU RSW SAN SAT SEA SFB SFO SLC SNA STL TPA VPS
MCO, ABQ ACY ALB ATL AUS AVL BDL BHM BMI BNA BOS BQN BTV BUF BWI CAK CID CLE CLT CMH COS CVG DAL DAY DCA DEN DFW DSM DTW EWR FLL FNT GRB GRR GSO GSP HOU HPN HSV IAD IAG IAH ILG IND ISP JAN JFK LAS LAX LBE LFT LGA LIT MCI MDT MDW MEM MHT MIA MKE MSN MSP MSY MYR OAK OKC OMA ONT ORD ORF ORH PBG PDX PHL PHX PIT PSE PSM PVD PWM RDU RIC ROC SAN SAT SDF SEA SFO SJC SJU SLC SMF STL STT SWF SYR TTN TUL TYS
MDT, ATL BNA CLT DEN DFW DTW HPN IAD MCO MYR ORD PGD PHL PIE RDU SFB SRQ
MDW, ABQ ALB ATL AUS BDL BHM BNA BOI BOS BUF BUR BWI CHS CLE CLT CMH CVG DAL DAY DCA DEN DSM DTW ECP EWR FLL FNT GEG GRR GSP HOU IAD ICT IND JAX LAS LAX LGA LIT MCI MCO MEM MHT MSP MSY OAK OKC OMA ONT ORF PBI PDX PHL PHX PIT PNS PVD PWM RDU RNO ROC RSW SAN SAT SDF SEA SFO SJC SJU SLC SMF SNA STL TPA TTN TUL TUS
MEI, DFW ORD PIB
MEM, ATL AUS AZA BWI CLT CVG DAL DCA DEN DFW DTW EWR FLL HOU IAD IAH LAS LAX LGA MCO MDW MIA MSP OAK ORD PGD PHL PHX PIE SAT SFB SLC TPA VPS
MFE, AZA BRO DFW IAH LAS LAX SFB
MFR, ACV AZA DEN LAS LAX PHX SEA SFO SLC
MGM, ATL CLT DCA DFW
MHK, BNA DFW GEG LAS ORD
MHT, ATL BTV BWI CLT DCA DTW EWR FLL IAD LAS LGA MCO MDW ORD PHL PHX TPA
