Origin,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
ABE,159.0,310.0,516.0,738.0,969.0,1168.0,1400.0,1631.0,1849.0,2088.0,2317.0,2466.0,2638.0,2795.0,2961.0,3128.0,3351.0,3588.0,3822.0,4056.0,4222.0,4422.0,4615.0,4789.0,4975.0,5094.0,5252.0,5384.0,5544.0,5677.0,5869.0,6047.0,6250.0,6502.0,6721.0,6883.0,7194.0,7475.0,7820.0,8184.0,8551.0,8883.0,9216.0,9567.0,9864.0,10201.0,10582.0,10949.0,11270.0,11605.0,12036.0,12511.0,12908.0,13340.0,13796.0,14247.0,14700.0,15126.0,15516.0,15873.0
ABI,225.0,408.0,641.0,835.0,1032.0,1238.0,1448.0,1656.0,1849.0,2041.0,2227.0,2423.0,2423.0,2423.0,2423.0,2423.0,2423.0,2427.0,2449.0,2475.0,2501.0,2530.0,2553.0,2580.0,2607.0,2620.0,2620.0,2620.0,2620.0,2620.0,2620.0,2620.0,2620.0,2620.0,2620.0,2620.0,2786.0,2919.0,3063.0,3231.0,3405.0,3572.0,3744.0,3921.0,4087.0,4261.0,4428.0,4600.0,4768.0,4920.0,5087.0,5245.0,5440.0,5638.0,5841.0,6049.0,6245.0,6449.0,6638.0,6831.0
ABQ,1566.0,2919.0,4577.0,6310.0,8140.0,10014.0,12043.0,13961.0,15713.0,17518.0,19134.0,20723.0,22151.0,23480.0,24950.0,26476.0,28152.0,29767.0,31390.0,33000.0,34609.0,36308.0,37907.0,39489.0,40867.0,42106.0,43580.0,45035.0,46681.0,48372.0,50086.0,51796.0,53473.0,55268.0,56789.0,58381.0,60153.0,61715.0,63594.0,65537.0,67587.0,69732.0,71957.0,74165.0,76216.0,78332.0,80255.0,82133.0,83824.0,85355.0,87220.0,89015.0,90961.0,92969.0,95048.0,97212.0,99224.0,101428.0,103423.0,105460.0
ABR,60.0,116.0,176.0,235.0,297.0,357.0,419.0,480.0,540.0,610.0,672.0,733.0,795.0,851.0,910.0,970.0,1032.0,1092.0,1153.0,1215.0,1274.0,1343.0,1407.0,1466.0,1526.0,1582.0,1643.0,1703.0,1765.0,1824.0,1885.0,1947.0,2007.0,2069.0,2128.0,2186.0,2245.0,2300.0,2362.0,2421.0,2482.0,2542.0,2603.0,2665.0,2725.0,2795.0,2864.0,2922.0,2982.0,3034.0,3092.0,3149.0,3211.0,3271.0,3333.0,3394.0,3453.0,3524.0,3591.0,3652.0
ABY,79.0,152.0,239.0,322.0,401.0,476.0,553.0,632.0,710.0,796.0,877.0,952.0,1031.0,1109.0,1198.0,1283.0,1369.0,1454.0,1540.0,1627.0,1711.0,1799.0,1878.0,1951.0,2032.0,2109.0,2196.0,2269.0,2353.0,2439.0,2523.0,2564.0,2564.0,2564.0,2564.0,2564.0,2644.0,2720.0,2808.0,2894.0,2982.0,3066.0,3154.0,3241.0,3320.0,3406.0,3491.0,3571.0,3654.0,3732.0,3820.0,3904.0,3991.0,4073.0,4156.0,4238.0,4317.0,4405.0,4486.0,4567.0
ACK,0.0,0.0,0.0,0.0,48.0,133.0,271.0,408.0,485.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,579.0,691.0,847.0,994.0,1087.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1156.0,1265.0,1444.0,1616.0,1725.0,1763.0,1763.0,1763.0,1763.0,1763.0,1763.0,1763.0,1799.0,1970.0,2251.0,2534.0,2663.0,2696.0,2696.0,2696.0,2696.0,2696.0,2696.0,2696.0,2749.0,2972.0,3321.0,3680.0,3817.0,3850.0,3850.0,3850.0
ACT,142.0,252.0,390.0,536.0,677.0,816.0,964.0,1110.0,1249.0,1390.0,1530.0,1679.0,1824.0,1961.0,2106.0,2244.0,2361.0,2428.0,2533.0,2641.0,2747.0,2857.0,2957.0,3055.0,3153.0,3255.0,3374.0,3386.0,3386.0,3386.0,3386.0,3386.0,3386.0,3386.0,3386.0,3386.0,3492.0,3593.0,3709.0,3837.0,3975.0,4117.0,4251.0,4395.0,4522.0,4660.0,4794.0,4918.0,5032.0,5135.0,5251.0,5407.0,5572.0,5736.0,5908.0,6076.0,6219.0,6363.0,6512.0,6651.0
ACV,146.0,271.0,367.0,476.0,573.0,679.0,798.0,915.0,1024.0,1143.0,1273.0,1387.0,1506.0,1619.0,1709.0,1824.0,1945.0,2062.0,2180.0,2293.0,2411.0,2524.0,2641.0,2748.0,2833.0,2914.0,3003.0,3089.0,3182.0,3275.0,3372.0,3464.0,3576.0,3688.0,3798.0,3897.0,3993.0,4076.0,4162.0,4249.0,4341.0,4482.0,4624.0,4774.0,4893.0,5033.0,5178.0,5325.0,5439.0,5540.0,5660.0,5778.0,5899.0,6069.0,6241.0,6463.0,6636.0,6838.0,7013.0,7222.0
ACY,334.0,637.0,996.0,1354.0,1695.0,2011.0,2350.0,2685.0,2952.0,3197.0,3474.0,3772.0,4066.0,4342.0,4647.0,4959.0,5294.0,5612.0,5943.0,6281.0,6538.0,6775.0,7056.0,7372.0,7694.0,7974.0,8274.0,8569.0,8868.0,9154.0,9450.0,9756.0,9965.0,10194.0,10467.0,10763.0,11057.0,11336.0,11640.0,11905.0,12168.0,12424.0,12685.0,12945.0,13184.0,13424.0,13705.0,14003.0,14301.0,14563.0,14873.0,15163.0,15410.0,15637.0,15854.0,16070.0,16283.0,16508.0,16771.0,17061.0
ADK,9.0,17.0,25.0,34.0,42.0,50.0,58.0,67.0,75.0,84.0,91.0,97.0,106.0,113.0,120.0,128.0,137.0,146.0,155.0,163.0,172.0,181.0,189.0,198.0,207.0,215.0,224.0,233.0,239.0,248.0,257.0,266.0,274.0,281.0,288.0,296.0,304.0,311.0,320.0,328.0,337.0,346.0,354.0,363.0,372.0,380.0,388.0,397.0,406.0,413.0,420.0,428.0,437.0,445.0,454.0,462.0,470.0,479.0,488.0,495.0
