FlightDate,DepDelay,ArrDelay,Cancelled
2015-09-02,24,27,0
2015-09-03,33,35,0
2015-09-04,36,38,0
2015-09-05,26,25,0
2015-09-06,19,18,0
2015-09-07,23,21,0
2015-09-08,37,35,1
2015-09-09,32,33,0
2015-09-10,38,42,2
2015-09-11,33,33,0
2015-09-12,26,27,0
2015-09-13,31,30,0
2015-09-14,27,24,0
2015-09-15,23,23,0
2015-09-16,26,27,0
2015-09-17,38,38,0
2015-09-18,34,34,0
2015-09-19,25,23,0
2015-09-20,26,24,0
2015-09-21,27,25,0
2015-09-22,20,20,0
2015-09-23,20,20,0
2015-09-24,25,25,0
2015-09-25,32,33,0
2015-09-26,23,22,0
2015-09-27,29,28,0
2015-09-28,28,28,0
2015-09-29,26,30,0
2015-09-30,30,31,0
2015-10-01,36,39,0
2015-10-02,38,42,0
2015-10-03,28,29,0
2015-10-04,31,31,0
2015-10-05,28,28,0
2015-10-06,22,23,0
2015-10-07,24,22,0
2015-10-08,29,27,0
2015-10-09,37,38,0
2015-10-10,30,27,0
2015-10-11,35,28,0
2015-10-12,24,21,0
2015-10-13,23,19,0
2015-10-14,24,21,0
2015-10-15,31,29,0
2015-10-16,34,34,0
2015-10-17,25,22,0
2015-10-18,33,32,0
2015-10-19,28,25,0
2015-10-20,22,22,0
2015-10-21,25,24,0
2015-10-22,31,31,0
2015-10-23,37,37,3
2015-10-24,31,28,0
2015-10-25,30,28,0
2015-10-26,30,28,0
2015-10-27,22,24,0
2015-10-28,32,35,1
2015-10-29,30,30,0
2015-10-30,29,31,1
2015-10-31,30,29,1
2015-11-01,33,31,0
2015-11-02,37,36,1
2015-11-03,23,22,0
2015-11-04,27,28,1
2015-11-05,38,41,1
2015-11-06,37,36,0
2015-11-07,25,24,0
2015-11-08,29,26,0
2015-11-09,31,30,0
2015-11-10,26,29,0
2015-11-11,30,31,1
2015-11-12,34,35,0
2015-11-13,28,28,0
2015-11-14,20,19,0
2015-11-15,30,29,0
2015-11-16,33,34,1
2015-11-17,37,41,2
2015-11-18,41,42,3
2015-11-19,39,37,1
2015-11-20,38,35,0
2015-11-21,39,37,6
2015-11-22,41,35,1
2015-11-23,29,24,0
2015-11-24,30,26,0
2015-11-25,22,22,0
2015-11-26,21,22,0
2015-11-27,26,28,0
2015-11-28,34,34,0
2015-11-29,36,36,0
2015-11-30,38,36,0
2015-12-01,39,36,0
2015-12-02,39,40,0
2015-12-03,31,32,0
2015-12-04,23,23,0
2015-12-05,21,19,0
2015-12-06,27,23,0
2015-12-07,29,28,1
2015-12-08,19,19,0
2015-12-09,20,22,0
2015-12-10,28,29,0
2015-12-11,28,29,0
