Date,Airline,TotalCancelled
2016-Jun,Jetblue Airways,201
2016-Jun,Delta Air Lines,13
2016-Jun,Virgin America,71
2016-Jun,SkyWest Airlines,357
2016-Jun,Southwest Airlines,1510
2016-Jun,SkyWest Airlines,422
2016-Jun,Hawaiian Airlines,11
2016-Jun,Frontier Airlines,7
2016-Jun,Express Jet Airlines,1254
2016-Jun,Spirit Airlines,270
2016-Jul,American Airlines,1432
2016-Jul,Alaska Airlines,20
2016-Jul,Jetblue Airways,510
2016-Jul,Delta Air Lines,241
2016-Jul,SkyWest Airlines,561
2016-Jul,Virgin America,32
2016-Jul,Southwest Airlines,3395
2016-Jul,SkyWest Airlines,501
2016-Jul,Frontier Airlines,31
2016-Jul,Hawaiian Airlines,16
2016-Jul,Spirit Airlines,251
2016-Jul,Express Jet Airlines,2319
2016-Aug,American Airlines,1498
2016-Aug,Alaska Airlines,25
2016-Aug,Jetblue Airways,315
2016-Aug,Delta Air Lines,1807
2016-Aug,SkyWest Airlines,356
2016-Aug,Virgin America,17
2016-Aug,SkyWest Airlines,313
2016-Aug,Southwest Airlines,703
2016-Aug,Express Jet Airlines,1609
2016-Aug,Frontier Airlines,36
2016-Aug,Hawaiian Airlines,17
2016-Aug,Spirit Airlines,197
2016-Sep,SkyWest Airlines,175
2016-Sep,SkyWest Airlines,187
2016-Sep,Virgin America,18
2016-Sep,Southwest Airlines,315
2016-Sep,American Airlines,243
2016-Sep,Alaska Airlines,34
2016-Sep,Jetblue Airways,110
2016-Sep,Delta Air Lines,10
2016-Sep,Express Jet Airlines,324
2016-Sep,Frontier Airlines,43
2016-Sep,Hawaiian Airlines,9
2016-Sep,Spirit Airlines,49
2016-Oct,American Airlines,825
2016-Oct,Alaska Airlines,84
2016-Oct,Jetblue Airways,536
2016-Oct,Delta Air Lines,473
2016-Oct,Hawaiian Airlines,6
2016-Oct,Express Jet Airlines,318
2016-Oct,Spirit Airlines,295
2016-Oct,SkyWest Airlines,533
2016-Oct,Frontier Airlines,122
2016-Oct,SkyWest Airlines,349
2016-Oct,Virgin America,70
2016-Oct,Southwest Airlines,936
2016-Nov,American Airlines,181
2016-Nov,Alaska Airlines,10
2016-Nov,Jetblue Airways,42
2016-Nov,Delta Air Lines,0
2016-Nov,Virgin America,13
2016-Nov,Southwest Airlines,220
2016-Nov,SkyWest Airlines,116
2016-Nov,Express Jet Airlines,345
2016-Nov,Frontier Airlines,6
2016-Nov,Hawaiian Airlines,11
2016-Nov,Spirit Airlines,38
2016-Nov,SkyWest Airlines,328
2016-Dec,American Airlines,550
2016-Dec,Alaska Airlines,232
