Date,Airline,TotalCancelled
2019-Aug,Alaska Airlines,228
2019-Aug,Southwest Airlines,1539
2019-Aug,Hawaiian Airlines,16
2019-Aug,Frontier Airlines,202
2019-Aug,Jetblue Airways,248
2019-Aug,SkyWest Airlines,517
2019-Aug,Envoy Air,1038
2019-Aug,Spirit Airlines,564
2019-Aug,PSA Airlines,956
2019-Aug,SkyWest Airlines,886
2019-Aug,Endeavor Air,667
2019-Aug,Express Jet Airlines,671
2019-Aug,American Airlines,1869
2019-Sep,Spirit Airlines,763
2019-Sep,Mesa Airlines,548
2019-Sep,Republic Airways,329
2019-Sep,Frontier Airlines,305
2019-Sep,SkyWest Airlines,1320
2019-Sep,Alaska Airlines,117
2019-Sep,Allegiant Air,144
2019-Sep,Southwest Airlines,1781
2019-Sep,American Airlines,1130
2019-Sep,Endeavor Air,112
2019-Sep,Hawaiian Airlines,18
2019-Sep,Express Jet Airlines,504
2019-Sep,Envoy Air,776
2019-Sep,PSA Airlines,475
2019-Sep,Jetblue Airways,505
2019-Sep,Delta Air Lines,407
2019-Sep,SkyWest Airlines,782
2019-Oct,Express Jet Airlines,96
2019-Oct,Envoy Air,420
2019-Oct,Hawaiian Airlines,16
2019-Oct,Allegiant Air,6
2019-Oct,Endeavor Air,113
2019-Oct,Mesa Airlines,393
2019-Oct,Southwest Airlines,1414
2019-Oct,Republic Airways,126
2019-Oct,Spirit Airlines,114
2019-Oct,Frontier Airlines,188
2019-Oct,SkyWest Airlines,725
2019-Oct,PSA Airlines,316
2019-Oct,Alaska Airlines,121
2019-Oct,Jetblue Airways,96
2019-Oct,Delta Air Lines,10
2019-Oct,SkyWest Airlines,151
2019-Oct,American Airlines,867
2019-Nov,PSA Airlines,207
2019-Nov,SkyWest Airlines,1188
2019-Nov,SkyWest Airlines,265
2019-Nov,Southwest Airlines,1136
2019-Nov,Delta Air Lines,57
2019-Nov,Express Jet Airlines,89
2019-Nov,Frontier Airlines,98
2019-Nov,Allegiant Air,25
2019-Nov,Hawaiian Airlines,12
2019-Nov,Envoy Air,415
2019-Nov,Spirit Airlines,88
2019-Nov,Mesa Airlines,108
2019-Nov,Republic Airways,141
2019-Nov,Alaska Airlines,175
2019-Nov,Endeavor Air,40
2019-Nov,American Airlines,387
2019-Nov,Jetblue Airways,15
2019-Dec,American Airlines,177
2019-Dec,Republic Airways,558
2019-Dec,Express Jet Airlines,233
2019-Dec,Alaska Airlines,241
2019-Dec,Hawaiian Airlines,8
2019-Dec,Frontier Airlines,139
2019-Dec,Endeavor Air,246
2019-Dec,SkyWest Airlines,1531
2019-Dec,Envoy Air,379
2019-Dec,Spirit Airlines,98
2019-Dec,PSA Airlines,273
2019-Dec,SkyWest Airlines,139
2019-Dec,Southwest Airlines,1194
2019-Dec,Allegiant Air,70
2019-Dec,Mesa Airlines,298
2019-Dec,Jetblue Airways,183
2019-Dec,Delta Air Lines,26
