Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,Count2,15minDepDelay,15minArrDelay,Type
2017,0,0,45,1,1,0,0,0,0,0.0,1.0,,y
1,0,0,45,1,1,0,0,0,0,0.0,1.0,,m
Fri,0,0,45,1,1,0,0,0,0,0.0,1.0,,d
