Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.021321961620469083,1.4465981779414616,3.933514246947083,0.0015506881178522969,5159,3.07947276603993,2.284357433611165,0.003295212250436131,0.6644698584997093,3.689608375339279,5158,0.1128125605737546,0.1733229934082978,y
2016,0.015995872033023734,2.2306501547987616,3.0884932920536636,0.0015479876160990713,3876,2.3991228070175437,1.753611971104231,0.0,0.510061919504644,0.2509025270758123,3878,0.09107327141382869,0.13047962867457452,y
2017,0.0202284626368396,4.832222751070919,9.14588291289862,0.002141837220371252,4202,4.457639219419324,2.8802950975725845,0.06663493574488338,1.1675392670157068,6.545324768022841,4203,0.12232270347453593,0.17511301451344277,y
2018,0.020673076923076922,3.888701923076923,8.678365384615384,0.0028846153846153848,4160,5.723798076923077,3.1115384615384616,0.0,1.1817307692307693,4.363876863876864,4158,0.14326923076923076,0.1693121693121693,y
2019,0.02723623853211009,3.864105504587156,8.60177752293578,0.0020068807339449542,3488,5.896502293577981,3.099197247706422,0.0040137614678899085,0.5711009174311926,5.149655963302752,3488,0.15252293577981652,0.18176605504587157,y
1,0.038461538461538464,2.986390532544379,8.315976331360947,0.0017751479289940828,1690,5.3378698224852075,3.18698224852071,0.0053254437869822485,0.9349112426035503,7.894923258559622,1694,0.14970414201183432,0.21310507674144039,m
2,0.04031765424557117,3.7806963958460598,7.445937690897984,0.0030543677458766036,1637,4.73365913255956,2.4080635308491143,0.0,0.7379352474037875,3.8350641417226634,1637,0.1240073304825901,0.17532070861331706,m
3,0.009942438513867086,1.6577708006279435,2.0842490842490844,0.0010465724751439038,1911,2.8351648351648353,1.9926739926739927,0.0,0.3270538984824699,1.3949843260188088,1914,0.09419152276295134,0.13479623824451412,m
4,0.012979683972911963,3.4288939051918734,5.713882618510158,0.000564334085778781,1772,3.8781038374717833,2.8188487584650113,0.0,0.7240406320541761,2.3453928773318258,1769,0.10609480812641084,0.14754098360655737,m
5,0.01262493424513414,3.129405576012625,5.378748027354024,0.0010520778537611783,1901,3.353498158863756,3.0147290899526564,0.0,0.6622830089426618,4.38421052631579,1900,0.10994213571804314,0.15368421052631578,m
6,0.030477285796434734,2.8844163312248416,8.500862564692351,0.0040253018976423235,1739,5.958021851638873,2.7602070155261647,0.16216216216216217,0.425531914893617,9.088658606793322,1737,0.1437607820586544,0.20898100172711573,m
7,0.022186147186147188,3.6915584415584415,8.757575757575758,0.003246753246753247,1848,5.1731601731601735,3.169372294372294,0.0016233766233766235,0.43398268398268397,7.308648648648648,1850,0.1525974025974026,0.20864864864864865,m
8,0.022539857064321055,3.211654755360088,7.150632215503023,0.0021990104452996153,1819,4.332600329851567,2.7987905442550853,0.0,0.8977460142935679,4.919647771051183,1817,0.12644310060472788,0.170610897083104,m
9,0.01054590570719603,3.5366004962779156,3.619727047146402,0.0024813895781637717,1612,2.380893300248139,2.2878411910669976,0.0,0.380272952853598,-0.402975821450713,1613,0.09491315136476426,0.1314321140731556,m
10,0.009586578789694428,3.5392450569203118,6.526063511084482,0.0011983223487118035,1669,4.025763930497304,1.4739364889155182,0.0,1.7327741162372678,-0.14619532654284004,1669,0.10784901138406232,0.11563810665068903,m
11,0.012704174228675136,2.38777979431337,3.9001814882032666,0.0012099213551119178,1653,3.3151845130066544,2.3992740471869327,0.0,0.22686025408348456,-0.3075060532687651,1652,0.10405323653962492,0.12227602905569007,m
12,0.03182374541003672,3.919828641370869,11.674418604651162,0.0024479804161566705,1634,5.520807833537332,2.885556915544676,0.01040391676866585,2.575887392900857,7.333129210042866,1633,0.16952264381884946,0.21371708511941212,m
Mon,0.032471626733921816,4.284363177805801,9.496216897856241,0.0012610340479192938,3172,5.561475409836065,3.2367591424968474,0.0,0.8139974779319041,5.121345488839988,3181,0.14060529634300126,0.17887456774599184,d
Tue,0.020292747837658016,2.9743845642049234,5.63872255489022,0.001996007984031936,3006,3.6483699268130407,2.6889554224883567,0.002328675981370592,0.937125748502994,1.9419183538001992,3013,0.1164337990685296,0.15300365084633255,d
Wed,0.02040144784468575,2.236920039486673,5.478117801908523,0.0019743336623889436,3039,3.985521553142481,2.6561368871339255,0.0746956235603817,0.7597894044093452,3.510075982821275,3027,0.11813096413293847,0.1635282457879088,d
Thu,0.016721311475409836,2.5055737704918033,6.45344262295082,0.0022950819672131148,3050,4.798360655737705,2.38655737704918,0.020327868852459016,0.9150819672131147,5.696949819612988,3049,0.12131147540983607,0.18301082322072812,d
Fri,0.015108593012275733,3.074283915643689,5.726786276361347,0.0015738117721120553,3177,4.428391564368901,2.015423355366698,0.0031476235442241107,0.46207113629209945,5.391891891891892,3182,0.13157066414856783,0.17661847894406035,d
Sat,0.014257425742574258,3.0015841584158416,6.055049504950495,0.002376237623762376,2525,3.371089108910891,2.3817821782178217,0.0,1.3794059405940593,2.990854870775348,2515,0.11287128712871287,0.14234592445328031,d
Sun,0.026406035665294925,4.030178326474623,6.829218106995885,0.0027434842249657062,2916,3.552469135802469,2.8535665294924555,0.0017146776406035665,0.6066529492455418,3.0174777244688142,2918,0.11968449931412894,0.16141192597669637,d
