Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,Count2,15minDepDelay,15minArrDelay,Type
2016,0,0,157,1,1,0,0,0,0,0.0,1.0,,y
11,0,0,157,1,1,0,0,0,0,0.0,1.0,,m
Mon,0,0,157,1,1,0,0,0,0,0.0,1.0,,d
