Date,Airline,DelayType,DelayValue
2015-01,AA,CarrierDelay,4.73
2015-01,AA,WeatherDelay,0.58
2015-01,AA,NASDelay,2.33
2015-01,AA,SecurityDelay,0.01
2015-01,AA,LateAircraftDelay,5.24
2015-01,AS,CarrierDelay,2.19
2015-01,AS,WeatherDelay,0.56
2015-01,AS,NASDelay,1.77
2015-01,AS,SecurityDelay,0.01
2015-01,AS,LateAircraftDelay,3.08
2015-01,B6,CarrierDelay,3.73
2015-01,B6,WeatherDelay,0.46
2015-01,B6,NASDelay,3.94
2015-01,B6,SecurityDelay,0.06
2015-01,B6,LateAircraftDelay,5.29
2015-01,DL,CarrierDelay,2.79
2015-01,DL,WeatherDelay,0.65
2015-01,DL,NASDelay,1.88
2015-01,DL,SecurityDelay,0.01
2015-01,DL,LateAircraftDelay,1.89
2015-01,US,CarrierDelay,3.11
2015-01,US,WeatherDelay,0.24
2015-01,US,NASDelay,2.99
2015-01,US,SecurityDelay,0.03
2015-01,US,LateAircraftDelay,2.5
2015-01,VX,CarrierDelay,2.15
2015-01,VX,WeatherDelay,0.85
2015-01,VX,NASDelay,3.21
2015-01,VX,SecurityDelay,0.03
2015-01,VX,LateAircraftDelay,2.61
2015-01,WN,CarrierDelay,2.83
2015-01,WN,WeatherDelay,0.29
2015-01,WN,NASDelay,1.33
2015-01,WN,SecurityDelay,0.01
2015-01,WN,LateAircraftDelay,4.81
2015-01,UA,CarrierDelay,4.65
2015-01,UA,WeatherDelay,0.89
2015-01,UA,NASDelay,3.05
2015-01,UA,SecurityDelay,0
2015-01,UA,LateAircraftDelay,4.48
2015-01,NK,CarrierDelay,2.35
2015-01,NK,WeatherDelay,0.07
2015-01,NK,NASDelay,10.88
2015-01,NK,SecurityDelay,0.04
2015-01,NK,LateAircraftDelay,2.86
2015-01,MQ,CarrierDelay,5.35
2015-01,MQ,WeatherDelay,1.97
2015-01,MQ,NASDelay,5.52
2015-01,MQ,SecurityDelay,0.04
2015-01,MQ,LateAircraftDelay,8.95
2015-01,OO,CarrierDelay,4.62
2015-01,OO,WeatherDelay,0.66
2015-01,OO,NASDelay,2.93
2015-01,OO,SecurityDelay,0.01
2015-01,OO,LateAircraftDelay,7.48
2015-01,EV,CarrierDelay,4.69
2015-01,EV,WeatherDelay,0.4
2015-01,EV,NASDelay,3.42
2015-01,EV,LateAircraftDelay,5.28
2015-01,HA,CarrierDelay,2.67
2015-01,HA,WeatherDelay,0.22
2015-01,HA,NASDelay,0.27
2015-01,HA,SecurityDelay,0.03
2015-01,HA,LateAircraftDelay,2.37
2015-01,F9,CarrierDelay,4.94
2015-01,F9,WeatherDelay,0.19
2015-01,F9,NASDelay,7.19
2015-01,F9,LateAircraftDelay,9.89
2015-02,AS,CarrierDelay,2.16
2015-02,AS,WeatherDelay,0.29
2015-02,AS,NASDelay,1.85
2015-02,AS,SecurityDelay,0.02
2015-02,AS,LateAircraftDelay,3.1
2015-02,DL,CarrierDelay,4.32
2015-02,DL,WeatherDelay,1.77
2015-02,DL,NASDelay,2.87
2015-02,DL,SecurityDelay,0
2015-02,DL,LateAircraftDelay,3.76
2015-02,B6,CarrierDelay,6.85
2015-02,B6,WeatherDelay,1.13
2015-02,B6,NASDelay,5.58
2015-02,B6,SecurityDelay,0.06
2015-02,B6,LateAircraftDelay,9.43
2015-02,EV,CarrierDelay,5.05
2015-02,EV,WeatherDelay,0.53
2015-02,EV,NASDelay,3.67
2015-02,EV,LateAircraftDelay,5.77
2015-02,F9,CarrierDelay,6.36
2015-02,F9,WeatherDelay,0.75
2015-02,F9,NASDelay,10.66
2015-02,F9,LateAircraftDelay,12.88
2015-02,HA,CarrierDelay,3.65
2015-02,HA,WeatherDelay,0.43
2015-02,HA,NASDelay,0.13
2015-02,HA,SecurityDelay,0
2015-02,HA,LateAircraftDelay,2.66
2015-02,MQ,CarrierDelay,5.25
2015-02,MQ,WeatherDelay,2.75
2015-02,MQ,NASDelay,6.52
2015-02,MQ,SecurityDelay,0.03
2015-02,MQ,LateAircraftDelay,9.87
2015-02,NK,CarrierDelay,4.91
2015-02,NK,WeatherDelay,0.79
2015-02,NK,NASDelay,8.08
2015-02,NK,SecurityDelay,0.02
2015-02,NK,LateAircraftDelay,6.89
2015-02,OO,CarrierDelay,3.87
2015-02,OO,WeatherDelay,0.9
2015-02,OO,NASDelay,2.96
2015-02,OO,SecurityDelay,0.01
2015-02,OO,LateAircraftDelay,6.77
2015-02,US,CarrierDelay,4.29
2015-02,US,WeatherDelay,0.73
2015-02,US,NASDelay,3.67
2015-02,US,SecurityDelay,0.03
2015-02,US,LateAircraftDelay,3.64
2015-02,VX,CarrierDelay,2.25
2015-02,VX,WeatherDelay,0.91
2015-02,VX,NASDelay,5.89
2015-02,VX,SecurityDelay,0
2015-02,VX,LateAircraftDelay,5.26
2015-02,WN,CarrierDelay,2.91
2015-02,WN,WeatherDelay,0.38
2015-02,WN,NASDelay,1.5
2015-02,WN,SecurityDelay,0
2015-02,WN,LateAircraftDelay,4.49
2015-02,UA,CarrierDelay,4.64
2015-02,UA,WeatherDelay,1.06
2015-02,UA,NASDelay,3.37
2015-02,UA,LateAircraftDelay,4.35
2015-02,AA,CarrierDelay,4.48
2015-02,AA,WeatherDelay,1.38
2015-02,AA,NASDelay,3.34
2015-02,AA,SecurityDelay,0.01
2015-02,AA,LateAircraftDelay,4.29
2015-03,WN,CarrierDelay,3.1
2015-03,WN,WeatherDelay,0.26
2015-03,WN,NASDelay,1.2
2015-03,WN,SecurityDelay,0.02
2015-03,WN,LateAircraftDelay,4.65
2015-03,VX,CarrierDelay,2.47
2015-03,VX,WeatherDelay,0.77
2015-03,VX,NASDelay,4.14
2015-03,VX,SecurityDelay,0.02
2015-03,VX,LateAircraftDelay,4.53
2015-03,UA,CarrierDelay,4.11
2015-03,UA,WeatherDelay,0.73
2015-03,UA,NASDelay,2.91
2015-03,UA,LateAircraftDelay,4.53
2015-03,US,CarrierDelay,2.96
2015-03,US,WeatherDelay,0.31
2015-03,US,NASDelay,3.11
2015-03,US,SecurityDelay,0.04
2015-03,US,LateAircraftDelay,2.75
2015-03,AA,CarrierDelay,4.99
2015-03,AA,WeatherDelay,0.41
2015-03,AA,NASDelay,2.45
2015-03,AA,SecurityDelay,0.01
2015-03,AA,LateAircraftDelay,4.96
2015-03,AS,CarrierDelay,2.4
2015-03,AS,WeatherDelay,0.18
2015-03,AS,NASDelay,1.77
2015-03,AS,SecurityDelay,0.02
2015-03,AS,LateAircraftDelay,2.78
2015-03,B6,CarrierDelay,4.96
2015-03,B6,WeatherDelay,0.46
2015-03,B6,NASDelay,5.18
2015-03,B6,SecurityDelay,0.02
2015-03,B6,LateAircraftDelay,7.12
2015-03,DL,CarrierDelay,3.49
2015-03,DL,WeatherDelay,0.73
2015-03,DL,NASDelay,2.28
2015-03,DL,SecurityDelay,0
2015-03,DL,LateAircraftDelay,2.56
2015-03,EV,CarrierDelay,4.2
2015-03,EV,WeatherDelay,0.3
2015-03,EV,NASDelay,2.63
2015-03,EV,LateAircraftDelay,4.91
2015-03,F9,CarrierDelay,5.15
2015-03,F9,WeatherDelay,0.26
2015-03,F9,NASDelay,7.98
2015-03,F9,LateAircraftDelay,9.57
2015-03,HA,CarrierDelay,2.86
2015-03,HA,WeatherDelay,0.29
2015-03,HA,NASDelay,0.04
2015-03,HA,SecurityDelay,0
2015-03,HA,LateAircraftDelay,1.49
2015-03,MQ,CarrierDelay,4.84
2015-03,MQ,WeatherDelay,1.2
2015-03,MQ,NASDelay,3.62
2015-03,MQ,SecurityDelay,0.04
2015-03,MQ,LateAircraftDelay,6.16
2015-03,NK,CarrierDelay,3.88
2015-03,NK,WeatherDelay,0.36
2015-03,NK,NASDelay,5.96
2015-03,NK,SecurityDelay,0.03
2015-03,NK,LateAircraftDelay,5.26
2015-03,OO,CarrierDelay,2.92
2015-03,OO,WeatherDelay,0.32
2015-03,OO,NASDelay,1.92
2015-03,OO,SecurityDelay,0.01
2015-03,OO,LateAircraftDelay,4.16
2015-04,NK,CarrierDelay,2.47
2015-04,NK,WeatherDelay,0.42
2015-04,NK,NASDelay,6.29
2015-04,NK,SecurityDelay,0.02
2015-04,NK,LateAircraftDelay,4.14
2015-04,OO,CarrierDelay,2.96
2015-04,OO,WeatherDelay,0.23
2015-04,OO,NASDelay,1.92
2015-04,OO,SecurityDelay,0.01
2015-04,OO,LateAircraftDelay,3.97
2015-04,EV,CarrierDelay,3.87
2015-04,EV,WeatherDelay,0.21
2015-04,EV,NASDelay,2.76
2015-04,EV,LateAircraftDelay,3.78
2015-04,F9,CarrierDelay,3.16
2015-04,F9,WeatherDelay,0.17
2015-04,F9,NASDelay,6.93
2015-04,F9,LateAircraftDelay,5.85
2015-04,MQ,CarrierDelay,3.07
2015-04,MQ,WeatherDelay,1.65
2015-04,MQ,NASDelay,3.41
2015-04,MQ,SecurityDelay,0.04
2015-04,MQ,LateAircraftDelay,4.1
2015-04,UA,CarrierDelay,4.1
2015-04,UA,WeatherDelay,0.43
2015-04,UA,NASDelay,2.75
2015-04,UA,LateAircraftDelay,4.8
2015-04,US,CarrierDelay,3.08
2015-04,US,WeatherDelay,0.15
2015-04,US,NASDelay,2.67
2015-04,US,SecurityDelay,0.02
2015-04,US,LateAircraftDelay,2.1
2015-04,VX,CarrierDelay,1.64
2015-04,VX,WeatherDelay,0.84
2015-04,VX,NASDelay,2.62
2015-04,VX,SecurityDelay,0
2015-04,VX,LateAircraftDelay,2.96
2015-04,WN,CarrierDelay,2.66
2015-04,WN,WeatherDelay,0.34
2015-04,WN,NASDelay,1.22
2015-04,WN,SecurityDelay,0
2015-04,WN,LateAircraftDelay,4.38
2015-04,AA,CarrierDelay,3.85
2015-04,AA,WeatherDelay,1.06
2015-04,AA,NASDelay,2.88
2015-04,AA,SecurityDelay,0.01
2015-04,AA,LateAircraftDelay,4.91
2015-04,AS,CarrierDelay,1.88
2015-04,AS,WeatherDelay,0.17
2015-04,AS,NASDelay,1.2
2015-04,AS,SecurityDelay,0.02
2015-04,AS,LateAircraftDelay,1.68
2015-04,B6,CarrierDelay,3.29
2015-04,B6,WeatherDelay,0.25
2015-04,B6,NASDelay,3.45
2015-04,B6,SecurityDelay,0.02
2015-04,B6,LateAircraftDelay,4.28
2015-04,DL,CarrierDelay,2.84
2015-04,DL,WeatherDelay,0.5
2015-04,DL,NASDelay,1.96
2015-04,DL,SecurityDelay,0
2015-04,DL,LateAircraftDelay,2.12
2015-04,HA,CarrierDelay,1.8
2015-04,HA,WeatherDelay,0.07
2015-04,HA,NASDelay,0.02
2015-04,HA,LateAircraftDelay,0.57
2015-05,UA,CarrierDelay,4.02
2015-05,UA,WeatherDelay,0.86
2015-05,UA,NASDelay,3.3
2015-05,UA,SecurityDelay,0.01
2015-05,UA,LateAircraftDelay,5.69
2015-05,US,CarrierDelay,2.53
2015-05,US,WeatherDelay,0.23
2015-05,US,NASDelay,2.46
2015-05,US,SecurityDelay,0.02
2015-05,US,LateAircraftDelay,2.08
2015-05,VX,CarrierDelay,1.99
2015-05,VX,WeatherDelay,0.71
2015-05,VX,NASDelay,5.14
2015-05,VX,SecurityDelay,0.02
2015-05,VX,LateAircraftDelay,4.73
2015-05,WN,CarrierDelay,3.26
2015-05,WN,WeatherDelay,0.66
2015-05,WN,NASDelay,1.4
2015-05,WN,SecurityDelay,0.01
2015-05,WN,LateAircraftDelay,5.81
2015-05,NK,CarrierDelay,5.89
