Dest,Carrier,National Air System,Security,Weather
JLN,26.0,13.0,,66.0
JMS,10.0,30.0,,141.0
JNU,95.0,2.0,,89.0
KOA,108.0,1.0,,6.0
KTN,46.0,1.0,,26.0
LAN,24.0,110.0,,158.0
LAR,11.0,9.0,,90.0
LAS,3397.0,701.0,6.0,2543.0
LAW,91.0,13.0,,116.0
LAX,6122.0,1871.0,13.0,3509.0
LBB,123.0,92.0,,407.0
LBE,33.0,10.0,1.0,91.0
LBF,3.0,2.0,,27.0
LBL,,2.0,,20.0
LCH,21.0,60.0,,125.0
LCK,2.0,,,7.0
LEX,121.0,271.0,,345.0
LFT,90.0,107.0,,252.0
LGA,4430.0,7293.0,11.0,9912.0
LGB,325.0,47.0,,95.0
LIH,107.0,1.0,,9.0
LIT,146.0,213.0,,433.0
LNK,16.0,60.0,,123.0
LRD,57.0,67.0,,125.0
LSE,13.0,69.0,,126.0
LWB,7.0,6.0,,30.0
LWS,2.0,,,3.0
LYH,29.0,1.0,,29.0
MAF,186.0,99.0,,494.0
MBS,15.0,25.0,,210.0
MCI,976.0,415.0,1.0,1855.0
MCO,2553.0,677.0,29.0,6012.0
MDT,60.0,75.0,,255.0
MDW,2252.0,486.0,1.0,7285.0
MEI,39.0,8.0,,39.0
MEM,298.0,422.0,,745.0
MFE,136.0,74.0,,226.0
MFR,14.0,79.0,,216.0
MGM,52.0,18.0,,125.0
MHK,23.0,62.0,,103.0
MHT,118.0,215.0,,557.0
MIA,1367.0,314.0,4.0,3667.0
MKE,509.0,516.0,1.0,1403.0
MKG,6.0,26.0,,145.0
MLB,26.0,5.0,,68.0
MLI,50.0,140.0,,242.0
MLU,95.0,44.0,,108.0
MMH,4.0,12.0,,176.0
MOB,112.0,107.0,,300.0
MOT,18.0,14.0,,105.0
MQT,1.0,11.0,,116.0
MRY,80.0,85.0,,236.0
MSN,149.0,410.0,,529.0
MSO,12.0,14.0,,44.0
MSP,1319.0,603.0,5.0,3932.0
MSY,911.0,265.0,5.0,1724.0
MTJ,32.0,14.0,,72.0
MVY,,6.0,,10.0
MYR,211.0,96.0,2.0,639.0
OAJ,32.0,27.0,,150.0
OAK,2825.0,186.0,3.0,532.0
OGD,,,,2.0
OGG,254.0,4.0,,40.0
OGS,11.0,4.0,,18.0
OKC,290.0,188.0,2.0,805.0
OMA,267.0,346.0,,858.0
OME,25.0,1.0,,97.0
ONT,423.0,114.0,,489.0
ORD,5678.0,9742.0,8.0,20755.0
ORF,412.0,717.0,2.0,971.0
ORH,45.0,11.0,1.0,74.0
OTH,2.0,11.0,,53.0
OTZ,18.0,,,71.0
OWB,,1.0,,3.0
PAE,,14.0,,26.0
PAH,11.0,21.0,,131.0
