CityName,AVG(f.ArrDelay)
Los Angeles,33.7528
New York,49.8782
Honolulu,23.4813
Dallas/Fort Worth,42.5384
Kahului,22.3596
San Francisco,46.6726
Miami,38.1424
Las Vegas,31.4994
Ontario,29.3931
Washington,38.4068
Orlando,37.9993
Atlanta,38.4019
Phoenix,30.1402
Tampa,35.0184
Philadelphia,39.7830
Hayden,34.7558
San Diego,28.4463
Chicago,42.6703
Seattle,28.8527
Detroit,41.3799
San Jose,27.1828
Salt Lake City,32.4906
Kona,18.9943
San Juan,36.3363
Denver,36.7267
St. Louis,30.6253
Portland,30.3425
Jackson,42.2475
Charlotte,32.9687
Cleveland,40.3157
Houston,36.5760
Sacramento,28.3345
Tucson,32.0418
Boston,43.8500
Reno,29.8917
New Orleans,32.9541
Santa Ana,24.4076
Hartford,36.4413
Fort Myers,36.0231
San Antonio,31.7936
Milwaukee,35.0325
West Palm Beach/Palm Beach,39.4731
Baltimore,31.5174
Nashville,32.4936
Newark,52.9438
Jacksonville,34.5095
Austin,32.9434
Raleigh/Durham,36.1139
Lihue,19.0496
Kansas City,31.3014
Norfolk,37.4255
Colorado Springs,41.3797
Charlotte Amalie,35.1229
Memphis,34.1018
Fort Lauderdale,38.3727
Mission/McAllen/Edinburg,38.6234
Indianapolis,35.7882
Oklahoma City,33.7186
Pittsburgh,35.3729
Tulsa,32.8764
El Paso,31.5805
Minneapolis,38.6238
Columbus,34.8889
Palm Springs,32.3060
Dayton,39.5754
Albuquerque,29.9421
Gunnison,38.3729
Louisville,34.4759
Birmingham,34.6494
Eagle,50.9778
Des Moines,36.3822
Richmond,40.8571
Omaha,33.0651
Christiansted,31.6374
Fresno,35.9566
Little Rock,31.4431
Wichita,34.3768
Montrose/Delta,31.9171
Ketchikan,24.3417
Juneau,25.2390
Wrangell,28.1044
Sitka,26.6810
Anchorage,24.9775
Bellingham,27.3339
Burbank,27.1230
Spokane,28.0562
Barrow,24.1496
Deadhorse,21.5553
Kotzebue,19.6398
Oakland,27.1533
Fairbanks,23.3019
Petersburg,29.0866
Cordova,22.5497
Yakutat,23.9116
Nome,19.6372
Bethel,21.4866
Kodiak,21.2215
Long Beach,33.4288
White Plains,44.9323
Syracuse,40.3174
Rochester,39.4883
Savannah,37.3638
Burlington,43.0323
Sarasota/Bradenton,32.8780
Buffalo,38.5063
Newburgh/Poughkeepsie,45.2498
Providence,35.3838
Ponce,41.2330
Aguadilla,40.3268
Charleston,35.6656
Worcester,44.4155
Grand Rapids,36.6889
Cincinnati,40.7422
Sioux Falls,37.9456
Panama City,37.1244
