Origin,DepDelay
ABE,10.641896062214542
ABI,7.541767468336417
ABQ,8.475728609813412
ABR,9.624865156418554
ABY,11.29876328921675
ACK,23.09207870837538
ACT,5.900448560266242
ACV,15.404131355932204
ACY,7.604843337541604
ADK,4.942418426103647
ADQ,-2.1344251108836576
AEX,7.298379473328832
AGS,11.267546490701859
AKN,-1.4121405750798721
ALB,8.117768395889962
ALO,8.734548335974644
AMA,6.420315814282348
ANC,0.8724688407992013
APN,12.955704270235818
ART,15.277777777777779
ASE,16.395912300260125
ATL,9.14581169986658
ATW,7.286843591191417
ATY,14.441682600382409
AUS,9.412114589593692
AVL,11.965824502218474
AVP,10.001099551721222
AZA,9.782945736434108
AZO,6.1481610902419845
BDL,7.35613083785202
BET,-3.041248363160192
BFF,4.579649708090075
BFL,5.383150419625565
BFM,6.082278481012659
BGM,11.643363728470112
BGR,12.557674370401077
BHM,9.165954113335811
BIL,3.5418117504007074
BIS,8.050464888671398
BJI,7.245910577971647
BKG,12.721854304635762
BLI,1.901048492791612
BLV,21.257858546168958
BMI,7.833178005591798
BNA,10.108537396648398
BOI,6.56093679223339
BOS,11.44537756864542
BPT,11.469688221709006
BQK,8.069508609827803
BQN,14.324108969527297
BRD,5.506578947368421
BRO,4.8855635404348225
BRW,-3.8974480151228734
BTM,3.2395924308588064
BTR,10.60157979610244
BTV,12.591669443518827
BUF,8.682543752195919
BUR,7.928422148439656
BWI,10.49078919886618
BZN,7.419993809965955
CAE,8.826241512921689
CAK,10.276325379472066
CDC,1.9855783982816815
CDV,-5.4734513274336285
CEC,15.947368421052632
CGI,13.92397302268547
CHA,11.361989770987392
CHO,13.515135164301515
CHS,9.144587168039665
CID,9.882571316920671
CIU,13.732998225901833
CKB,18.82882882882883
CLD,5.244929797191888
CLE,8.87528520069859
CLL,4.746498013798871
CLT,9.450596899611206
CMH,8.636650868878357
CMI,7.502699855129725
CMX,14.432958596106388
CNY,7.227381905524419
COD,4.950536508767338
COS,11.249339672477548
COU,12.11886849232621
CPR,0.27086007702182285
CRP,6.004288777698356
