Origin,Carrier,National Air System,Security,Weather
JAX,437.0,411.0,4.0,1137.0
JFK,1576.0,3973.0,19.0,5142.0
JLN,33.0,14.0,,72.0
JMS,15.0,52.0,,205.0
JNU,104.0,,,141.0
KOA,230.0,1.0,,8.0
KTN,86.0,1.0,,61.0
LAN,30.0,99.0,,157.0
LAR,13.0,6.0,,88.0
LAS,3582.0,764.0,3.0,2503.0
LAW,99.0,13.0,,114.0
LAX,5951.0,1850.0,14.0,3160.0
LBB,148.0,92.0,,413.0
LBE,40.0,10.0,2.0,98.0
LBF,2.0,3.0,,29.0
LBL,1.0,2.0,,21.0
LCH,29.0,57.0,,129.0
LCK,6.0,,,10.0
LEX,159.0,242.0,,350.0
LFT,116.0,111.0,,267.0
LGA,4437.0,7336.0,10.0,10277.0
LGB,279.0,117.0,,94.0
LIH,256.0,2.0,,10.0
LIT,187.0,210.0,,439.0
LNK,20.0,71.0,,116.0
LRD,68.0,70.0,,119.0
LSE,22.0,64.0,,136.0
LWB,7.0,11.0,,29.0
LWS,1.0,,,5.0
LYH,35.0,,,30.0
MAF,233.0,109.0,,514.0
MBS,25.0,33.0,,228.0
MCI,1048.0,425.0,,1879.0
MCO,2482.0,701.0,25.0,5914.0
MDT,94.0,83.0,,263.0
MDW,2119.0,505.0,1.0,7421.0
MEI,40.0,6.0,,47.0
MEM,391.0,458.0,,779.0
MFE,155.0,79.0,,229.0
MFR,25.0,87.0,,206.0
MGM,66.0,22.0,,131.0
MHK,32.0,63.0,,113.0
MHT,168.0,204.0,,553.0
MIA,1292.0,292.0,4.0,3646.0
MKE,604.0,513.0,2.0,1366.0
MKG,12.0,26.0,,154.0
MLB,35.0,5.0,,70.0
MLI,72.0,138.0,,243.0
MLU,99.0,49.0,1.0,111.0
MMH,7.0,11.0,,185.0
MOB,136.0,107.0,,316.0
MOT,19.0,11.0,,110.0
MQT,3.0,12.0,,126.0
MRY,84.0,71.0,,278.0
MSN,188.0,388.0,,543.0
MSO,24.0,9.0,,54.0
MSP,1406.0,579.0,2.0,3804.0
MSY,1111.0,282.0,6.0,1790.0
MTJ,44.0,17.0,,83.0
MVY,2.0,11.0,,11.0
MYR,240.0,136.0,2.0,679.0
OAJ,44.0,27.0,,157.0
OAK,2685.0,174.0,2.0,513.0
OGD,,,,2.0
OGG,494.0,11.0,,45.0
OGS,12.0,5.0,,20.0
OKC,377.0,177.0,2.0,840.0
OMA,376.0,332.0,,862.0
OME,28.0,,,110.0
ONT,499.0,135.0,,514.0
ORD,4613.0,9449.0,9.0,19903.0
ORF,493.0,726.0,,995.0
ORH,53.0,12.0,1.0,82.0
OTH,5.0,12.0,,60.0
OTZ,24.0,2.0,,104.0
OWB,1.0,1.0,,3.0
PAE,,13.0,,18.0
PAH,12.0,25.0,,155.0
PBG,16.0,3.0,1.0,32.0
PBI,457.0,247.0,,1397.0
PDX,914.0,180.0,1.0,827.0
PGD,16.0,2.0,,41.0
PGV,25.0,2.0,,45.0
PHF,70.0,9.0,,123.0
PHL,2195.0,1396.0,7.0,5236.0
PHX,3314.0,427.0,18.0,2673.0
PIA,78.0,139.0,2.0,281.0
PIB,35.0,7.0,,29.0
PIE,25.0,1.0,,52.0
PIH,1.0,,,13.0
PIR,3.0,4.0,,21.0
PIT,834.0,751.0,1.0,1288.0
PLN,19.0,14.0,,158.0
PNS,165.0,115.0,,412.0
PPG,1.0,,,
PRC,,1.0,,12.0
PSC,43.0,24.0,,148.0
PSE,37.0,37.0,,40.0
PSG,33.0,,,28.0
PSM,4.0,,,5.0
PSP,166.0,82.0,,382.0
PUB,7.0,8.0,,44.0
PVD,390.0,363.0,2.0,1044.0
PVU,5.0,,,7.0
PWM,209.0,601.0,,517.0
RAP,47.0,31.0,,242.0
RDD,13.0,35.0,,151.0
RDM,18.0,62.0,,235.0
RDU,1108.0,992.0,1.0,2429.0
RFD,3.0,,,7.0
RHI,7.0,8.0,,83.0
RIC,463.0,745.0,1.0,941.0
RKS,8.0,12.0,,64.0
RNO,356.0,85.0,,456.0
ROA,41.0,66.0,,130.0
ROC,265.0,581.0,,603.0
ROW,27.0,3.0,,88.0
RST,39.0,103.0,,255.0
RSW,554.0,169.0,1.0,1307.0
SAF,102.0,5.0,,86.0
SAN,2504.0,950.0,10.0,1537.0
SAT,725.0,84.0,1.0,1113.0
SAV,257.0,362.0,,677.0
SBA,122.0,141.0,1.0,395.0
SBN,68.0,110.0,,284.0
SBP,49.0,68.0,1.0,271.0
SCC,24.0,,,64.0
SCE,9.0,36.0,,79.0
SCK,5.0,1.0,,3.0
SDF,336.0,399.0,,672.0
SEA,1627.0,394.0,1.0,1603.0
SFB,13.0,5.0,,109.0
SFO,3935.0,4299.0,8.0,5776.0
SGF,86.0,168.0,,365.0
SGU,11.0,3.0,,29.0
SHD,6.0,10.0,,22.0
SHV,237.0,101.0,,284.0
SIT,40.0,1.0,,21.0
SJC,2231.0,142.0,1.0,534.0
SJT,62.0,28.0,,98.0
SJU,463.0,344.0,7.0,1103.0
SLC,663.0,153.0,1.0,1263.0
SLN,,4.0,,35.0
SMF,1188.0,158.0,1.0,740.0
SMX,3.0,4.0,,23.0
SNA,854.0,298.0,1.0,857.0
SPI,48.0,40.0,,161.0
SPN,2.0,1.0,,6.0
SPS,72.0,17.0,,107.0
SRQ,105.0,44.0,,154.0
STC,1.0,,,11.0
STL,1260.0,794.0,,2283.0
STS,15.0,40.0,1.0,148.0
STT,77.0,41.0,1.0,256.0
STX,10.0,14.0,,42.0
SUN,228.0,6.0,,475.0
SUX,14.0,51.0,,58.0
SWF,58.0,4.0,1.0,64.0
SWO,6.0,16.0,,33.0
SYR,250.0,447.0,1.0,566.0
TLH,120.0,46.0,,187.0
TOL,44.0,62.0,,105.0
TPA,1427.0,337.0,4.0,2685.0
TRI,49.0,11.0,,67.0
TTN,140.0,,,146.0
TUL,267.0,195.0,,592.0
TUS,278.0,79.0,1.0,460.0
TVC,47.0,149.0,,245.0
TWF,5.0,,,26.0
TXK,61.0,25.0,,94.0
