Dest,AVG(CarrierDelay),AVG(WeatherDelay),AVG(NASDelay),AVG(SecurityDelay),AVG(LateAircraftDelay),COUNT(carrierDelay),COUNT(WeatherDelay),COUNT(NASDelay),COUNT(SecurityDelay),COUNT(LateAircraftDelay)
PGD,5.6324,1.1512,2.9652,0.0312,8.4814,1012,216,1445,12,1469
IFP,6.2418,0.6786,1.7390,0.0000,2.2280,32,1,39,0,24
STS,6.0806,0.8416,1.6148,0.0279,5.0445,384,22,499,2,522
CKB,10.2749,1.8287,2.3961,0.0000,9.1403,181,21,221,0,261
FNL,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
UIN,8.6871,0.8165,2.2685,0.0000,7.6379,151,19,203,0,214
CGI,7.9816,1.1225,1.3554,0.0000,8.0760,119,13,118,0,241
SWO,2.3733,1.2016,1.6088,0.0000,2.9857,114,31,109,0,107
SFB,7.3518,1.1800,2.3977,0.0599,9.2908,2308,437,2687,51,3546
PIE,5.1871,1.1557,2.2092,0.0179,8.1044,1202,347,1494,20,1789
BLV,6.2996,1.4973,2.1692,0.0187,3.5652,211,58,246,3,198
HGR,5.8442,3.1059,2.8411,0.0000,3.5919,32,15,30,0,25
RFD,3.9093,0.5225,1.7996,0.0218,2.1976,101,24,105,2,94
OWB,4.9340,0.5189,2.0755,0.0000,4.4575,22,3,30,0,29
HTS,4.7620,2.3571,1.5535,0.0208,4.7204,181,64,159,2,170
USA,4.8758,1.6924,2.6033,0.0131,5.1272,173,61,292,1,289
LCK,6.0545,1.7372,1.6652,0.0270,4.6728,193,53,250,4,218
AZA,5.3983,0.9997,2.2559,0.0640,8.8138,1270,228,1468,33,1813
OGD,3.8658,0.6450,2.3117,0.0000,2.7403,23,6,31,0,20
PVU,4.6996,0.6118,1.4071,0.0361,3.7451,105,12,97,4,91
YNG,48.5000,0.0000,11.0000,0.0000,0.0000,2,0,2,0,0
SCK,4.0876,1.5143,2.0477,0.0309,4.8737,178,19,202,1,225
PSM,6.0510,0.8455,1.8607,0.0359,2.5683,59,11,62,1,45
OGS,13.3748,1.5802,3.1169,0.0285,6.3763,61,11,63,1,51
HVN,2.7392,1.0440,1.7359,0.0241,7.0634,166,39,168,3,208
LYH,3.7568,1.5348,1.1983,0.0000,6.0747,228,68,165,0,245
BFF,8.8824,0.9458,1.3503,0.0000,4.3770,91,13,81,0,117
FLO,6.0294,0.2706,1.5471,0.0000,7.3824,30,2,18,0,20
LBF,7.9139,1.0192,1.5828,0.0000,3.9323,83,10,86,0,119
LBL,4.9309,1.0590,1.7580,0.0000,6.6189,61,12,126,0,142
PGV,6.3145,1.9047,1.6342,0.0102,10.0338,172,44,127,1,160
SHD,11.2294,1.1966,1.4749,0.0000,12.8806,106,15,142,0,212
