Dest,AVG(CarrierDelay),AVG(WeatherDelay),AVG(NASDelay),AVG(SecurityDelay),AVG(LateAircraftDelay),COUNT(carrierDelay),COUNT(WeatherDelay),COUNT(NASDelay),COUNT(SecurityDelay),COUNT(LateAircraftDelay)
DSM,3.9492,0.8454,1.8940,0.0083,4.9696,5712,959,5259,22,5743
RIC,5.3500,0.6944,2.0947,0.0129,5.7071,11586,1342,9738,55,10814
OMA,3.7997,0.6027,1.4783,0.0129,4.5770,11031,1271,8353,41,11028
STX,5.1705,0.8946,1.5077,0.1196,3.3042,700,109,491,22,458
FAT,4.3273,0.3070,1.2188,0.0194,5.4675,3795,266,3936,15,4922
LIT,3.5743,0.7726,1.6951,0.0142,4.1007,5587,972,4862,24,5371
ICT,4.1080,0.7650,1.8049,0.0063,4.5982,4526,666,4090,11,4579
MTJ,4.3488,0.7658,1.9079,0.0070,3.8707,689,82,632,2,525
BET,1.7547,0.7457,0.6203,0.0000,1.2440,194,63,237,0,115
ANC,2.2726,0.3527,1.3824,0.1259,2.6091,5878,623,7602,488,5084
BRW,0.7240,0.6186,0.7037,0.0121,2.9256,76,65,244,5,236
SCC,1.7018,0.5344,0.6138,0.0000,1.6550,191,50,225,0,141
FAI,2.3273,0.3138,1.3254,0.0221,2.0352,1071,110,1383,19,841
KTN,2.6723,0.3432,1.2384,0.0213,2.4474,787,72,1063,11,641
JNU,2.1780,0.4558,0.9915,0.0569,2.4820,1088,163,1590,53,1158
SIT,2.1918,0.2577,1.0441,0.0187,3.2669,383,38,584,3,503
PSG,1.9675,0.5216,1.2163,0.0223,5.1361,195,48,354,5,327
WRG,1.5229,0.6651,1.2624,0.0369,5.3283,166,62,402,9,367
OME,1.3758,0.6084,0.8696,0.0446,1.8903,173,61,274,12,168
OTZ,1.8959,0.6033,0.8923,0.0197,0.9585,167,33,206,6,72
ADK,1.6699,0.1075,1.4511,0.0000,1.6507,24,1,36,0,20
OAK,2.7821,0.1251,1.1710,0.0204,4.8314,28157,715,18927,163,32137
BLI,2.8767,0.2841,1.5043,0.0028,2.7671,381,40,492,2,402
BUR,2.9422,0.1846,0.8911,0.0171,4.7039,13078,380,8233,85,15303
GEG,3.5947,0.3646,1.1246,0.0146,3.8164,5642,372,4446,31,5360
ADQ,1.7045,1.1215,0.8424,0.0000,1.0638,145,57,192,0,81
YAK,0.7030,0.1778,1.0019,0.0838,4.0169,105,23,310,11,323
CDV,1.9137,0.2715,1.0044,0.0000,3.0594,198,25,317,0,248
LGB,3.3989,0.2488,1.1259,0.0200,5.8388,8606,280,5186,51,8648
HPN,6.8115,1.0265,2.3152,0.0357,6.3569,7260,616,4793,39,5529
PWM,4.8915,0.7541,2.2449,0.0148,5.6438,4856,436,3785,26,4522
SYR,4.8907,0.6791,1.9804,0.0103,5.6925,5579,638,4425,25,5033
ROC,4.5131,0.7349,1.8343,0.0276,5.0712,6075,712,4254,23,5578
BTV,4.8991,0.9648,2.3578,0.0026,6.1623,3472,392,3006,8,3389
SAV,4.1528,0.9070,1.9428,0.0108,4.6452,5647,924,5252,23,5148
SRQ,3.4601,0.7083,2.0033,0.0083,3.4074,2430,377,2223,11,1826
BUF,4.5818,0.6181,1.5988,0.0209,5.3335,13078,1165,8347,62,11566
SWF,8.4057,1.1434,2.5355,0.0374,4.9209,1029,148,671,7,749
PVD,4.1800,0.6050,1.6179,0.0271,5.0316,8738,827,5833,50,8264
PSE,8.1269,0.2861,1.7386,0.0460,8.0131,1041,33,386,9,749
BQN,6.9408,0.5498,2.8315,0.0619,7.5139,2030,116,1165,16,1519
CHS,3.9401,0.6653,1.7242,0.0152,4.3997,9320,1176,7420,57,8152
ORH,7.6722,0.9258,2.0474,0.0447,4.6411,754,63,430,7,435
BZN,3.4224,0.7972,1.5915,0.0082,3.6075,2263,309,2041,4,1889
DLH,4.4526,3.0414,1.5387,0.0158,4.2113,967,258,917,5,1142
GRR,4.2022,0.8705,1.9370,0.0160,4.6927,6927,1118,6305,20,6723
CAE,5.0320,0.6892,1.6306,0.0034,5.1928,3026,435,2331,8,2751
MOB,4.9561,1.2344,1.9032,0.0074,4.1709,2559,431,2399,6,2369
CVG,3.8479,0.7587,2.1253,0.0115,5.9757,14276,2360,14378,65,16334
LEX,5.3283,0.8121,1.7951,0.0113,4.3948,3520,561,3022,14,3339
EYW,3.6707,1.1171,1.7157,0.0009,2.0210,1071,188,1216,3,813
TLH,3.8693,0.9264,1.3102,0.0123,3.6919,1978,404,1553,13,1694
FAR,4.3905,1.2154,1.9094,0.0028,3.8950,2117,424,2325,5,2126
FSD,4.9579,0.9399,2.2514,0.0073,4.7898,2756,472,2998,6,2712
MHT,3.8049,0.6281,1.3463,0.0186,5.0461,4099,382,2567,17,4312
SGF,4.0139,1.1155,1.9923,0.0123,4.2770,2858,693,3023,12,2710
DAB,3.3680,1.0242,1.4510,0.0138,2.9402,1193,318,937,14,938
MDW,2.3581,0.5212,1.5007,0.0193,4.0527,41117,3643,31286,297,45302
BIL,3.6491,0.8152,1.2539,0.0051,3.3826,1379,212,1212,2,1228
MDT,4.2154,1.1265,1.9667,0.0052,3.7347,2009,411,1865,7,1758
HSV,4.1333,0.9209,1.5109,0.0045,4.1984,2821,578,2297,8,2538
GSO,4.3655,0.8475,2.2760,0.0030,5.2689,4718,825,4841,8,4851
MSO,3.4088,0.9354,1.3092,0.0027,3.0293,1069,133,1013,2,959
GSP,4.3830,0.8326,1.7711,0.0063,5.0164,5366,840,4434,19,5211
PNS,3.5382,0.9178,1.6489,0.0117,3.9477,4253,769,3350,17,3709
