Tail_Number,AVG(TaxiIn)
N944DN,6.3903
N550NW,7.4352
N386DA,7.7578
N319NB,7.1626
N315US,6.6380
N307DQ,6.7822
N679DA,7.5227
N654DL,7.5409
N664DN,7.1822
N954AT,7.1311
N959AT,7.0302
N950DN,6.4150
N130DL,9.3394
N950DL,6.7078
N584NW,7.8257
N922DL,6.7778
N358NB,7.1741
N332NW,7.1082
N596NW,7.9078
N931DL,6.5554
N532US,7.5073
N957AT,7.2114
N316US,6.5266
N956DN,6.4803
N355NB,7.1708
N387DA,7.6436
N589NW,7.8847
N689DL,7.8092
N3759,7.5628
N127DL,9.5064
N908DL,6.8030
N906DL,6.7869
N809DN,7.3055
N376NW,7.2946
N965DL,6.6839
N3745B,7.7586
N333NB,7.0100
N900DE,6.7452
N998AT,7.0421
N306DQ,6.7524
N171DZ,10.5486
N986AT,7.1288
N382DA,7.8490
N969DL,6.6614
N960DL,6.7228
N310DE,6.6249
N366NW,6.9632
N984DL,6.6047
N659DL,7.3554
N906AT,7.0173
N6709,7.4987
N3754A,7.6624
N316NB,6.9426
N676DL,7.5301
N819DN,7.2941
N338NB,7.1363
N929DN,6.3228
N320NB,7.1809
N339NW,7.1575
N990DL,6.6044
N590NW,8.0331
N900PC,7.8843
N368NW,7.1184
N919DL,6.6287
N904DL,6.6023
N304DQ,6.7938
N907DE,6.6960
N821DN,7.3754
N3772H,7.6613
N3764D,7.7665
N396DA,7.7314
N960DN,6.4505
N364NW,7.0008
N902DE,6.7003
N698DL,7.6675
N924AT,7.1560
N301NB,7.1079
N359NB,7.2395
N911DE,6.8333
N663DN,7.3548
N927DN,6.4935
N915AT,7.1582
N918DH,6.4678
N522US,7.3831
N934DN,6.5757
N3732J,7.6171
N342NB,7.6238
N978DL,6.6936
N938DL,6.7680
N952DL,6.8270
N954DL,6.7302
N326US,7.1268
N347NB,7.2759
N681DA,7.5924
N816DN,7.2590
N942DL,6.7175
N930DN,6.5698
N377NW,7.2362
N3738B,7.5453
N895AT,7.2163
N376DA,7.6323
N912DN,6.4728
N687DL,7.5267
N350NA,7.1710
N362NW,7.0354
N302NB,7.2155
N964DL,6.7594
N327NB,6.9010
N397DA,7.5171
N959DL,6.7401
N343NW,7.3349
N617DL,7.3531
N817DN,7.3401
N914DN,6.5008
N905DE,6.6757
N329NW,7.1320
N690DL,7.6394
N340NW,7.1968
N121DE,9.2407
N324US,7.1172
N126DL,9.0676
N983DL,6.7450
N957DL,6.7066
N333NW,7.0865
N391DA,7.6808
N6715C,7.6328
N751AT,7.5931
N969AT,6.9339
N369NB,7.1866
N820DN,7.3029
N970DL,6.8172
N711ZX,10.1076
N587NW,7.9593
N960AT,6.9779
N301DQ,6.7710
N922AT,7.2114
N989AT,7.1222
N925DN,6.4591
N961AT,6.9568
N360NB,7.1647
N3771K,7.7200
N525US,7.9067
N921DL,6.6952
N390DA,7.7213
N707TW,10.3480
N915DL,6.5987
N3755D,7.7378
N136DL,9.0723
N533US,7.6063
N958DN,6.5132
N956DL,6.7236
N916DL,6.5878
N339NB,7.7307
N802DN,7.2592
N3747D,7.6615
N675DL,7.5755
N321NB,7.0385
N395DN,7.6186
N3761R,7.7581
N393DA,7.6173
N979AT,7.1690
N326NB,7.0625
N968DL,6.7908
N137DL,8.9393
N367NW,7.0969
N338NW,7.0636
N949DN,6.4602
N727TW,10.3504
N583NW,7.9264
N618DL,7.6294
N373NW,6.8673
N139DL,9.1621
N967AT,7.2434
N803DN,7.3753
N825DN,7.3323
N366NB,7.0655
N346NB,7.5316
N385DN,7.6263
N129DL,9.4052
N672DL,7.7312
N6708D,7.5540
N708DN,11.4713
N1402A,7.4347
N953DN,6.2991
N3731T,7.5160
N3740C,7.7055
N169DZ,10.0178
N1602,10.2365
N3768,7.7615
N3757D,7.6604
N721TW,10.2526
N717TW,10.1590
N704X,10.1863
N1501P,11.2487
N189DN,10.8119
N828MH,12.7116
N3760C,7.6115
N552NW,7.6842
N6700,7.8416
N6707A,7.6663
N6716C,7.3788
N331NW,7.1531
N937DN,6.2927
N814DN,7.4128
N330NW,7.2502
N337NB,7.0502
N925AT,7.1690
N581NW,8.0317
N325US,7.1695
N861DA,8.6377
N926DH,6.5407
N199DN,10.6222
N845MH,13.0873
N705DN,12.1912
N995DL,6.7698
N3750D,7.7083
N6713Y,7.6686
N864DA,7.8000
N6706Q,7.6298
N827MH,12.3866
N673DL,7.5726
N3744F,7.6005
N543US,8.0136
N907DA,6.4096
N958AT,7.0126
N3735D,7.6073
N933DL,6.6970
N3746H,7.7823
N549US,7.9225
N349NB,7.2408
N3737C,7.6392
N365NB,7.1532
N945DN,6.3685
N312US,7.1151
N948DN,6.2760
N347NW,7.2877
N6710E,7.6954
N616DL,7.4735
N1608,9.0295
N833MH,12.6386
N954DN,6.4141
N921DN,6.4216
N183DN,10.4308
N3753,7.6096
N323US,7.1018
N340NB,7.5086
N143DA,7.5203
N345NB,7.6843
N3769L,7.5199
N152DL,11.5083
N539US,8.3607
N1610D,8.9176
N627DL,7.0255
N837MH,13.2809
N348NB,7.2903
N1609,8.5146
N867DA,7.9688
N3765,7.7361
N862DA,9.0426
N392DA,7.8535
N694DL,7.4622
N138DL,9.0922
N3763D,7.8864
N709DN,11.1050
N181DN,11.0047
N394DA,7.6433
N193DN,10.7983
N198DN,11.0408
N955AT,7.2520
N3742C,7.7055
N841MH,12.8040
N585NW,7.8770
N394DL,11.8604
N357NB,7.2199
N1612T,8.8343
N197DN,10.8664
N1200K,10.3296
N195DN,11.2347
N934DL,6.8199
N815NW,8.9185
N354NW,7.1685
N305DQ,6.8471
N920DE,6.7745
N951DL,6.6988
N839MH,11.4298
N1611B,9.2638
N185DN,11.0293
N891AT,7.0790
N328NW,7.0928
N831DN,7.1838
N835MH,12.0976
N156DL,10.7445
N805NW,7.3088
N153DL,12.2538
N838MH,12.3280
N803NW,8.2278
N802NW,8.2066
N1605,10.7544
N801NW,8.2912
N592NW,8.1105
N808NW,8.0706
N184DN,11.8237
N174DN,11.2926
N1201P,9.5643
N1607B,8.9791
N938AT,7.2880
N377DA,7.4464
N816NW,9.6797
N177DZ,9.9214
N821NW,7.8430
N806NW,8.0176
N707DN,11.6655
N825MH,13.2819
N182DN,10.3936
N976DL,6.6703
N985AT,7.2258
N834AW,8.0170
N831AW,8.0107
N714US,7.4523
N553UW,8.9728
N712US,7.4384
N828AW,8.0308
N676AW,7.3157
N192UW,8.9889
N177US,9.1812
N184US,9.2664
N560UW,9.0787
N584UW,9.2508
N109UW,7.5548
N123UW,7.7003
N738US,7.3472
N723UW,7.7030
N823AW,7.9998
N249AU,7.1803
N818AW,7.9426
N810AW,8.0366
N155UW,9.4031
N957UW,6.6040
N156UW,9.4269
N752US,7.6862
N733UW,7.4716
N188US,9.3443
N963UW,6.7425
N111US,7.5929
N102UW,7.7702
N939UW,7.4398
N710UW,7.5556
N624AW,7.2976
N536UW,9.1084
N182UW,9.1638
N715UW,7.4612
N813AW,7.8180
N915US,9.2340
N829AW,8.0105
N570UW,8.2064
N762US,7.5921
N122US,7.5704
N178US,9.1322
N708UW,7.3502
N737US,7.4701
N754UW,7.7488
N172US,9.1203
N717UW,7.4565
N585UW,8.9337
N703UW,7.3746
N947UW,6.7253
N837AW,8.1481
N165US,9.3448
N565UW,8.4551
N541UW,8.4995
N581UW,9.2380
N644AW,8.1633
N750UW,7.9003
N725UW,7.4114
N578UW,9.0495
N119US,7.7128
N830AW,7.8164
N806AW,7.8971
N552UW,9.0051
N816AW,8.0816
N112US,7.6811
N125UW,7.6727
N519UW,9.1309
N914UY,9.3033
N814AW,7.9305
N766US,7.8223
N535UW,8.9664
N105UW,7.6096
N124US,7.7275
N767UW,7.6504
N965UW,6.7663
N193UW,9.1399
N820AW,7.9634
N551UW,9.1870
N730US,7.4115
N179UW,9.0945
N127UW,7.7336
N510UW,9.1412
N161UW,9.4207
N758US,7.9393
N180US,9.0298
N836AW,7.8650
N108UW,7.5395
N803AW,7.8304
N538UW,9.0069
N285AY,9.0700
N936UW,8.1855
N768US,7.8597
N950UW,6.8149
N544UW,9.1831
N185UW,9.1243
N169UW,9.2152
N945UW,6.8109
N566UW,8.7037
N573UW,9.0556
N150UW,9.2440
N701UW,7.4347
N769US,7.7851
N270AY,9.4190
N716UW,7.5407
N952UW,6.8146
N819AW,7.9515
N271AY,8.3953
N705UW,7.4733
N197UW,9.3954
N740UW,7.4520
N199UW,9.3777
N631AW,7.3957
N580UW,9.2459
N520UW,8.3667
N913US,9.1177
N839AW,7.9206
N821AW,8.0105
N744P,7.7107
N824AW,8.0657
N833AW,7.8122
N955UW,6.6625
N956UW,6.8091
N953UW,6.6630
N954UW,6.8730
N944UW,6.6623
N967UW,6.7576
N959UW,6.6974
N946UW,6.8669
N186US,9.1636
N649AW,7.8342
N196UW,9.2299
N181UW,9.1498
N817AW,7.9467
N554UW,8.9551
N665AW,8.3904
N755US,7.8521
N826AW,7.8542
N680AW,8.3833
N805AW,7.9040
N655AW,8.0942
N678AW,7.5929
N543UW,9.1902
N909AW,6.3921
N170US,9.3066
N152UW,9.4745
N835AW,8.0560
N540UW,9.1343
N751UW,7.7783
N508AY,9.0903
N808AW,8.0377
N579UW,8.9978
N555AY,9.0280
N663AW,8.1718
N602AW,7.4122
N640AW,7.3306
N654AW,8.2270
N587UW,9.0968
N756US,7.7240
N198UW,9.2285
N174US,9.1480
N763US,7.8585
N669AW,8.3756
N664AW,8.2070
N748UW,7.7596
N558UW,9.0941
N189UW,9.2967
N157UW,9.2125
N749US,7.9274
N547UW,8.3011
N110UW,7.5954
N840AW,8.1213
N556UW,9.0491
N764US,7.5779
N653AW,8.0731
N679AW,8.3163
N667AW,8.3328
N753US,7.7790
N650AW,7.9995
N765US,7.6259
N747UW,7.7177
N742PS,7.8226
N118US,7.5120
N809AW,7.9305
N507AY,8.9941
N802AW,7.7934
N812AW,7.8889
N647AW,8.2533
N586UW,9.2022
N827AW,8.1004
N642AW,7.1739
N961UW,6.7805
N287AY,8.9689
N604AW,7.9981
N557UW,8.8870
N569UW,8.7816
N171US,9.0563
N561UW,9.1283
N651AW,8.2895
N677AW,7.3122
N151UW,9.2229
N801AW,7.9546
N661AW,8.0197
N760US,7.5504
N673AW,8.2673
N675AW,7.6529
N509AY,9.0844
N195UW,9.4298
N567UW,9.1891
N910AW,6.2804
N601AW,8.0888
N971UY,9.0558
N652AW,8.2042
N121UW,7.6192
N658AW,8.0489
N902AW,5.8852
N167US,9.2680
N908AW,6.5626
N256AY,7.0400
N905AW,5.6293
N183UW,9.1788
N906AW,6.0135
N545UW,9.2574
N838AW,8.0485
N562UW,9.2347
N278AY,8.7657
N202UW,7.4770
N252AU,8.3077
N662AW,8.1027
N559UW,9.1846
N825AW,7.9169
N937UW,7.7961
N204UW,7.1844
N815AW,7.9403
N154UW,9.1465
N283AY,9.8351
N200UU,7.4255
N757UW,7.6603
N292AY,8.5495
N107US,7.6517
N941UW,8.1904
N289AY,9.5889
N722US,7.5021
N704US,7.3985
N804AW,7.9016
N745VJ,7.7428
N291AY,9.6152
N251AY,8.2958
N938UW,7.6651
N582UW,8.8899
N539UW,9.3066
N700UW,7.3734
N173US,9.1717
N657AW,8.0803
N721UW,7.3700
N746UW,7.8188
N832AW,7.9345
N293AY,9.3405
N205UW,7.3042
N190UW,9.3433
N523UW,9.1860
N128UW,7.6479
N711UW,7.3636
N935UW,8.1285
N103US,7.8094
N702UW,7.3985
N948UW,6.7197
N153UW,9.3901
N203UW,7.5443
N713UW,7.4328
N546UW,9.2358
N201UU,7.4771
N732US,7.3789
N564UW,8.5918
N162UW,9.2786
N916US,9.2580
N563UW,9.1409
N770UW,7.7271
N575UW,9.0693
N521UW,9.1124
N576UW,9.1097
N660AW,8.1779
N572UW,9.1073
N912UY,9.0714
N126UW,7.7884
N163US,9.2598
N187US,9.1344
N709UW,7.5938
N537UW,9.0974
N548UW,8.9677
N274AY,9.0093
N250AY,7.8659
N279AY,8.9380
N104UW,7.7433
N284AY,9.0563
N724UW,7.5330
N949UW,6.6560
N117UW,7.5258
N550UW,8.4782
N542UW,9.2629
N534UW,8.9814
N568UW,9.0786
N583UW,9.0323
N942UW,7.4183
N656AW,8.1879
N958UW,6.7007
N272AY,8.9328
N807AW,7.9569
N668AW,8.1429
N741UW,7.4589
N524UW,9.2437
N207UW,6.8458
N176UW,9.2866
N904AW,5.7504
N549UW,9.0302
N290AY,9.0269
N672AW,7.7677
N191UW,9.2385
N275AY,9.8806
N571UW,8.6351
N917US,8.2405
N286AY,9.2946
N114UW,7.7191
N659AW,8.1828
N528VA,8.2353
N627VA,8.6319
N844VA,8.7072
N842VA,8.8605
N630VA,8.6983
N847VA,8.7741
N839VA,8.6370
N642VA,8.6486
N626VA,8.4170
N845VA,8.7702
N629VA,8.5179
N638VA,8.6727
N846VA,8.8079
N622VA,8.5372
N361VA,8.8868
N640VA,8.7647
N841VA,8.8113
N838VA,8.8265
N853VA,9.0800
N634VA,8.6332
N636VA,8.5430
N840VA,8.8680
N854VA,8.6843
N835VA,8.6881
N628VA,8.7693
N633VA,8.6461
N837VA,8.8208
N855VA,8.7555
N641VA,8.8313
N526VA,8.0279
N632VA,8.8100
N623VA,8.6041
N639VA,8.5406
N635VA,8.7107
N521VA,8.1361
N637VA,8.6122
N631VA,8.8172
N836VA,8.7581
N848VA,8.7915
N522VA,8.0878
N523VA,7.9639
N527VA,8.0395
N524VA,8.1842
N529VA,8.1328
N625VA,8.6437
N530VA,8.2765
N621VA,8.5333
N852VA,8.6949
N843VA,8.8392
N525VA,8.1859
N849VA,8.9939
N194UW,9.3019
N626AW,8.3803
N822AW,7.9428
N851VA,8.6733
N624VA,8.6120
N230WN,5.6309
N653SW,5.9291
N463WN,5.6099
N634SW,5.8838
N7814B,5.8038
N243WN,5.5528
N8618N,6.2628
N706SW,5.5805
N202WN,5.5959
N927WN,5.6601
N384SW,5.9613
N241WN,5.6926
N685SW,5.6720
N779SW,5.6198
N913WN,5.5295
N786SW,5.7316
N410WN,5.6025
N920WN,5.6609
N201LV,5.6529
N271LV,5.5531
N759GS,5.5439
N203WN,5.5707
N8609A,6.3635
N551WN,5.6010
N443WN,5.5843
N373SW,5.7627
N7741C,5.6185
N8652B,6.3447
N466WN,5.5711
N357SW,5.9254
N658SW,5.8624
N275WN,5.5868
N562WN,5.5924
N8634A,6.3307
N616SW,5.9236
N379SW,5.9313
N967WN,5.6394
N7728D,5.7051
N931WN,5.5424
N436WN,5.6275
N901WN,5.6435
N7711N,5.6501
N359SW,5.7975
N360SW,5.8439
N280WN,5.5330
N777QC,5.5657
N299WN,5.6042
N968WN,5.6060
N916WN,5.5280
N735SA,5.4653
N374SW,5.8139
N409WN,5.6786
N423WN,5.5583
N900WN,5.6015
N233LV,5.6356
N952WN,5.6366
N7815L,5.6640
N958WN,5.6342
N943WN,5.6169
N252WN,5.5711
N7712G,5.6608
N780SW,5.4719
N758SW,5.5031
N279WN,5.6017
N262WN,5.6582
N429WN,5.6288
N7745A,5.6918
N612SW,6.0017
N751SW,5.5470
N614SW,5.9230
N701GS,5.6528
N953WN,5.6045
N234WN,5.6815
N250WN,5.5772
N906WN,5.6345
N720WN,5.6132
N8616C,6.2828
N521SW,4.8683
N515SW,4.8848
N514SW,4.9154
N7751A,5.5785
N622SW,5.9888
N528SW,4.8851
N406WN,5.6258
N8635F,6.2555
N8622A,6.2232
N363SW,5.6797
N526SW,4.8101
N267WN,5.6367
N459WN,5.6339
N8614M,6.2887
N508SW,4.2071
N523SW,4.7545
N601WN,6.0317
N291WN,5.5325
N278WN,5.6342
N8650F,6.3593
N433LV,5.5669
N527SW,4.8533
N926WN,5.6274
N8644C,6.3181
N273WN,5.6654
N253WN,5.5890
N937WN,5.5479
N251WN,5.6239
N376SW,5.9526
N389SW,6.0324
N736SA,5.5714
N288WN,5.5445
N626SW,5.8677
N654SW,5.9984
N340LV,5.8423
N8604K,6.3251
N453WN,5.5441
N628SW,6.0287
N8329B,6.3687
N217JC,5.6534
N610WN,5.9817
N7744A,5.6132
N438WN,5.5576
N231WN,5.5997
N7708E,5.6338
N770SA,5.6337
N480WN,5.5743
N7727A,5.6897
N960WN,5.6509
N707SA,5.5643
N963WN,5.6005
N7740A,5.6455
N933WN,5.5675
N298WN,5.6859
N239WN,5.6109
N272WN,5.5813
N495WN,5.6045
N955WN,5.6980
N8653A,6.2438
N483WN,5.6047
N400WN,5.6211
N940WN,5.5863
N733SA,5.5861
N7702A,5.6434
N962WN,5.5567
N7718B,5.5245
N8305E,6.3692
N8623F,6.3694
N7746C,5.6142
N930WN,5.5183
N708SW,5.6625
N284WN,5.5991
N747SA,5.5626
N765SW,5.5510
N606SW,6.0995
N355SW,5.7036
N497WN,5.6084
N485WN,5.5219
N240WN,5.6550
N8651A,6.2760
N7811F,5.6458
N477WN,5.5663
N403WN,5.5883
N642WN,5.9982
N631SW,6.0835
N8325D,6.4585
N969WN,5.6535
N8306H,6.3617
N263WN,5.6538
N774SW,5.6879
N635SW,5.8310
N648SW,6.0742
N208WN,5.6494
N961WN,5.6312
N7709A,5.6654
N479WN,5.5718
N391SW,6.0020
N420WN,5.5891
N437WN,5.5961
N781WN,5.5970
N625SW,5.9770
N772SW,5.7843
N552WN,5.6159
N476WN,5.5417
N386SW,5.9540
N740SW,5.6852
N602SW,5.9379
N248WN,5.5667
N718SW,5.5388
N629SW,6.0244
N618WN,5.9739
N615SW,5.9311
N691WN,5.6648
N660SW,5.8401
N449WN,5.5796
N296WN,5.6678
N431WN,5.6699
N486WN,5.5918
N684WN,5.8304
N8603F,6.3695
N8613K,6.3439
N924WN,5.5275
N936WN,5.5931
N760SW,5.5364
N8626B,6.3003
N211WN,5.6779
N716SW,5.4330
N204WN,5.6055
N7724A,5.6434
N8654B,6.3581
N8612K,6.3429
N413WN,5.6610
N8633A,6.3263
N435WN,5.6047
N922WN,5.6208
N7749B,5.7127
N432WN,5.5669
N419WN,5.6504
N715SW,5.5239
N790SW,5.5093
N232WN,5.5868
N270WN,5.5283
N793SA,5.6096
N756SA,5.6564
N482WN,5.5893
N797MX,5.5974
N731SA,5.6620
N739GB,5.6320
N929WN,5.5482
N711HK,5.6267
N246LV,5.5494
N494WN,5.5565
N446WN,5.6095
N942WN,5.4666
N7750A,5.6233
N763SW,5.5792
N277WN,5.5886
N934WN,5.6393
N451WN,5.6139
N7704B,5.6252
N741SA,5.5751
N200WN,5.5498
N8648A,6.2682
N218WN,5.5466
N207WN,5.5987
N914WN,5.6333
N247WN,5.5706
N426WN,5.5176
N659SW,5.7751
N457WN,5.5673
N8607M,6.3502
N704SW,5.6341
N705SW,5.5681
N224WN,5.6472
N932WN,5.5822
N7714B,5.7000
N905WN,5.6290
N645SW,5.8488
N617SW,6.0382
N8621A,6.3517
N782SA,5.7030
N613SW,6.0026
N959WN,5.6166
N8313F,6.3494
N297WN,5.6514
N746SW,5.6229
N657SW,5.7778
N269WN,5.6080
N405WN,5.5099
N603SW,5.8906
N441WN,5.6453
N762SW,5.5502
N8627B,6.3277
N8608N,6.3347
N358SW,5.8129
N396SW,5.9695
N8641B,6.2481
N8312C,6.2859
N8303R,6.3003
N439WN,5.6621
N489WN,5.6614
N8328A,6.3709
N212WN,5.5795
N921WN,5.5410
N411WN,5.4985
N8601C,6.3528
N493WN,5.6558
N8315C,6.3160
N8605E,6.2999
N8310C,6.3099
N712SW,5.5716
N245WN,5.6052
N238WN,5.6536
N783SW,5.6076
N7707C,5.6297
N478WN,5.6317
N225WN,5.5976
N8319F,6.2644
N8646B,6.3009
N8321D,6.2780
N235WN,5.6054
N604SW,5.8916
N345SA,5.9856
N257WN,5.6095
N8307K,6.3304
N7813P,5.8140
N456WN,5.7333
N458WN,5.5337
N292WN,5.5629
N293WN,5.5877
N417WN,5.5391
N8645A,6.2828
N444WN,5.5315
N764SW,5.6361
N957WN,5.5390
N221WN,5.5985
N407WN,5.5455
N640SW,5.9467
N227WN,5.6321
N8611F,6.2252
N785SW,5.5824
N294WN,5.6428
N228WN,5.6354
N422WN,5.6156
N467WN,5.6130
N295WN,5.5864
N8327A,6.2539
N378SW,5.9710
N743SW,5.4752
N8642E,6.3394
N7722B,5.6267
N346SW,5.5490
N525SW,4.8622
N646SW,6.0424
N656SW,6.0456
N652SW,5.8525
N742SW,5.5994
N362SW,5.7627
N700GS,5.5169
N206WN,5.5567
N557WN,5.7057
N7733B,5.6797
N8314L,6.3715
N418WN,5.6139
N670SW,5.7111
N511SW,4.8407
N383SW,5.8824
N524SW,4.8733
N749SW,5.5040
N229WN,5.6127
N399WN,5.9382
N792SW,5.5963
N490WN,5.6205
N928WN,5.5808
N258WN,5.6248
N560WN,5.7472
N8632A,6.4154
N522SW,4.9294
N944WN,5.6094
N714CB,5.5627
N352SW,5.7992
N220WN,5.6236
N8638A,6.3286
N638SW,6.0218
N945WN,5.5965
N651SW,5.9041
N7735A,5.6801
N222WN,5.5530
N949WN,5.5845
N475WN,5.6102
N8323C,6.4193
N261WN,5.5402
N427WN,5.5036
N481WN,5.6201
N392SW,5.9844
N371SW,5.6275
N912WN,5.5440
N364SW,5.6478
N462WN,5.5846
N7732A,5.6486
N209WN,5.6176
N951WN,5.5750
N7812G,5.7536
N434WN,5.6527
N255WN,5.5917
N909WN,5.5630
N487WN,5.5960
N395SW,6.0217
N8624J,6.3600
N281WN,5.5848
N442WN,5.5630
N7721E,5.6406
N402WN,5.6704
N226WN,5.6517
N424WN,5.5244
N219WN,5.6214
N609SW,5.9730
N768SW,5.6170
N7726A,5.6367
N948WN,5.5802
N289CT,5.6183
N8625A,6.2837
N470WN,5.5106
N428WN,5.6494
N213WN,5.6073
N918WN,5.6164
N902WN,5.6420
N460WN,5.6269
N619SW,6.0235
N8619F,6.3538
N354SW,5.7599
N401WN,5.5827
N498WN,5.5543
N8647A,6.2128
N421LV,5.6611
N8628A,6.2364
N264LV,5.6356
N236WN,5.6386
N244WN,5.6430
N416WN,5.5533
N697SW,5.7563
N500WR,6.3751
N7752B,5.7180
N205WN,5.5908
N627SW,6.1025
N8620H,6.3491
N769SW,5.6210
N256WN,5.6072
N787SA,5.5920
N559WN,5.7334
N455WN,5.5121
N468WN,5.6485
N947WN,5.5316
N8615E,6.3693
N799SW,5.4879
N8637A,6.3192
N8617E,6.3472
N8629A,6.2755
N8606C,6.2273
N8311Q,6.2266
N950WN,5.6040
N390SW,5.9662
N725SW,5.5949
N237WN,5.6090
N8320J,6.3657
N7715E,5.5927
N919WN,5.7013
N473WN,5.6066
N372SW,5.7850
N954WN,5.6541
N216WR,5.6194
N8317M,6.4090
N8309C,6.4421
N268WN,5.5931
N7703A,5.6531
N8630B,6.3232
N8318F,6.2796
N554WN,5.6420
N608SW,5.8240
N703SW,5.5190
N492WN,5.6097
N795SW,5.5871
N283WN,5.5918
N766SW,5.5528
N694SW,5.8891
N734SA,5.6593
N474WN,5.6344
N415WN,5.6090
N7705A,5.6868
N397SW,5.9572
N611SW,5.9535
N939WN,5.5916
N775SW,5.5836
N910WN,5.6471
N8308K,6.3448
N7742B,5.5705
N649SW,5.7412
N630WN,5.9624
N964WN,5.5758
N917WN,5.6234
N465WN,5.6014
N254WN,5.6470
N7734H,5.6020
N7737E,5.5767
N7720F,5.6531
N249WN,5.6207
N8640D,6.3139
N650SW,5.9233
N550WN,5.6213
N935WN,5.5825
N773SA,5.5817
N778SW,5.5678
N266WN,5.6011
N639SW,5.9696
N8326F,6.3416
N282WN,5.6101
N7736A,5.6520
N8602F,6.2749
N938WN,5.5546
N752SW,5.5738
N369SW,5.6860
N761RR,5.5429
N440LV,5.5946
N754SW,5.6251
N641SW,5.9394
N8655D,6.3094
N8610A,6.2733
N798SW,5.6524
N8302F,6.8002
N915WN,5.6135
N925WN,5.5726
N7706A,5.6879
N276WN,5.5950
N7701B,5.6907
N287WN,5.5900
N637SW,5.9482
N366SW,5.7795
N600WN,5.9572
N7713A,5.5483
N445WN,5.6248
N394SW,6.0788
N907WN,5.6921
N794SW,5.6331
N796SW,5.5984
N710SW,5.6267
N771SA,5.5053
N7747C,5.6164
N8643A,6.3607
N8649A,6.3060
N353SW,5.7601
N709SW,5.6586
N452WN,5.6576
N624SW,6.0436
N663SW,5.6756
N738CB,5.6120
N784SW,5.5938
N223WN,5.6716
N7748A,5.6635
N956WN,5.6577
N387SW,5.9936
N966WN,5.5521
N908WN,5.5643
N946WN,5.5561
N404WN,5.5743
N472WN,5.5449
N7738A,5.5700
N448WN,5.6438
N425LV,5.5827
N356SW,5.7090
N621SW,5.9998
N732SW,5.5204
N7739A,5.6459
N655WN,6.0541
N290WN,5.5883
N491WN,5.5552
N8324A,6.4251
N748SW,5.6296
N8631A,6.2876
N260WN,5.6043
N755SA,5.5064
N488WN,5.5728
N789SW,5.6293
N719SW,5.7235
N727SW,5.5960
N385SW,5.9162
N904WN,5.5669
N367SW,5.7625
N210WN,5.6286
N408WN,5.6059
N767SW,5.6640
N414WN,5.6195
N398SW,5.9560
N620SW,5.8510
N259WN,5.6267
N965WN,5.5384
N454WN,5.6047
N757LV,5.6010
N464WN,5.4952
N7743B,5.6410
N215WN,5.5591
N214WN,5.6545
N717SA,5.6005
N8301J,6.4030
N8639B,6.2932
N8600F,6.2990
N242WN,5.6636
N461WN,5.6349
N556WN,5.7063
N7730A,5.6059
N8322X,6.3543
N388SW,5.9640
N723SW,5.5747
N450WN,5.6541
N941WN,5.5469
N776WN,5.5214
N274WN,5.5117
N737JW,5.4845
N375SW,6.0222
N750SA,5.5216
N286WN,5.6489
N361SW,5.8573
N8316H,6.2607
N412WN,5.6676
N923WN,5.6287
N484WN,5.5589
N447WN,5.6155
N687SW,5.8165
N788SA,5.5126
N555LV,5.8816
N632SW,5.9200
N903WN,5.5871
N380SW,5.9934
N469WN,5.5062
N520SW,4.8015
N724SW,5.5926
N623SW,6.0716
N382SW,6.1903
N265WN,5.6570
N370SW,5.8840
N7716A,5.6525
N285WN,5.4700
N729SW,5.6186
N633SW,5.9722
N636WN,5.9640
N644SW,5.9701
N791SW,5.6131
N7723E,5.5652
N365SW,5.5828
N68805,8.4002
N28457,8.3307
N33262,8.1778
N37274,8.0613
N37466,8.2466
N76523,8.1766
N57852,10.4394
N37273,7.9907
N76526,8.0016
N33132,10.0000
N73299,7.6436
N66828,8.3037
N79402,7.5701
N14118,9.4672
N39461,8.4833
N37474,8.3944
N37437,8.3061
N69838,8.1687
N26210,8.7459
N68802,8.1981
N69839,8.2479
N67812,8.3860
N72405,7.5204
N37408,7.5966
N33714,7.8313
N12238,8.1062
N37409,7.6102
N13718,7.9533
N66825,8.2800
N16701,7.8708
N33284,8.0600
N33209,8.1841
N69833,8.4048
N36472,8.3401
N76265,8.0534
N35204,7.9414
N34137,9.6451
N14242,7.8964
N37267,8.0626
N69824,8.4424
N78524,8.0008
N77518,8.1667
N21723,7.8792
N75433,8.4016
N69804,8.4002
N78501,8.0062
N71411,7.6779
N68821,8.2281
N64809,8.3766
N87512,7.9142
N78448,8.1325
N33203,8.1280
N36247,7.9042
N26215,8.0933
N66814,8.3765
N45440,8.1557
N75410,7.4063
N14214,8.0934
N36207,8.0494
N38268,8.3271
N36272,8.1038
N73259,8.1201
N27421,8.2710
N75861,10.4890
N73276,8.1060
N87513,8.1096
N69819,8.4098
N76269,8.2099
N38467,8.2235
N17244,7.9198
N77530,8.1891
N14219,8.0040
N33294,7.7001
N68453,8.2916
N77258,8.1251
N76508,7.9732
N57869,10.4564
N37290,7.9887
N35271,7.9808
N29717,8.0308
N37255,8.1233
N77520,8.1266
N76505,8.0244
N37293,7.7424
N57870,10.2735
N78438,8.2033
N69806,8.4981
N68836,8.3656
N12221,8.0517
N24202,7.9721
N36476,8.4110
N34222,8.1087
N18112,9.7330
