Tail_Number,AVG(TaxiIn)
N3BXAA,9.5833
N3GDAA,9.6347
N3HLAA,9.6558
N3FBAA,9.6311
N3JWAA,9.7315
N3CRAA,9.4490
N3FPAA,9.6020
N3CGAA,9.4865
N3CNAA,9.5538
N3FDAA,9.5332
N3GXAA,9.8807
N3HUAA,9.5907
N3JPAA,9.6352
N3KEAA,9.6581
N3EHAA,9.4448
N3ECAA,9.5303
N3HGAA,9.4283
N3DRAA,9.6607
N3BUAA,9.4750
N3DCAA,9.3710
N3JUAA,9.5939
N3FFAA,9.6882
N3AMAA,9.4619
N3JAAA,9.8039
N3GBAA,9.6000
N3HNAA,9.7356
N3JYAA,9.8059
N3GYAA,9.8565
N3HXAA,9.4779
N3HJAA,9.5506
N3HAAA,9.6431
N3JBAA,9.6515
N3MAAA,9.9891
N3FNAA,9.4902
N3GCAA,9.4286
N3ALAA,9.6383
N3FLAA,9.4817
N3CBAA,9.3913
N3FRAA,9.1707
N3FTAA,9.3625
N3EPAA,9.6639
N3BKAA,9.3630
N3LAAA,9.5868
N3AKAA,9.3906
N3DLAA,9.5234
N3DXAA,9.6135
N3KVAA,9.5650
N3FSAA,9.5324
N3AAAA,9.5392
N7BEAA,12.0090
N7AFAA,12.1386
N7BCAA,11.0860
N7AKAA,12.4478
N7AYAA,11.8238
N7APAA,10.3189
N7ALAA,12.0519
N7BYAA,12.8333
N7AGAA,11.8286
N7BAAA,11.6327
N7BLAA,12.7150
N7AJAA,13.0105
N7CBAA,12.2457
N7BVAA,12.0541
N7BBAA,12.3289
N7BFAA,12.9021
N7AXAA,11.6116
N7BMAA,12.9015
N7BUAA,10.6543
N585AA,8.9286
N4YEAA,9.0489
N586AA,9.0053
N4XLAA,8.9104
N4XRAA,8.9303
N4YSAA,8.8946
N556AA,9.3847
N4YFAA,8.8055
N564AA,8.8515
N201AA,7.8609
N4YRAA,8.9291
N597AA,8.7283
N571AA,8.6481
N573AA,9.2375
N4XKAA,9.0918
N581AA,9.0563
N595AA,8.5400
N4WNAA,8.5855
N4XGAA,8.9952
N570AA,8.6184
N4YMAA,8.3961
N436AA,8.8945
N505AA,8.5560
N3DEAA,9.5207
N3BMAA,9.4810
N3AHAA,9.5876
N3JEAA,9.6739
N3CKAA,9.5064
N3GUAA,9.6596
N3LDAA,9.7926
N3GMAA,9.5470
N3CEAA,9.2936
N3EUAA,9.4610
N3FWAA,9.6034
N3HDAA,9.7980
N3BWAA,9.5320
N3KAAA,9.5298
N3GPAA,9.7958
N3CXAA,9.5481
N3LLAA,9.7884
N3FCAA,9.3238
N3FUAA,9.6622
N3KLAA,9.4053
N3DAAA,9.4754
N3BJAA,9.4459
N4WPAA,8.7083
N547AA,8.6620
N4XHAA,8.8921
N4YUAA,8.8232
N566AA,8.8672
N4YPAA,9.0707
N4WJAA,8.7115
N490AA,8.2705
N548AA,9.0351
N437AA,8.8257
N4XEAA,8.9295
N4XXAA,8.9133
N454AA,8.5109
N555AA,8.9981
N502AA,8.7891
N018AA,9.5761
N3LFAA,9.8707
N3GNAA,9.6029
N3GFAA,9.8189
N3LNAA,9.9138
N3JRAA,9.4987
N3EAAA,9.8979
N3FYAA,9.4818
N4YNAA,9.0204
N486AA,8.7056
N574AA,8.3858
N477AA,8.7752
N492AA,8.4535
N425AA,8.7656
N514AA,8.6721
N496AA,8.6515
N4YAAA,8.9724
N4XPAA,8.9031
N485AA,8.7749
N575AA,9.2720
N3HBAA,9.4632
N3GJAA,9.6270
N3ETAA,9.6971
N3EFAA,9.5816
N3JTAA,9.3905
N3BFAA,9.7403
N3EDAA,9.4944
N3HPAA,9.6046
N3CAAA,9.6074
N3KBAA,9.5654
N3KFAA,9.5162
N3JFAA,9.6170
N3HFAA,9.4757
N3HRAA,9.5079
N3JHAA,9.5891
N3EBAA,9.4053
N3ADAA,9.4901
N3JGAA,9.5590
N3CUAA,9.5889
N3KCAA,9.8141
N3JCAA,9.7041
N3JNAA,9.5278
N3APAA,9.3580
N3CHAA,9.3202
N3CLAA,9.6653
N3FVAA,9.4270
N3KMAA,9.7142
N3ACAA,9.4615
N3EXAA,9.4474
N3GSAA,9.4437
N3LYAA,10.2962
N3DTAA,9.7825
N3DFAA,9.5549
N3BHAA,9.6179
N3ARAA,9.5034
N3ANAA,9.6232
N3GGAA,9.5974
N3BDAA,9.6151
N3GTAA,9.5138
N3CSAA,9.5796
N3GWAA,9.6771
N3JXAA,9.5613
N3BLAA,9.8209
N3LWAA,9.8171
N3ABAA,9.7086
N3FEAA,9.6493
N3CFAA,9.3293
N3KHAA,9.5684
N3JLAA,9.9236
N3AYAA,9.5754
N3GLAA,9.5415
N3EKAA,9.5117
N621AA,8.9286
