Origin,ArrDelay
ABE,6.209603752623133
ABI,4.942934395901522
ABQ,3.6397723123589825
ABR,6.655879180151024
ABY,8.174875244087655
ACK,18.867053481331986
ACT,3.6249457386774706
ACV,12.31395656779661
ACY,4.269597153678411
ADK,3.6871401151631478
ADQ,-0.7847151142954623
AEX,5.401620526671168
AGS,6.8824835032993406
AKN,-0.06389776357827476
ALB,1.1725367725020723
ALO,6.931854199683043
AMA,3.6376148951213763
ANC,-2.632315821357655
APN,7.909177820267686
ART,8.225925925925926
ASE,13.884764028242289
ATL,2.683409380358284
ATW,3.6507622811970637
ATY,12.936902485659656
AUS,4.427449052067967
AVL,7.858054343441752
AVP,5.439397783980377
AZA,5.460191518467853
AZO,2.709792958853848
BDL,0.6890143848338706
BET,-1.1791793976429508
BFF,3.5813177648040035
BFL,1.419625564880568
BFM,10.348101265822784
BGM,6.814083080040527
BGR,8.548139703596227
BHM,4.717151734027298
BIL,-0.349637981539822
BIS,4.255015904086127
BJI,3.3293347873500547
BKG,9.963576158940397
BLI,-0.5520969855832241
BLV,19.12573673870334
BMI,5.199363156259708
BNA,4.568543098805715
BOI,2.711873951740264
BOS,5.007457625074983
BPT,10.00230946882217
BQK,3.009239815203696
BQN,7.8760633143103265
BRD,1.5852130325814537
BRO,1.8121531883926134
BRW,-4.0482041587901705
BTM,-2.306259097525473
BTR,8.353048897149261
BTV,8.357647450849717
BUF,2.7536487859537173
BUR,4.311792679752995
BWI,3.88752498881098
BZN,2.787527081398948
CAE,4.047847570296114
CAK,4.773077288715657
CDC,-0.44522859772936485
CDV,-3.03429203539823
CEC,8.726315789473684
CGI,9.960147148988352
CHA,7.477212756946933
CHO,9.568121728808071
CHS,3.818840977150818
CID,6.42636632613186
CIU,9.324068598462448
CKB,15.900337837837839
CLD,5.134165366614664
CLE,3.185364643383587
CLL,2.1585824796153044
CLT,5.922161299970092
CMH,3.0468188998994687
CMI,4.948636902410114
CMX,12.364409103372635
CNY,3.563650920736589
COD,2.3480764197853965
COS,7.950607501320655
COU,10.563948239542581
CPR,-4.620346598202824
CRP,3.2307451751250893
CRW,8.69968717413973
CSG,5.3695014662756595
