Tail_Number,AVG(TaxiOut)
N4XJAA,15.3887
N4XSAA,15.4574
N559AA,18.1769
N4YLAA,15.7410
N470AA,15.4459
N395AA,19.8139
N349AA,19.9047
N3BGAA,18.3507
N494AA,15.5507
N567AA,17.4075
N493AA,15.4569
N3ASAA,18.2281
N478AA,15.1563
N4YTAA,15.5716
N4XFAA,15.3871
N473AA,15.4328
N4UCAA,15.2485
N484AA,15.1451
N467AA,15.3319
N434AA,15.5042
N499AA,15.2272
N598AA,15.6101
N569AA,15.3734
N491AA,14.5140
N578AA,18.9289
N482AA,15.1113
N3HMAA,18.0797
N3EYAA,18.3559
N438AA,15.7088
N3HKAA,17.9987
N3DNAA,18.3099
N472AA,15.1422
N3DVAA,18.2220
N025AA,16.7790
N013AA,16.5667
N005AA,16.3969
N010AA,16.8897
N008AA,16.5072
N011AA,16.4569
N3ATAA,18.2736
N7CCAA,21.5217
N5FNAA,19.9068
N7LNAA,24.5181
N3BAAA,18.2410
N403AA,14.9443
N5EYAA,19.1916
N5FLAA,20.1165
N5EVAA,19.6198
N549AA,19.5087
N557AA,19.3003
N3BSAA,18.1203
N7AWAA,20.0851
N4WTAA,15.2970
N342AA,20.3306
N345AA,19.0956
N354AA,18.9026
N348AA,18.7270
N366AA,18.2807
N5FMAA,19.5354
N015AA,16.2521
N7BRAA,18.3175
N3AFAA,18.0657
N5FFAA,19.5065
N389AA,19.9637
N370AA,15.9355
N7BKAA,20.2526
N7BXAA,19.6558
N7BWAA,21.9851
N7AMAA,20.0206
N7BJAA,20.1050
N7BHAA,18.7953
N7BPAA,20.1311
N7BGAA,18.9828
N7ABAA,19.0824
N5EUAA,20.1306
N393AA,20.1155
N5ETAA,19.5915
N5FJAA,20.3457
N5FSAA,19.7087
N5FRAA,20.1610
N5EWAA,20.4276
N5FEAA,19.7344
N5EXAA,19.6082
N5FAAA,19.9013
N5FGAA,19.8477
N5FKAA,20.0528
N5FHAA,19.8944
N5FTAA,19.9177
N344AA,19.5055
N7LGAA,25.3333
N7BSAA,23.4407
N7BNAA,20.7679
N7LHAA,24.2716
N7AAAA,20.0859
N7BTAA,19.2181
N7ACAA,20.7757
N523AS,16.4768
N527AS,16.4668
N536AS,16.6146
N581AS,16.7733
N517AS,16.5736
N565AS,16.5925
N464AS,17.8204
N526AS,16.6431
N453AS,17.9267
N590AS,16.7040
N419AS,17.9066
N546AS,16.7824
N594AS,16.8620
N407AS,18.0298
N305AS,17.4942
N569AS,16.8207
N320AS,17.3892
N402AS,17.6974
N413AS,17.9504
N514AS,16.5530
N562AS,16.6235
N469AS,17.7804
N459AS,17.8178
N762AS,9.6807
N768AS,9.9428
N508AS,16.5659
N796AS,14.0339
N788AS,13.5241
N792AS,13.4251
N799AS,13.5565
N713AS,13.4007
N644AS,13.4832
N769AS,13.6107
N708AS,13.3302
N431AS,17.9162
N577AS,16.6887
N440AS,17.7319
N532AS,16.5360
N764AS,10.0844
N592AS,16.8160
N323AS,17.4005
N619AS,13.7001
N528AS,16.6569
N584AS,16.4837
N309AS,17.3283
N556AS,16.3689
N570AS,16.6365
N303AS,17.3388
N568AS,16.7143
N593AS,16.9140
N461AS,18.0482
N457AS,17.8167
N467AS,17.7369
N471AS,17.7538
N442AS,17.9029
N767AS,13.2970
N315AS,17.5078
N319AS,17.5510
N530AS,16.5723
N613AS,13.4738
N756AS,13.5953
N797AS,13.2637
N795AS,13.8332
N607AS,13.6793
N705AS,13.4071
N703AS,13.5021
N548AS,16.4526
N622AS,13.6932
N791AS,13.5301
N609AS,14.0646
N786AS,13.6735
N551AS,16.2671
N529AS,16.8543
N520AS,16.5456
N552AS,16.7147
N618AS,13.6333
N760AS,13.5804
N706AS,13.5408
N516AS,16.6432
N589AS,16.7230
N533AS,16.7328
N553AS,16.4229
N579AS,16.7561
N302AS,17.4833
N525AS,16.4885
N435AS,17.8957
N462AS,17.7162
N408AS,17.8489
N433AS,17.8620
N307AS,17.3395
N563AS,16.4870
N794AS,13.3199
N625AS,14.8967
N611AS,13.8255
N615AS,13.6390
