Tail_Number,AVG(TaxiOut)
N386DA,17.8818
N319NB,16.8764
N315US,16.8427
N307DQ,15.2932
N679DA,17.5937
N654DL,17.8216
N664DN,17.6527
N954AT,16.8681
N959AT,16.8635
N950DN,17.0788
N130DL,19.2514
N950DL,16.8092
N584NW,18.5071
N922DL,16.5636
N358NB,16.8935
N332NW,18.1521
N596NW,18.6275
N931DL,16.6585
N532US,17.6213
N957AT,17.2600
N316US,17.1776
N956DN,17.1427
N355NB,17.0925
N387DA,17.5887
N589NW,18.6490
N689DL,17.6158
N3759,17.6571
N127DL,19.2206
N908DL,16.5608
N906DL,16.4112
N809DN,17.3409
N376NW,17.4825
N965DL,16.2435
N3745B,17.6731
N333NB,16.9257
N900DE,16.3468
N998AT,16.8566
N306DQ,15.5895
N171DZ,21.8194
N986AT,16.9099
N382DA,17.7567
N969DL,16.4940
N960DL,16.5797
N310DE,15.3813
N366NW,17.2451
N984DL,16.4690
N659DL,17.1951
N906AT,16.7759
N6709,17.6132
N3754A,17.5666
N316NB,16.8520
N676DL,17.3127
N819DN,17.2740
N338NB,17.2261
N929DN,16.8466
N320NB,16.9321
N339NW,17.7798
N990DL,16.5020
N590NW,18.9076
N900PC,18.1732
N368NW,17.5662
N919DL,16.7657
N904DL,16.4061
N304DQ,15.4994
N907DE,16.3480
N821DN,17.0437
N3772H,17.7281
N3764D,17.3654
N396DA,17.8386
N960DN,16.6857
N364NW,17.4369
N902DE,16.5517
N698DL,17.6675
N924AT,16.6858
N301NB,17.4073
N359NB,17.2209
N911DE,16.5432
N663DN,17.8480
N927DN,16.8745
N915AT,17.1327
N918DH,16.7989
N522US,17.7825
N934DN,17.1190
N3732J,17.6304
N342NB,18.1703
N978DL,16.3447
N938DL,16.8010
N952DL,16.9349
N954DL,16.7173
N326US,18.2129
N347NB,17.5564
N681DA,17.4156
N816DN,17.2047
N942DL,16.7663
N930DN,16.9441
N377NW,17.6430
N3738B,18.0571
N895AT,16.8261
N376DA,17.9459
N912DN,16.9587
N687DL,17.7760
N350NA,17.4345
N362NW,17.5783
N302NB,16.9962
N964DL,16.4245
N327NB,17.1299
N397DA,17.8162
N959DL,16.4501
N343NW,17.8434
N617DL,17.8004
N817DN,17.1813
N914DN,17.1665
N905DE,16.3426
N329NW,17.8474
N690DL,17.5044
N340NW,18.0466
N121DE,19.3923
N324US,17.9092
N126DL,19.6963
N983DL,16.5072
N957DL,16.4523
N333NW,17.6963
N391DA,17.8324
N6715C,17.7000
N751AT,17.8609
N969AT,16.8230
N369NB,17.0023
N820DN,17.2314
N970DL,16.3986
N711ZX,23.6350
N587NW,18.6630
N960AT,16.9375
N301DQ,15.7933
N922AT,17.1201
N989AT,16.8321
N925DN,17.1769
N961AT,16.6729
N360NB,17.2265
N3771K,17.8389
N525US,17.5225
N921DL,17.0006
N390DA,17.5103
N707TW,23.1040
N915DL,16.5762
N3755D,17.7116
N136DL,19.3314
N533US,17.4774
N958DN,16.8972
N956DL,16.5382
N916DL,16.3385
N339NB,18.0545
N802DN,17.0593
N3747D,17.6885
N675DL,17.3861
N321NB,17.0843
N395DN,17.8540
N3761R,17.7399
N393DA,17.7361
N979AT,16.9395
N326NB,16.9100
N968DL,16.4846
N137DL,19.5954
N367NW,17.4478
N338NW,17.6381
N949DN,16.7966
N727TW,22.9570
N583NW,18.7971
N618DL,17.6331
N373NW,17.1644
N139DL,19.3630
N967AT,17.3305
N803DN,17.4064
N825DN,17.1648
N366NB,17.1344
N346NB,17.7825
N385DN,17.7849
N129DL,19.0863
N672DL,17.6755
N6708D,17.7707
N708DN,20.5287
N1402A,19.3107
N953DN,17.0934
N3731T,17.8860
N3740C,17.8262
N169DZ,21.0769
N1602,20.9253
N3768,17.6663
N3757D,17.6357
N721TW,23.0867
N717TW,23.4563
N704X,23.0253
N1501P,24.4580
N189DN,23.0763
N828MH,20.0188
N3760C,17.8099
N552NW,17.1628
N6700,17.6228
N6707A,17.6396
N6716C,17.6515
N331NW,18.0972
N937DN,17.0014
N814DN,17.0028
N330NW,18.0102
N337NB,17.0733
N925AT,17.2129
N581NW,18.4172
N325US,17.7728
N861DA,16.6377
N926DH,17.0078
N199DN,23.6430
N845MH,21.2412
N705DN,20.0331
N995DL,16.1999
N3750D,17.7576
N6713Y,17.9231
N864DA,18.6333
N6706Q,17.6960
N827MH,22.0052
N673DL,17.4204
N3744F,17.2305
N543US,17.5884
N907DA,17.0615
N958AT,17.0114
N3735D,17.6538
N933DL,16.8844
N3746H,17.5721
N549US,17.6856
N349NB,16.9592
N3737C,17.8564
N365NB,16.9198
N945DN,17.0577
N312US,17.8002
N948DN,17.1824
N347NW,17.8967
N6710E,17.7056
N616DL,17.7026
N1608,20.0968
N833MH,20.4409
N954DN,17.2781
N921DN,16.9125
N183DN,22.8487
N3753,17.6974
N323US,17.8299
N340NB,17.8746
N143DA,18.9186
N345NB,18.4498
N3769L,17.7340
N152DL,23.1276
N539US,17.3068
N1610D,19.6682
N627DL,16.9429
N837MH,21.4833
N348NB,17.4272
N1609,19.7833
N867DA,17.7969
N3765,17.6651
N862DA,22.3404
N392DA,18.1353
N694DL,17.5803
N138DL,18.6476
N3763D,17.8047
N709DN,20.6800
N181DN,22.9069
N394DA,17.6143
N193DN,22.4626
N198DN,23.9732
N955AT,17.2111
N3742C,17.7326
N841MH,21.4146
N585NW,18.8661
N394DL,23.2961
N357NB,17.1627
N1612T,19.2994
N197DN,23.2996
N1200K,22.4815
N195DN,23.1682
N934DL,16.6389
N815NW,22.2532
N354NW,17.7088
N305DQ,15.5800
N920DE,16.4531
N951DL,16.6329
N839MH,21.3246
N1611B,19.7523
N185DN,21.1995
N891AT,17.1252
N328NW,17.7496
N831DN,17.3604
N835MH,20.2039
N156DL,22.2007
N805NW,21.8986
N153DL,23.5969
N838MH,21.8542
N803NW,21.7456
N802NW,21.6347
N1605,21.7333
N801NW,21.9505
N592NW,18.5756
N808NW,22.5098
N184DN,22.6282
N174DN,23.9100
N1201P,22.3538
N1607B,19.2797
N938AT,17.2627
N377DA,17.6201
N816NW,21.7794
N177DZ,22.1679
N821NW,21.2628
N806NW,21.9789
N707DN,20.5470
N825MH,21.5490
N182DN,23.3014
N976DL,16.5019
N985AT,17.5353
N834AW,17.3758
N831AW,17.5095
N714US,17.8716
N553UW,19.1188
N712US,17.7792
N828AW,17.8852
N676AW,17.4293
N192UW,18.6788
N177US,18.5219
N184US,18.9018
N560UW,19.3073
N584UW,18.9490
N109UW,17.8732
N123UW,18.2101
N738US,17.6355
N723UW,18.0392
N823AW,17.4612
N249AU,21.2295
N818AW,17.3966
N810AW,18.0004
N155UW,19.0601
N957UW,21.4469
N156UW,18.8181
N752US,17.0139
N733UW,17.6424
N188US,18.8145
N963UW,21.7678
N111US,18.1561
N102UW,18.1623
N939UW,19.0418
N710UW,17.7621
N624AW,17.6472
N536UW,19.0968
N182UW,18.7305
N715UW,18.3469
N813AW,17.6015
N915US,19.1649
N829AW,17.2522
N570UW,19.5795
N762US,17.0230
N122US,17.8632
N178US,18.8152
N708UW,17.6830
N737US,17.7701
N754UW,17.1905
N172US,18.9720
N717UW,17.9717
N585UW,19.0952
N703UW,18.0170
N947UW,21.9364
N837AW,17.6061
N165US,19.1657
N565UW,19.7073
N541UW,19.5288
N581UW,18.8970
N644AW,17.0714
N750UW,17.0866
N725UW,17.6313
N578UW,19.4702
N119US,18.1970
N830AW,17.4404
N806AW,17.7890
N552UW,19.1592
N816AW,17.4916
N112US,18.1087
N125UW,18.2358
N519UW,19.1469
N914UY,18.8496
N814AW,17.6263
N766US,16.8663
N535UW,18.9604
N105UW,18.4367
N124US,18.1458
N767UW,16.7061
N965UW,21.4771
N193UW,18.9916
N820AW,17.3890
N551UW,19.1693
N730US,18.0024
N179UW,18.8046
N127UW,18.0454
N510UW,19.0705
N161UW,19.3327
N758US,16.9480
N180US,18.8014
N836AW,17.5931
N108UW,18.1123
N803AW,17.4784
N538UW,19.3516
N285AY,22.5540
N936UW,20.9615
N768US,16.9174
N950UW,22.2118
N544UW,18.8808
N185UW,18.5480
N169UW,18.8190
N945UW,21.8764
N566UW,18.9306
N573UW,19.3014
N150UW,18.5443
N701UW,17.8975
N769US,17.0642
N270AY,22.6787
N716UW,17.8146
N952UW,21.7972
N819AW,17.4288
N271AY,24.1429
N705UW,17.9327
N197UW,18.4301
N740UW,17.7559
N199UW,18.7761
N631AW,18.1087
N580UW,18.9674
N520UW,19.2131
N913US,18.9617
N839AW,17.5130
N821AW,17.6022
N744P,16.7424
N824AW,17.3517
N833AW,17.8009
N955UW,21.9495
N956UW,21.7008
N953UW,21.5274
N954UW,21.6410
N944UW,21.6053
N967UW,22.1275
N959UW,22.2625
N946UW,21.8924
N186US,18.9497
N649AW,17.7706
N196UW,18.8091
N181UW,18.8767
N817AW,17.1914
N554UW,19.0694
N665AW,17.8709
N755US,17.2758
N826AW,17.2794
N680AW,17.9482
N805AW,17.5251
N655AW,17.8973
N678AW,18.2844
N543UW,19.1854
N909AW,18.3269
N170US,18.7800
N152UW,18.5804
N835AW,17.4808
N540UW,19.0762
N751UW,16.8331
N508AY,18.9983
N808AW,17.3051
N579UW,19.1805
N555AY,19.8881
N663AW,17.8333
N602AW,17.6661
N640AW,18.2362
N654AW,17.9285
N587UW,18.9927
N756US,17.1846
N198UW,18.8474
N174US,18.8468
N763US,17.0863
N669AW,17.8740
N664AW,17.6937
N748UW,16.8850
N558UW,19.1765
N189UW,18.9691
N157UW,18.6397
N749US,16.7902
N547UW,19.4675
N110UW,17.8237
N840AW,17.5469
N556UW,19.1418
N764US,16.6069
N653AW,17.9967
N679AW,17.8093
N667AW,17.8592
N753US,17.4468
N650AW,18.0209
N765US,17.1466
N747UW,16.9231
N742PS,17.1537
N118US,18.1993
N809AW,17.4020
N507AY,19.1593
N802AW,17.7645
N812AW,17.3365
N647AW,18.0135
N586UW,19.2997
N827AW,17.4480
N642AW,16.8937
N961UW,22.0346
N287AY,22.7763
N604AW,17.8491
N557UW,19.2459
N569UW,19.2582
N171US,18.6556
N561UW,19.3495
N651AW,18.1786
N677AW,17.9744
N151UW,18.6219
N801AW,17.4840
N661AW,17.6899
N760US,17.2247
N673AW,17.8395
N675AW,17.8092
N509AY,19.3055
N195UW,18.6923
N567UW,19.0631
N910AW,18.6673
N601AW,17.8780
N971UY,19.0046
N652AW,17.8449
N121UW,18.6039
N658AW,17.8737
N902AW,17.8019
N167US,18.7177
N908AW,18.4505
N256AY,21.1600
N905AW,17.7310
N183UW,18.8740
N906AW,18.0000
N545UW,19.1544
N838AW,17.3655
N562UW,19.2700
N278AY,23.3379
N202UW,18.7766
N252AU,19.6538
N662AW,17.9562
N559UW,19.0808
N825AW,17.5988
N937UW,20.3443
N204UW,18.5275
N815AW,17.1732
N154UW,18.4889
N283AY,24.1649
N200UU,18.5061
N757UW,16.9262
N292AY,22.7818
N107US,18.3006
N941UW,20.2652
N289AY,22.2852
N722US,18.0478
N704US,18.1227
N804AW,17.5611
N745VJ,17.2292
N291AY,23.3214
N251AY,19.4789
N938UW,19.2818
N582UW,19.1745
N539UW,19.2561
N700UW,17.9709
N173US,19.1482
N657AW,17.6142
N721UW,17.6530
N746UW,17.0467
N832AW,17.6534
N293AY,22.8929
N205UW,18.6680
N190UW,18.9530
N523UW,19.2199
N128UW,18.0648
N711UW,17.8252
N935UW,20.4118
N103US,18.1602
N702UW,17.9564
N948UW,21.4430
N153UW,18.6746
N203UW,18.9270
N713UW,17.7991
N546UW,19.4353
N201UU,18.7199
N732US,17.5979
N564UW,19.3786
N162UW,18.8642
N916US,19.2838
N563UW,19.2038
N770UW,17.2618
N575UW,19.0663
N521UW,19.4267
N576UW,19.3439
N660AW,18.0065
N572UW,19.0166
N912UY,19.1987
N126UW,17.9282
N163US,18.5585
N187US,18.6382
N709UW,17.8575
N537UW,19.3078
N548UW,19.5681
N274AY,22.6801
N250AY,20.7805
N279AY,22.3720
N104UW,18.5446
N284AY,23.7582
N724UW,18.0031
N949UW,21.8194
N117UW,17.9957
N550UW,19.3955
N542UW,19.2948
N534UW,19.1449
N568UW,18.8441
N583UW,19.1865
N942UW,20.2520
N656AW,17.8022
N958UW,21.8528
N272AY,24.1111
N807AW,17.2644
N668AW,17.6840
N741UW,18.0014
N524UW,18.9805
N207UW,18.0416
N176UW,18.7737
N904AW,17.5234
N549UW,18.8830
N290AY,22.6372
N672AW,17.9204
N191UW,18.6605
N275AY,22.6419
N571UW,19.4888
N917US,20.8439
N286AY,21.6856
N114UW,18.2440
N659AW,17.7770
N528VA,16.7726
N627VA,18.2013
N844VA,18.2068
N842VA,18.1109
N630VA,18.1502
N847VA,18.0877
N839VA,18.3259
N642VA,18.1032
N626VA,17.9512
N845VA,18.3250
N629VA,18.3295
N638VA,18.3213
N846VA,18.0252
N622VA,18.0773
N361VA,18.3084
N640VA,17.9774
N841VA,18.3568
N838VA,17.9396
N853VA,18.0444
N634VA,18.2688
N636VA,18.2780
N840VA,18.3365
N854VA,18.4653
N835VA,18.3123
N628VA,18.1048
N633VA,18.1537
N837VA,18.2247
N855VA,17.8161
N641VA,18.1520
N526VA,16.8894
N632VA,18.2476
N623VA,17.8172
N639VA,18.0722
N635VA,17.8752
N521VA,16.8818
N637VA,18.1057
N631VA,17.8942
N836VA,18.1119
N848VA,18.4688
N522VA,16.8142
N523VA,17.0907
N527VA,17.0295
N524VA,16.7317
N529VA,16.7460
N625VA,18.4028
N530VA,17.1862
N621VA,17.8851
N852VA,18.5108
N843VA,18.3897
N525VA,16.9340
N849VA,18.2970
N194UW,18.4685
N626AW,18.1127
N822AW,17.4843
N851VA,18.1174
N624VA,18.2122
N230WN,11.9329
N653SW,12.0900
N463WN,11.9779
N634SW,12.1991
N7814B,12.0352
N243WN,11.8597
N8618N,12.6219
N706SW,11.7745
N202WN,11.9378
N927WN,11.9359
N384SW,12.3634
N241WN,11.9725
N685SW,12.1526
N779SW,12.0100
N913WN,11.7911
N786SW,11.9287
N410WN,11.8706
N920WN,12.0947
N201LV,11.8698
N271LV,11.7681
N759GS,11.9109
N203WN,11.8110
N8609A,12.5559
N551WN,11.8489
N443WN,11.8851
N373SW,11.9489
N7741C,12.0692
N8652B,12.5708
N466WN,11.8648
N357SW,12.1778
N658SW,12.1637
N275WN,11.8285
N562WN,11.7579
N8634A,12.6401
N616SW,12.1840
N379SW,12.2385
N967WN,11.9094
N7728D,11.9342
N931WN,11.9198
N436WN,11.8364
N901WN,12.0624
N7711N,11.9354
N359SW,11.8127
N360SW,11.8958
N280WN,11.8756
N777QC,11.9027
N299WN,11.8542
N968WN,11.8071
N916WN,11.9485
N735SA,11.7955
N374SW,11.6415
N409WN,11.8800
N423WN,11.9210
N900WN,11.8095
N233LV,12.0174
N952WN,12.0004
N7815L,11.8103
N958WN,11.9967
N943WN,11.9530
N252WN,11.7601
N7712G,12.0234
N780SW,11.8538
N758SW,12.0209
N279WN,11.9051
N262WN,11.8930
N429WN,11.8224
N7745A,12.1088
N612SW,12.0076
N751SW,11.9623
N614SW,11.9697
N701GS,11.8884
N953WN,11.8304
N234WN,11.9419
N250WN,12.0168
N906WN,11.9538
N720WN,11.8492
N8616C,12.5801
N521SW,9.9811
N515SW,10.1251
N514SW,10.2859
N7751A,11.8917
N622SW,12.4153
N528SW,10.2336
N406WN,12.0588
N8635F,12.5492
N8622A,12.4512
N363SW,11.9408
N526SW,10.1075
N267WN,11.8044
N459WN,11.8652
N8614M,12.5291
N508SW,9.6679
N523SW,9.9515
N601WN,11.8520
N291WN,11.8283
N278WN,12.0066
N8650F,12.4762
N433LV,11.8786
N527SW,10.0446
N926WN,11.8109
N8644C,12.4869
N273WN,11.9424
N253WN,11.8402
N937WN,11.9260
N251WN,11.8401
N376SW,12.2158
N389SW,12.3590
N736SA,11.8624
N288WN,11.9469
N626SW,12.2226
N654SW,12.1123
N340LV,12.0120
N8604K,12.6407
N453WN,11.9687
N628SW,11.9805
N8329B,12.5812
N217JC,12.0063
N610WN,12.0671
N7744A,11.8093
N438WN,11.8854
N231WN,11.8566
N7708E,12.0302
N770SA,12.0276
N480WN,11.8620
N7727A,11.9983
N960WN,11.8454
N707SA,11.9917
N963WN,11.9749
N7740A,11.9357
N933WN,11.9514
N298WN,11.9559
N239WN,12.0253
N272WN,11.8922
N495WN,11.9769
N955WN,11.8461
N8653A,12.6330
N483WN,12.0462
N400WN,11.9275
N940WN,11.8052
N733SA,11.9397
N7702A,11.8756
N962WN,11.8717
N7718B,11.8174
N8305E,12.5399
N8623F,12.6360
N7746C,11.9443
N930WN,11.8453
N708SW,11.8800
N284WN,11.9716
N747SA,11.8065
N765SW,11.9513
N606SW,12.3131
N355SW,11.9569
N497WN,11.7813
N485WN,11.7426
N240WN,11.8496
N8651A,12.3933
N7811F,11.9556
N477WN,11.9943
N403WN,11.8552
N642WN,12.1228
N631SW,11.9585
N8325D,12.7423
N969WN,12.0187
N8306H,12.6202
N263WN,12.1453
N774SW,11.9160
N635SW,12.0701
N648SW,12.1084
N208WN,11.9384
N961WN,12.0827
N7709A,11.8711
N479WN,11.9894
N391SW,12.2225
N420WN,11.9768
N437WN,12.1138
N781WN,11.9462
N625SW,12.2912
N772SW,11.9806
N552WN,11.8657
N476WN,11.9397
N386SW,11.9621
N740SW,11.8972
N602SW,12.0530
N248WN,11.8667
N718SW,11.8946
N629SW,12.1832
N618WN,11.8297
N615SW,12.1430
N691WN,11.3461
N660SW,12.0502
N449WN,11.9017
N296WN,11.8889
N431WN,11.8590
N486WN,11.8418
N684WN,11.8670
N8603F,12.6225
N8613K,12.6503
N924WN,11.9013
N936WN,11.9129
N760SW,11.8636
N8626B,12.5605
N211WN,11.9331
N716SW,11.8692
N204WN,11.9036
N7724A,12.0439
N8654B,12.5011
N8612K,12.6127
N413WN,11.9542
N8633A,12.5787
N435WN,12.0162
N922WN,11.9263
N7749B,12.0049
N432WN,11.9788
N419WN,11.9891
N715SW,11.7300
N790SW,11.8205
N232WN,11.8890
N270WN,11.8772
N793SA,11.8790
N756SA,11.9722
N482WN,11.9073
N797MX,11.9119
N731SA,11.8987
N739GB,12.0424
N929WN,11.8760
N711HK,12.0359
N246LV,11.7535
N494WN,12.0498
N446WN,11.8851
N942WN,11.9207
N7750A,11.8275
N763SW,12.0271
N277WN,11.8291
N934WN,12.0136
N451WN,12.0171
N7704B,11.8826
N741SA,11.9237
N200WN,11.9711
N8648A,12.5133
N218WN,11.8510
N207WN,11.8001
N914WN,11.9431
N247WN,11.8757
N426WN,11.8805
N659SW,11.9327
N457WN,11.8971
N8607M,12.6840
N704SW,12.0207
N705SW,11.8720
N224WN,12.0127
N932WN,11.8116
N7714B,12.0085
N905WN,11.9446
N645SW,11.9089
N617SW,12.0761
N8621A,12.6271
N782SA,11.9630
N613SW,11.9009
N959WN,11.8154
N8313F,12.5290
N297WN,11.9221
N746SW,11.9812
N657SW,11.9940
N269WN,11.8278
N405WN,11.7729
N603SW,12.0516
N441WN,12.0496
N762SW,11.9372
N8627B,12.6152
N8608N,12.5081
N358SW,11.7875
N396SW,12.3497
N8641B,12.5851
N8312C,12.5559
N8303R,12.5420
N439WN,11.8348
N489WN,11.9918
N8328A,12.7073
N212WN,11.8989
N921WN,11.9197
N411WN,12.0148
N8601C,12.8016
N493WN,11.8706
N8315C,12.4335
N8605E,12.6015
N8310C,12.7033
N712SW,11.8771
N245WN,11.8816
N238WN,11.9269
N783SW,12.1135
N7707C,11.8808
N478WN,12.0193
N225WN,11.8382
N8319F,12.6344
N8646B,12.7070
N8321D,12.4439
N235WN,11.7234
N604SW,11.9877
N345SA,11.8323
N257WN,11.8686
N8307K,12.6186
N7813P,11.9572
N456WN,12.0230
N458WN,11.9282
N292WN,11.9094
N293WN,12.0380
N417WN,11.8967
N8645A,12.4979
N444WN,11.8240
N764SW,11.8561
N957WN,11.8888
N221WN,11.8027
N407WN,11.8692
N640SW,12.1056
N227WN,11.8102
N8611F,12.5325
N785SW,11.8472
N294WN,11.8246
N228WN,11.7530
N422WN,12.1081
N467WN,11.9714
N295WN,11.8235
N8327A,12.5134
N378SW,11.8474
N743SW,11.8242
N8642E,12.4509
N7722B,11.9104
N346SW,12.1356
N525SW,10.0910
N646SW,12.1725
N656SW,12.2124
N652SW,12.1323
N742SW,12.0119
N362SW,11.8753
N700GS,12.1101
N206WN,11.7764
N557WN,11.8759
N7733B,11.8804
N8314L,12.5976
N418WN,11.8616
N670SW,12.2075
N511SW,9.8610
N383SW,12.2499
N524SW,10.0339
N749SW,11.8882
N229WN,11.9824
N399WN,12.1382
N792SW,11.9576
N490WN,12.0286
N928WN,11.8962
N258WN,11.8812
N560WN,11.9132
N8632A,12.4598
N522SW,10.0306
N944WN,11.9432
N714CB,11.8540
N352SW,12.0393
N220WN,11.8367
N8638A,12.5479
N638SW,12.1011
N945WN,11.8811
N651SW,12.0385
N7735A,11.9725
N222WN,11.8811
N949WN,11.8576
N475WN,11.9261
N8323C,12.6373
N261WN,11.9119
N427WN,11.8530
N481WN,11.9231
N392SW,12.0099
N371SW,11.5670
N912WN,11.9469
N364SW,12.2059
N462WN,11.9889
N7732A,11.9249
N209WN,11.9607
N951WN,11.9582
N7812G,11.7530
N434WN,12.0401
N255WN,11.7902
N909WN,11.9291
N487WN,11.8635
N395SW,12.0457
N8624J,12.6461
N281WN,11.9710
N442WN,11.8454
N7721E,12.0176
N402WN,11.9883
N226WN,11.8039
N424WN,12.0022
N219WN,11.9280
N609SW,11.9752
N768SW,11.9464
N7726A,11.9316
N948WN,11.9067
N289CT,11.9328
N8625A,12.5454
N470WN,11.8995
N428WN,11.8067
N213WN,11.9420
N918WN,11.9843
N902WN,11.9086
N460WN,11.9264
N619SW,11.9111
N8619F,12.6491
N354SW,11.9970
N401WN,12.0605
N498WN,11.8955
N8647A,12.5048
N421LV,12.0277
N8628A,12.5058
N264LV,11.9666
N236WN,11.8404
N244WN,11.9083
N416WN,11.7701
N697SW,12.0528
N500WR,12.6419
N7752B,11.9707
N205WN,11.6799
N627SW,12.3036
N8620H,12.5705
N769SW,11.8718
N256WN,11.9690
N787SA,11.9015
N559WN,11.7448
N455WN,11.8334
N468WN,11.8159
N947WN,12.0410
N8615E,12.4745
N799SW,12.0103
N8637A,12.5960
N8617E,12.6486
N8629A,12.6203
N8606C,12.5489
N8311Q,12.5245
N950WN,12.1630
N390SW,12.1504
N725SW,11.8131
N237WN,11.8885
N8320J,12.5003
N7715E,11.9096
N919WN,11.9612
N473WN,11.8518
N372SW,12.0129
N954WN,12.0042
N216WR,11.9349
N8317M,12.6122
N8309C,12.6247
N268WN,11.9421
N7703A,11.9688
N8630B,12.6467
N8318F,12.6189
N554WN,11.8770
N608SW,11.9733
N703SW,11.9223
N492WN,11.8515
N795SW,11.9367
N283WN,11.9586
N766SW,11.8724
N694SW,11.9590
N734SA,11.9906
N474WN,11.9065
N415WN,11.8084
N7705A,11.8926
N397SW,12.1017
N611SW,11.9431
N939WN,11.8416
N775SW,11.7791
N910WN,11.8781
N8308K,12.6086
N7742B,11.8268
N649SW,11.8591
N630WN,12.0844
N964WN,11.9128
N917WN,11.8815
N465WN,11.9242
N254WN,11.8750
N7734H,11.9322
N7737E,11.8054
N7720F,12.0122
N249WN,11.9283
N8640D,12.4663
N650SW,11.8864
N550WN,11.7839
N935WN,11.8328
N773SA,11.8972
N778SW,12.0315
N266WN,11.9287
N639SW,12.0732
N8326F,12.6175
N282WN,11.9098
N7736A,11.8744
N8602F,12.5985
N938WN,11.8994
N752SW,11.9226
N369SW,11.7287
N761RR,11.8291
N440LV,11.9183
N754SW,11.9699
N641SW,12.0483
N8655D,12.4317
N8610A,12.6832
N798SW,11.8611
N8302F,12.7321
N915WN,11.7834
N925WN,11.8448
N7706A,11.8079
N276WN,11.9430
N7701B,11.8625
N287WN,11.8066
N637SW,12.2703
N366SW,12.1900
N600WN,12.1492
N7713A,11.8754
N445WN,11.8475
N394SW,12.3192
N907WN,11.8503
N794SW,12.0348
N796SW,11.9364
N710SW,11.9003
N771SA,12.0867
N7747C,11.9173
N8643A,12.5143
N8649A,12.5162
N353SW,11.7867
N709SW,12.0403
N452WN,11.8841
N624SW,12.2708
N663SW,11.7410
N738CB,11.8001
N784SW,11.8201
N223WN,12.0048
N7748A,11.8709
N956WN,11.9060
N387SW,12.0178
N966WN,11.8450
N908WN,11.8242
N946WN,11.8775
N404WN,11.8802
N472WN,11.9043
N7738A,11.9250
N448WN,11.9549
N425LV,11.9004
N356SW,11.8187
N621SW,12.0208
N732SW,11.8293
N7739A,11.9999
N655WN,12.0340
N290WN,11.9188
N491WN,11.8077
N8324A,12.5131
N748SW,11.8376
N8631A,12.5763
N260WN,11.9040
N755SA,11.8715
N488WN,11.9295
N789SW,11.8862
N719SW,12.0569
N727SW,11.9387
N385SW,12.2801
N904WN,11.8242
N367SW,11.8934
N210WN,11.8388
N408WN,11.9714
N767SW,11.9994
N414WN,11.9960
N398SW,12.1339
N620SW,12.1208
N259WN,11.9123
N965WN,11.8322
N454WN,11.9501
N757LV,11.9408
N464WN,11.7493
N7743B,12.0077
N215WN,11.9021
N214WN,11.7947
N717SA,11.8568
N8301J,12.6944
N8639B,12.4609
N8600F,12.6796
N242WN,11.7455
N461WN,11.8065
N556WN,11.9743
N7730A,12.0309
N8322X,12.5139
N388SW,12.0842
N723SW,11.8465
N450WN,11.8721
N941WN,11.7437
N776WN,11.8617
N274WN,11.7603
N737JW,11.8674
N375SW,11.8833
N750SA,11.9028
N286WN,12.0596
N361SW,12.1107
N8316H,12.5207
N412WN,11.8765
N923WN,11.9135
N484WN,11.9945
N447WN,11.8053
N687SW,12.0999
N788SA,11.8451
N555LV,12.1037
N632SW,12.0535
N903WN,11.8298
N380SW,12.1402
N469WN,11.8049
N520SW,10.0653
N724SW,11.9413
N623SW,12.2381
N382SW,12.2459
N265WN,11.9990
N370SW,11.8064
N7716A,11.8662
N285WN,11.9070
N729SW,12.0059
N633SW,12.0876
N636WN,11.8254
N644SW,11.8774
N791SW,11.8229
N7723E,11.8489
N365SW,11.7078
N68805,18.1978
N28457,18.3763
N33262,18.0713
N37274,18.2556
N37466,18.3875
N76523,18.2867
N57852,19.8238
N37273,17.9430
N76526,18.1043
N33132,19.9710
N73299,18.4289
N66828,18.0096
N79402,17.4981
N14118,20.2727
N39461,18.2503
N37474,18.2541
N37437,18.2201
N69838,18.0534
N26210,18.0133
N68802,18.0455
N69839,18.0774
N67812,18.2090
N72405,17.5295
N37408,17.4271
N33714,18.7120
N12238,17.9767
N37409,17.5716
N13718,18.3335
N66825,17.8021
N16701,18.5452
N33284,18.1475
N33209,18.4026
N69833,17.9239
N36472,18.1885
N76265,18.1246
N35204,18.1194
N34137,20.5465
N14242,18.1849
N37267,18.3030
N69824,17.9647
N78524,17.9377
N77518,18.0477
N21723,18.2807
N75433,18.3597
N69804,18.0890
N78501,18.0559
N71411,17.5426
N68821,18.1382
N64809,18.2028
N87512,17.9234
N78448,18.1290
N33203,18.2699
N36247,18.0718
N26215,18.3938
N66814,18.4128
N45440,18.2433
N75410,17.1766
N14214,18.1614
N36207,18.0369
N38268,18.0877
N36272,18.2236
N73259,18.1945
N27421,18.2788
N75861,19.8216
N73276,18.3495
N87513,17.7309
N69819,17.9201
N76269,18.4016
N38467,18.3283
N17244,18.1352
N77530,18.2039
N14219,17.9871
N33294,18.4561
N68453,18.3285
N77258,18.0152
N76508,18.0647
N57869,19.9552
N37290,18.0246
N35271,18.0930
N29717,18.1035
N37255,18.3800
N77520,18.0670
N76505,17.9371
N37293,18.7067
N57870,19.6766
N78438,18.5714
N69806,18.1544
N68836,18.1503
N12221,18.4643
N24202,18.0855
N36476,18.1578
N34222,18.2514
N18112,20.4840
N33292,18.1221
N33264,18.4408
