Dest,Description,count(c.Description)
ASE,Carrier,54
GCC,National Air System,9
GCC,Weather,56
OTH,Weather,53
GTF,Carrier,4
HNL,Carrier,662
EVV,Weather,174
JAC,Weather,124
GEG,Carrier,99
LEX,Weather,345
DIK,Weather,6
MLI,National Air System,140
MSN,Weather,529
RAP,Carrier,28
BIS,Weather,176
OKC,National Air System,188
RDD,Weather,138
RDD,Carrier,9
ORF,Weather,971
BFL,Weather,89
PIA,Weather,284
EUG,Carrier,40
CLD,Weather,7
LAR,National Air System,9
MCI,National Air System,415
ORF,Carrier,412
SJC,National Air System,147
GJT,National Air System,16
MOT,National Air System,14
LNK,Weather,123
TYS,Weather,420
TYS,Carrier,266
TYS,National Air System,345
SGF,Carrier,69
MSO,National Air System,14
ONT,National Air System,114
CPR,Weather,32
GTF,Weather,36
ASE,Weather,935
SAT,National Air System,83
RAP,National Air System,36
MFR,Weather,216
MMH,Carrier,4
FSD,Carrier,82
PSC,National Air System,21
HYS,National Air System,14
HYS,Weather,86
COS,National Air System,70
DSM,National Air System,309
BOI,National Air System,49
BIS,National Air System,20
EUG,National Air System,37
CLE,National Air System,1362
BOI,Carrier,99
FSD,Weather,403
DSM,Weather,454
BFL,Carrier,35
FAR,National Air System,107
GTF,National Air System,5
BZN,Carrier,24
CID,National Air System,226
SBN,National Air System,166
CID,Carrier,67
SGF,Weather,353
SGF,National Air System,182
STC,Carrier,1
STC,National Air System,1
STC,Weather,9
SBP,Carrier,37
MKG,National Air System,26
MBS,National Air System,25
MBS,Carrier,15
FWA,Weather,322
FWA,National Air System,139
EAU,National Air System,16
IDA,National Air System,3
MSO,Weather,44
APN,Weather,101
APN,Carrier,8
BRD,Carrier,4
BRD,Weather,37
BTM,Weather,29
ESC,Weather,66
RKS,Weather,55
COD,Weather,35
COD,National Air System,1
COD,Carrier,2
LIT,National Air System,213
ASE,National Air System,148
FCA,National Air System,6
FCA,Carrier,5
HNL,Weather,56
RST,Weather,234
LRD,Weather,125
PUB,Weather,37
PUB,Carrier,6
YUM,National Air System,3
PAH,Weather,131
PAH,Carrier,11
MDT,Weather,255
PLN,Carrier,14
BQN,Carrier,56
HLN,National Air System,3
RSW,National Air System,170
ABE,Weather,161
LAW,Carrier,91
BRO,Carrier,113
BTR,Carrier,276
LFT,Carrier,90
SJT,Carrier,56
CRP,Carrier,188
BPT,Carrier,51
CLL,Carrier,43
SPS,Carrier,63
GSP,National Air System,339
DAY,National Air System,426
MEM,National Air System,422
SHV,Weather,270
AVP,National Air System,94
GSO,National Air System,529
MLU,Carrier,95
TYR,Carrier,54
ATW,National Air System,120
SDF,National Air System,374
MSN,National Air System,410
LAN,National Air System,110
CMH,National Air System,898
PIB,Carrier,33
CVG,National Air System,852
OMA,National Air System,346
IND,National Air System,723
CHS,National Air System,457
ABQ,National Air System,89
MSY,National Air System,265
LRD,National Air System,67
ROC,National Air System,585
TVC,Weather,236
GSO,Weather,447
MHT,National Air System,215
PIT,National Air System,724
HOB,Weather,49
HRL,Weather,176
FNT,National Air System,133
XNA,National Air System,284
SYR,National Air System,478
CRW,Carrier,79
BRO,Weather,143
BTV,National Air System,371
HOB,National Air System,28
ORF,National Air System,717
GRB,National Air System,184
LEX,National Air System,271
JAX,National Air System,431
ERI,National Air System,39
CAE,Carrier,168
BTR,Weather,295
RST,Carrier,27
AZO,Carrier,29
ABE,Carrier,50
TVC,Carrier,39
AVP,Weather,132
BIS,Carrier,34
ELM,Carrier,15
CAE,Weather,213
TLH,Weather,175
ERI,Carrier,3
AVL,Weather,331
VLD,Weather,23
GRK,Carrier,85
GSO,Carrier,279
TRI,National Air System,12
ELM,National Air System,20
BMI,Weather,185
BMI,Carrier,40
BQK,Carrier,9
GNV,Weather,94
FAY,Carrier,54
EWN,Weather,127
EWN,Carrier,28
ROA,Weather,107
ABY,Weather,22
OAJ,Carrier,32
MGM,Weather,125
CAE,National Air System,121
XNA,Weather,476
LBB,National Air System,92
ELP,National Air System,80
DIK,National Air System,7
MOB,Weather,300
BHM,National Air System,239
SCE,National Air System,40
SCE,Weather,80
FAR,Weather,339
ATW,Weather,190
CWA,National Air System,103
CWA,Weather,156
LNK,National Air System,60
CRW,National Air System,75
TVC,National Air System,140
TTN,Carrier,159
ISN,National Air System,10
ABE,National Air System,62
GUC,Weather,24
BIL,National Air System,11
ROA,Carrier,33
MSN,Carrier,149
TTN,Weather,174
AEX,Weather,157
GRK,Weather,203
DBQ,Weather,86
CMI,Weather,158
CMI,Carrier,22
LFT,Weather,252
ROW,Weather,82
FNT,Carrier,47
ACT,Carrier,92
SPS,Weather,107
HSV,Weather,273
TLH,Carrier,101
ACT,Weather,102
EVV,Carrier,60
FSM,Weather,79
SUX,National Air System,51
KOA,Carrier,108
SHV,Carrier,214
LIH,Carrier,107
ITO,Carrier,34
LEX,Carrier,121
ABI,Weather,153
RST,National Air System,107
BMI,National Air System,77
LSE,National Air System,69
LSE,Carrier,13
LSE,Weather,126
EVV,National Air System,143
ABI,Carrier,13
MHK,Carrier,23
GPT,Weather,196
JAN,National Air System,144
SYR,Carrier,169
JLN,Weather,66
JLN,Carrier,26
XNA,Carrier,148
PIA,National Air System,136
ALO,Carrier,6
ALO,National Air System,37
ALO,Weather,45
GJT,Weather,70
GRI,National Air System,8
GRI,Weather,54
DBQ,Carrier,10
DBQ,National Air System,69
CMI,National Air System,118
VPS,Carrier,168
FNT,Weather,267
GGG,Weather,49
GGG,Carrier,31
AZO,National Air System,130
HSV,Carrier,151
HSV,National Air System,117
COU,Weather,186
ACT,National Air System,39
FSM,Carrier,54
VPS,National Air System,51
SJT,Weather,90
MDT,National Air System,75
MDT,Carrier,60
GRB,Carrier,35
LCH,Weather,125
TUL,National Air System,185
COU,National Air System,65
SAF,Carrier,75
LBB,Carrier,123
GRK,National Air System,68
SUX,Carrier,7
TOL,Weather,104
TOL,National Air System,62
TOL,Carrier,26
GJT,Carrier,15
CHA,Weather,247
CHA,Carrier,97
MOB,National Air System,107
BPT,Weather,66
LAW,Weather,116
TXK,Weather,88
TXK,Carrier,57
COU,Carrier,28
EYW,Weather,125
TYR,Weather,127
