Origin,AVG(CarrierDelay),AVG(WeatherDelay),AVG(NASDelay),AVG(SecurityDelay),AVG(LateAircraftDelay),COUNT(carrierDelay),COUNT(WeatherDelay),COUNT(NASDelay),COUNT(SecurityDelay),COUNT(LateAircraftDelay)
AGS,4.7803,0.5555,2.1200,0.0092,6.2670,1299,150,1387,3,1803
BIS,4.5017,1.0998,2.5368,0.0659,4.9382,755,181,1413,51,1369
FSD,4.2187,1.2234,3.6846,0.0184,5.8828,1690,487,3212,19,2812
DLH,4.0537,2.0967,3.7565,0.0020,7.0404,503,167,1269,3,1306
GRB,3.2151,0.7057,2.7867,0.0026,5.1165,979,237,2290,5,2155
GNV,4.3372,0.9506,1.7045,0.0022,6.1089,1265,198,1379,3,1804
XNA,3.9837,0.9006,4.2865,0.0143,5.7076,2628,695,5226,10,4811
ABE,4.9583,0.6592,2.7072,0.0076,5.7074,1109,199,1476,11,1553
CRW,3.9441,0.9587,3.2316,0.0029,7.9085,1309,236,1725,3,1927
CHA,4.8171,0.6404,3.2204,0.0007,5.9496,2040,308,2935,2,3149
ILM,3.8314,0.3642,2.3429,0.0150,4.8000,1108,126,1388,10,1736
EVV,4.1707,0.8604,3.7898,0.0038,5.1555,1150,164,1820,4,1550
PSC,4.0401,0.5966,2.0795,0.0068,4.4076,565,96,1185,9,1302
SHV,4.9475,0.4817,2.3508,0.0040,5.6471,2494,278,3000,8,3169
BTR,7.3194,0.5826,2.5268,0.0015,4.9119,3527,293,3575,4,3170
CRP,2.1875,0.6643,2.4456,0.0055,5.2642,1071,223,1805,3,2272
HRL,1.9365,0.6577,2.1324,0.0007,5.2310,947,98,1275,1,1760
ISP,3.7211,0.3873,1.9802,0.0249,4.9156,2462,149,2098,13,2362
LBB,2.7155,0.7855,2.0056,0.0034,5.2037,1714,269,2020,5,2725
MAF,2.5169,0.6328,1.9012,0.0210,5.5678,2135,346,2667,27,3861
AMA,2.7974,0.6039,2.7167,0.0109,4.4737,1143,192,1738,9,1913
ITO,1.0000,0.1183,0.1309,0.0004,2.0565,1597,249,195,1,2176
ACY,2.4769,0.2620,5.8355,0.0321,3.5056,1099,85,2434,17,896
