CityName,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
Cedar City,25.9167,75.75,41.0909,26.125,63.75,26.6,9.8667,21.4615,25.5,12.1667,24.4167,36.7308,20.5789,33.2857,121.3,7.8571,10.2222,16.7273,9.2,18.0,39.3636,6.5,25.4667,23.2174,22.0385,9.5625,30.7273,19.7692,17.9167,16.2727,32.6429,28.7857,23.8182,89.3125,22.0,33.0,57.6923,25.2143,22.4167,26.4,21.7,11.6,17.1111,26.8,3.0,42.5,44.2222,44.4211,39.4444,48.5789,48.4667,27.8182,51.8667,70.4375,41.5,47.0,56.5714,55.9333,35.6,40.875
Cedar Rapids/Iowa City,46.7201,51.8008,49.1036,51.9648,43.6906,55.3111,37.5616,35.4749,36.65,42.1789,62.3524,48.8451,53.5938,47.5676,41.3158,40.8889,41.9718,35.4588,42.5341,57.5526,59.1273,38.4625,46.0784,58.9606,55.3083,44.2174,87.6988,50.5618,79.9444,42.7121,57.6294,57.4013,52.049,63.3719,61.9008,51.9926,52.7863,55.2222,37.5381,36.9767,51.8701,55.4151,40.2356,47.2261,44.3702,34.15,49.5144,37.5507,51.3106,63.6818,41.1869,44.8148,44.1896,49.7681,49.5045,50.5795,37.7647,45.1577,34.556,43.9487
Champaign/Urbana,55.8636,63.2698,70.6296,82.55,57.8182,53.7353,54.8214,46.65,41.8485,49.1053,47.7436,75.3778,,,,,,,,,,,,,,,,,,,,,,,,,36.9344,39.2778,32.9412,25.1429,46.575,50.9649,48.1333,50.0333,55.4737,42.8772,47.1316,64.6842,69.2319,98.3088,29.7955,44.5227,54.4459,49.5909,68.2174,42.661,66.5323,54.5373,30.1556,45.4722
Charleston,35.3092,35.6606,33.8803,40.3972,40.4044,48.3551,44.779,43.957,38.3149,37.4337,36.0204,40.5138,36.5202,44.4253,32.6689,33.957,28.4344,46.8668,62.7215,48.8177,37.8697,37.8898,40.7516,44.0193,50.3497,26.6236,42.2508,55.2338,60.2864,54.8818,48.4599,42.0206,46.6806,55.6657,36.6231,45.5,38.6519,46.1225,30.9895,41.559,51.3642,50.3918,48.7621,48.0898,42.1534,35.0541,42.0294,43.4885,41.3091,46.7637,43.0798,47.4904,46.2443,53.2666,53.6284,54.3731,38.6535,41.5964,36.6081,45.1909
Charleston/Dunbar,39.2338,52.6667,33.4587,34.4118,40.494,41.6863,26.0769,36.3333,46.9688,30.625,40.6538,46.7077,39.5846,41.5942,25.3143,37.7846,40.4722,62.907,63.8265,57.4225,64.6724,49.7059,42.2,42.1087,55.0541,61.3947,54.5965,81.4,57.8919,77.3333,35.1316,50.1739,40.3529,35.5652,32.0526,45.8333,52.8605,61.7843,44.876,37.8362,51.0593,74.3051,43.704,59.2231,49.8557,49.0918,56.0417,51.8548,49.6239,75.6724,76.547,80.0505,74.3175,67.487,57.5081,63.5345,49.3613,43.9829,46.6538,63.0429
Charlotte,24.8172,28.1561,26.4915,27.2494,25.8946,35.2644,30.444,35.4438,27.9723,22.4658,21.7617,28.8946,26.7281,31.509,25.0661,27.0729,33.7531,38.7405,39.6091,36.1035,32.527,23.6335,21.0574,29.1882,26.565,25.9883,28.0746,36.5121,30.9734,35.1651,40.5537,31.3717,26.9363,28.6183,23.3125,26.8171,32.6563,37.1422,29.0644,30.8205,35.4563,39.6223,39.9485,40.0462,33.257,27.5321,25.8139,27.9402,27.8432,30.7059,30.1675,43.0131,39.5725,39.8338,42.3017,47.1786,32.1114,31.6413,33.6765,32.1395
Charlotte Amalie,37.801,49.7975,44.8324,37.5769,43.904,41.3696,40.9535,37.6636,58.8125,41.7917,51.3434,57.6273,52.3509,40.8286,41.1588,35.1553,25.7257,57.3056,48.0945,45.3782,71.2407,45.45,29.0962,81.1364,54.6364,60.6071,39.2478,38.0548,45.3917,50.6615,63.9839,44.7815,48.3889,64.1522,47.1892,19.973,26.7917,34.9231,38.7451,54.5574,36.4478,30.186,58.3776,44.1176,57.7632,26.4,52.973,43.9444,48.9057,51.8416,46.7928,30.9495,29.1039,31.9832,57.4854,41.5586,43.7143,33.5192,31.3913,52.5447
Charlottesville,51.2951,62.6552,59.6724,64.9362,36.75,55.9538,39.0794,61.8387,40.9231,38.6364,46.6102,74.6316,68.5333,62.8364,42.2373,45.2,96.8772,35.5769,74.2647,71.5507,43.1481,52.38,63.2553,64.9726,66.7188,73.26,92.8197,39.9821,62.6719,87.8095,89.1569,51.1915,45.6154,76.6944,61.9538,81.25,84.5263,50.3354,35.6259,35.5045,60.2075,78.4596,62.7063,62.2739,42.6852,38.2385,52.75,49.0,57.5042,74.2348,60.1228,61.391,64.8658,85.2824,69.1181,64.0511,61.9242,53.4699,54.6786,55.7955
Chattanooga,26.3494,31.8351,32.7612,33.2963,42.9902,41.4345,34.2222,37.8632,45.7647,38.3187,45.1953,46.5414,46.5701,51.5714,78.6818,52.0154,31.7297,66.4508,62.4889,50.6522,55.2292,50.1754,56.9076,66.4098,80.7279,63.3077,61.087,95.6309,76.0213,76.4947,56.5402,66.5696,44.8,53.4342,60.0526,79.96,57.7415,53.2817,36.1807,45.9824,54.8317,71.075,54.3841,67.1362,54.5899,39.0581,40.9512,44.555,58.0753,64.3051,59.4854,65.5967,46.7621,60.8802,66.5256,62.6484,41.7669,43.9028,36.9829,48.1133
Cheyenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9,40.3333,150.7778,75.9167,46.4615,52.2857,48.6364,90.7333,76.45,78.4167,58.5,176.5,597.5,54.75
