Dest,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
BQN,36.7273,30.7609,40.0794,43.3265,39.6379,38.641,41.2024,30.6413,21.1163,29.0233,21.8545,31.5408,32.7113,41.8714,23.4219,30.0,22.4318,33.5741,45.0588,42.783,46.7593,19.8654,24.6727,37.6667,39.5417,31.4894,42.0341,45.6196,48.2581,52.25,46.6613,44.5952,32.5417,111.5294,30.0952,28.3906,37.7833,34.1304,27.5733,42.9079,45.8478,39.0536,51.5512,55.1132,31.3922,29.6032,31.1354,36.377,36.3861,43.0349,45.9014,47.1139,43.7889,56.3043,67.232,69.625,36.0833,30.2143,27.3467,41.7731
BRD,78.6,47.0,42.8889,23.7143,30.1429,21.8889,13.5,11.8182,175.0,30.75,30.1667,19.5714,39.25,108.125,53.1667,19.0,17.875,32.7857,30.1,30.0,51.0,1.5,172.1429,21.0833,54.1818,14.375,121.0,230.0,42.25,22.0,52.2222,22.7,42.0,39.3333,165.1,98.7857,196.0909,93.5455,40.2857,48.4444,92.75,103.8571,191.8182,27.875,51.4545,23.0,35.625,249.625,168.9333,140.2353,72.75,24.9167,85.3333,25.0,36.3333,49.625,71.7,11.3333,53.1429,112.5625
BRO,34.0,30.125,35.8202,41.8704,33.0,45.11,43.0784,37.6458,25.4,31.2432,24.9211,29.4722,32.625,30.4444,31.6,43.5714,34.1786,46.8154,44.9333,50.3333,26.6667,35.3,57.8,52.7188,63.9048,40.2308,66.9333,31.0,29.4,18.25,25.0769,55.1579,32.5625,40.8125,5.2,12.375,65.1563,63.9362,31.5862,38.8571,48.4474,50.3333,63.3636,69.4167,47.3519,40.5833,47.7018,49.2245,58.3415,54.08,33.2745,49.413,45.0,49.0278,49.3455,56.2154,31.4545,53.0625,38.1739,36.7647
BRW,37.0645,17.0,31.1786,32.25,22.3333,39.5556,24.8,13.8182,15.0,16.7647,44.9333,22.8333,13.8,37.625,14.1111,40.6667,35.1667,40.25,22.75,29.4167,28.0,10.3333,11.8462,35.8636,26.1667,64.6667,26.2174,56.2667,22.3846,43.2143,27.9167,34.1667,30.0,14.3636,123.75,28.4,47.1,26.7778,22.0909,15.75,54.0,43.0,23.0,28.1538,47.25,68.6667,13.5,46.0,20.3333,42.8,15.1429,34.4286,40.375,26.3333,13.1111,11.4286,16.0,6.1429,23.8571,36.0
BTM,4.8333,6.0,7.3333,8.8571,12.2857,21.25,19.0,26.3571,10.0,12.5,52.0,63.5714,91.0,15.0,10.4,30.0,55.3333,8.4,213.6667,21.8889,16.0,17.4,136.0,233.5455,68.7273,5.0,14.2857,35.8333,40.2,20.5,25.8333,24.8333,140.4,296.4286,46.8571,51.3333,4.8333,178.2857,37.3333,28.5556,16.3333,48.6667,29.6,24.9167,28.5,21.8333,17.4286,21.6,143.8333,93.0,95.5714,9.0,35.5,25.0909,25.5,28.4286,7.3333,131.0,26.875,50.4444
BTR,36.6429,35.4038,37.2386,37.249,39.2538,42.1608,31.614,39.5577,35.7913,35.0118,38.0769,41.2074,31.1104,27.1769,45.3291,41.125,41.2442,46.8602,63.7005,52.6043,42.1259,39.8091,40.4463,47.2717,58.5915,35.2871,56.9402,88.2079,59.016,56.6796,66.6154,39.2914,34.5789,51.437,42.2571,45.1752,46.7714,53.4561,48.4245,45.9541,44.1908,50.7898,45.9537,59.2311,56.1916,50.973,32.4526,64.324,47.0861,51.9804,50.7265,72.1713,49.1977,61.5841,45.797,46.6205,37.2162,32.6296,34.9104,45.8552
BTV,42.8571,43.0375,43.8041,49.7791,40.7179,43.314,41.0,31.9327,38.1121,34.8641,40.2787,47.3684,31.1948,40.125,35.2404,30.7865,42.4762,39.1008,46.5577,45.0898,35.2872,26.6807,37.4286,47.9597,35.7879,43.5275,33.0,64.3585,47.6173,48.2689,48.4309,45.027,45.1111,42.9444,21.2813,55.2073,53.1826,42.8168,34.7284,42.0813,50.6971,47.7179,48.5338,60.6012,47.7259,44.7753,55.0749,43.0388,62.2347,55.4626,69.3551,48.711,47.2526,57.5881,60.8505,55.7486,43.3209,48.6324,41.4943,53.6426
BUF,32.0471,33.7455,34.9803,33.1935,31.9841,38.4479,35.4653,36.8725,30.5776,25.3452,23.396,34.6497,32.1437,39.0185,30.5263,31.6017,26.2996,36.3506,45.0734,42.231,32.2525,30.2254,29.8542,39.4544,33.9943,29.107,34.2669,34.4217,39.8969,46.3445,45.5889,37.5792,31.4815,27.5955,25.7662,37.3183,44.4069,36.4918,37.4637,42.5155,37.6453,41.6201,44.393,45.9178,44.475,38.4666,36.1105,37.5111,39.1217,50.7472,36.2985,43.2748,42.0858,40.7841,51.0605,44.3337,34.3086,36.0802,38.9983,49.6263
BUR,26.3184,28.9511,22.974,26.4846,28.2523,26.3989,27.6506,26.9818,21.1848,21.5625,22.5813,27.4961,26.3801,19.4922,24.4531,24.2596,23.9441,28.7052,33.4123,25.1932,20.862,24.2921,21.2123,31.4546,31.3452,23.4169,24.0264,25.7161,26.0197,25.6244,26.3042,31.7094,25.0,24.9282,24.0342,23.8381,28.7814,27.938,28.1864,28.6571,28.5524,24.5598,28.7518,29.784,23.8967,25.4515,30.5556,29.2177,25.2779,35.0347,27.86,25.1743,31.593,28.1254,31.0428,30.4976,26.1594,25.5751,26.184,30.811
BWI,26.5047,27.5108,25.8992,25.8075,28.8446,36.6198,32.5204,33.4968,28.4613,21.295,22.3076,29.464,23.4776,27.9754,24.5492,22.813,25.6864,33.1459,39.2357,34.0115,23.9469,21.1798,18.4959,26.7355,27.9946,24.1185,24.4146,31.1121,28.3135,36.062,33.7939,31.3118,24.3333,21.5113,19.0363,26.6287,28.2008,25.6609,22.09,26.8151,32.9141,31.1473,36.0009,35.5312,28.5774,23.4978,25.212,27.1529,26.2639,31.9449,25.3037,30.2861,31.4296,33.4947,38.1418,32.9995,21.0364,24.634,24.1312,23.2717
BZN,33.8435,25.8837,33.9457,34.6852,31.3111,32.7037,24.5311,31.8882,26.2188,21.3293,32.1094,44.4803,23.0886,27.8485,29.0092,29.4783,33.4844,35.8276,41.0118,36.0579,28.5581,23.7727,31.0488,43.3518,35.0081,28.2778,27.6132,33.5094,26.8529,35.1698,37.5261,36.6457,23.8701,26.9186,32.6389,52.6686,27.9796,37.488,25.1652,40.9615,55.92,31.0879,35.8701,38.447,29.4712,32.1455,30.1739,30.9267,34.4241,40.4044,35.2819,35.3717,39.6731,39.2598,52.1239,33.2271,34.0784,31.175,40.3178,30.2599
CAE,35.9737,38.57,36.2475,36.1234,44.4631,38.6809,39.6024,36.1895,28.8598,32.1714,43.5328,51.2754,45.24,45.871,43.4048,26.2907,48.8889,64.1016,63.6284,45.6508,44.5347,30.8793,37.075,52.3478,72.9223,44.775,47.4513,68.9483,55.9818,46.124,40.5537,42.1619,39.4085,35.0377,28.6957,36.3929,48.9793,41.4034,34.694,34.213,38.5654,48.9264,44.0733,55.5113,39.2069,29.2626,38.1611,37.767,36.067,46.9849,33.729,48.4826,39.7917,48.1754,47.9444,45.5511,41.2778,42.3596,29.3286,48.4086
CAK,32.6488,30.3274,40.6704,24.5665,40.3535,38.5935,45.5823,38.648,29.0561,36.4676,34.675,35.4747,31.8543,35.2632,30.75,32.7042,27.9867,29.7582,40.103,42.5072,30.4583,47.656,31.1648,32.7578,46.6358,39.8818,51.3081,50.7108,42.346,44.8802,52.4709,35.5873,45.1589,48.374,45.4021,61.1377,55.1846,51.8155,43.3522,46.9348,55.4383,62.3058,51.52,57.5458,46.2049,36.6082,51.004,41.6533,44.1882,45.6911,49.4757,51.4475,61.5691,66.927,76.5138,76.4249,52.5375,50.5707,49.0196,65.4195
CDC,52.2,14.6667,38.0,34.6,41.8889,31.0,21.2,22.9,31.8571,22.3333,17.5,50.7273,21.5,61.8571,24.0,14.6667,10.6667,46.0,10.6667,20.2,114.6667,1.0,38.0,35.2857,30.0,9.6667,48.5714,26.5,15.0,40.4,60.5,45.375,17.3,169.375,34.375,54.0,8.0,35.5714,3.625,18.8,29.6,3.3333,17.2857,33.1429,3.4,73.0,6.0,28.9167,39.75,34.7,65.0,42.3333,25.5455,23.7778,12.4286,34.0714,19.5385,36.875,38.4444,37.2143
CDV,36.5385,27.1538,35.4211,21.0556,16.0556,21.0588,22.7333,21.0,32.9286,27.1667,50.0833,20.25,50.0,9.8,41.6,36.875,17.8889,15.1818,26.0769,22.0,5.5,26.3333,29.6667,9.8,17.1667,56.7895,25.6364,10.0,83.1667,24.4167,25.8889,20.0,31.36,52.1538,36.2222,39.6667,14.4,59.5,47.6,27.8421,26.3684,11.6667,14.6875,15.5333,11.5625,43.75,38.6,24.0,37.2222,45.0,12.1053,29.7059,22.9643,33.0,12.0,19.7143,34.6364,12.75,19.1818,49.7368
CEC,70.15,38.2222,41.1765,19.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.9412,42.0,14.8667,37.5455,98.0769,52.5714,47.2778,52.9,81.7143,70.4286,89.65,46.9286,38.5714,74.1154,51.3,98.2692,66.5517,53.2432,114.9024,46.4839,41.0,49.625,71.8889,32.4545,80.125
CHA,30.9432,40.1913,27.6538,27.7295,38.5234,46.2454,30.7009,38.4151,30.6727,31.5769,36.3456,38.3615,35.9904,39.8455,56.6729,46.4595,34.3516,63.146,55.1239,61.4545,37.2927,39.8,55.33,76.4861,86.2292,54.0106,57.1295,70.6688,57.4286,53.2016,55.6832,59.9375,46.4429,36.6702,43.0364,46.7143,58.013,47.6613,31.6936,32.2275,44.5701,58.7053,47.9561,58.915,49.3699,41.5936,37.2489,34.4529,38.3881,52.516,54.5931,46.42,42.2981,48.6194,52.7068,47.7949,41.9123,33.6272,32.474,43.2236
CHO,50.5543,47.1758,44.6571,28.7015,39.9231,37.5,35.1587,46.9663,39.2727,49.1905,41.0896,55.9531,48.7143,48.623,45.3778,53.1071,67.2542,47.0282,50.5181,52.7647,41.0357,64.5667,46.3455,41.2763,74.7143,76.2143,46.9275,40.4314,41.973,76.9273,67.9123,33.7368,44.4091,50.4658,35.7742,91.72,67.646,43.0268,25.5808,29.9538,41.2739,52.5659,41.9943,57.2258,34.1345,36.3806,37.7786,30.2903,57.2619,54.8912,41.3546,47.6364,45.3243,64.0514,78.5106,58.4934,61.8519,50.3882,41.6905,56.3767
CHS,30.9673,33.0099,31.1335,29.9579,28.16,33.2523,30.3965,33.9138,28.1943,26.4431,27.4203,28.0831,28.7583,32.156,28.5978,26.5169,32.1595,34.4843,42.9635,39.4344,32.6782,29.451,35.262,35.7222,40.3009,28.3491,39.3534,47.8224,42.8156,36.4189,35.3816,35.5749,31.2276,32.0829,22.9964,31.9515,35.5672,32.7126,28.3404,37.5291,36.8194,42.3661,38.3438,40.7744,38.6557,36.2487,32.6048,36.6182,37.5114,39.0097,40.1172,41.0236,40.6928,48.764,46.6603,49.2214,34.0647,37.0522,36.135,37.809
CID,39.5584,45.614,37.5529,40.0846,37.0732,43.2231,33.135,33.4036,29.1855,24.3607,36.672,34.3789,30.2576,42.4432,38.4098,32.2727,28.0366,29.9524,40.7473,43.9381,59.4639,38.4865,42.0787,52.2946,57.2033,50.5079,60.8854,50.0244,66.29,47.0492,56.2695,43.7303,44.4646,39.1964,53.8022,55.0455,54.5121,44.4308,42.4184,49.8493,52.3636,53.2636,45.0814,45.573,38.9738,35.8167,34.7937,42.797,43.95,54.821,40.9301,42.963,43.867,52.323,50.9711,42.9195,34.8563,43.4711,29.6583,42.9506
CIU,73.0625,42.1667,46.9231,53.9231,39.5294,26.8333,52.9091,52.2143,29.5556,44.6,46.6667,27.9231,64.7059,46.6111,71.8333,37.0,64.0,16.0,36.3333,19.5714,10.3333,105.2,62.0,83.2308,40.25,38.3,102.3571,29.5294,25.3077,41.0769,115.3889,110.8,63.5333,25.8182,76.6154,49.3333,65.12,99.3,232.0,60.8333,42.1818,31.0,41.375,38.75,17.5385,8.8,38.0909,16.2308,116.6923,79.5238,87.875,36.6,33.4286,121.9375,60.55,53.4167,32.4444,39.2857,55.8125,64.5833
CKB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5714,39.7273,91.4737,64.3571,53.5,37.7647,112.8,94.44,81.5455,132.12,85.1176,54.95,100.2273,49.1818,78.35,72.125,127.8462,52.2143,86.6429,71.8846,43.3333,79.0,105.0714,79.0,64.2778,89.8966
CLD,20.44,41.8113,30.1159,13.6923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,35.398,37.6882,35.5661,32.9556,37.1927,44.002,35.7757,36.7692,33.2551,29.8724,31.0237,39.0842,32.4891,39.1553,36.1317,29.8571,33.3924,38.5197,49.7211,43.726,40.2154,39.3751,30.927,47.1528,42.9482,35.011,39.7426,51.3624,43.1508,45.6373,45.9796,44.5186,36.5145,35.4308,30.7576,39.9713,42.7881,39.7546,39.4574,40.8798,42.1924,43.0167,45.6161,46.1278,41.2856,37.5172,36.4813,34.0768,45.7608,46.6407,39.2087,48.1188,44.6272,51.9902,52.2469,46.4339,40.0755,37.9261,31.9485,41.0633
CLL,30.0649,30.15,31.4138,33.7119,33.9014,31.2286,22.6071,26.3036,26.9697,36.0,18.825,21.8205,51.375,43.1429,48.0,48.0,44.2778,28.6207,56.9565,46.1786,38.05,49.7647,34.5,44.6522,47.037,27.5,45.5385,80.9091,57.4286,33.9444,25.6923,30.0556,24.7222,83.3,82.2353,233.8,38.4706,33.9149,78.5,47.0286,40.6957,72.7174,65.8182,83.3393,89.7609,45.0727,48.1389,47.5152,23.8276,43.6667,57.925,44.3333,76.9259,64.122,43.1395,91.6512,45.5814,36.0,32.625,76.1333
CLT,25.4527,30.5582,25.9559,25.7889,26.2051,29.4843,29.1666,31.6307,26.7529,21.7452,25.2887,28.7004,30.5944,32.7241,26.5591,25.2431,27.884,34.1882,37.8069,37.2951,31.5091,24.0865,24.5636,30.7941,29.3028,31.4911,31.0697,39.5939,32.3592,35.1138,39.7375,31.9092,30.0453,30.1082,27.0637,30.3714,35.1801,39.6438,31.008,32.3327,37.9915,44.1216,41.3226,40.1164,38.6874,33.8572,32.1483,32.7737,34.1589,37.8666,35.4638,48.4775,41.8259,42.9266,42.187,48.9101,36.132,36.4521,39.7723,38.9578
CMH,33.4852,32.0923,31.7143,27.0192,30.0058,35.1416,35.7664,32.1325,26.5383,24.3575,28.171,32.0973,28.2112,31.5212,27.4931,25.3064,27.9389,32.0775,39.7096,34.3493,25.8907,23.7844,24.4457,30.0775,38.7612,25.8071,28.1694,36.3577,28.7357,33.4399,33.3218,29.3599,23.5506,26.6878,25.7398,28.5756,39.6766,34.6118,30.6776,38.9647,38.6806,40.5797,43.6389,41.194,39.2293,32.7189,36.8031,33.3206,40.1211,40.9522,34.9209,38.4603,39.7363,43.4832,43.954,39.8421,33.1426,34.3813,31.5812,35.0287
CMI,47.198,45.5833,36.1385,33.2364,28.8036,36.28,39.4681,21.6296,31.3404,23.2444,39.9623,35.4783,,,,,,,,,,,,,,,,,,,,,,,,,43.1897,37.8113,19.2727,25.9189,36.2609,47.3333,43.8667,51.1458,41.3636,45.5532,26.2041,36.0179,40.8289,56.9867,30.1154,45.1636,48.3929,42.1262,42.8588,46.6667,35.8095,48.4627,34.0984,40.4051
CMX,36.5,46.5789,36.4444,26.0,22.2727,65.5,38.6667,30.6,35.6,19.2,51.4167,36.0,57.3333,45.3333,35.8,40.75,44.6,34.7857,53.65,53.3889,29.4,63.2308,193.7,26.9375,43.0,80.0833,50.25,46.6,19.625,84.4615,70.55,54.15,24.6667,58.4,12.1538,34.4,48.3684,118.3333,29.4667,40.0,78.875,71.52,38.6111,90.3226,169.6842,53.2857,87.0909,68.7857,48.5294,43.5,23.7692,70.56,70.75,95.3,45.4231,68.5385,102.4737,75.3333,144.9333,36.6087
CNY,7.6,37.0,12.8571,7.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4444,54.0556,38.2308,55.5,15.8333,38.0,42.5,69.9,41.0,68.25,103.6923,23.5,21.5,89.0,49.7857,38.619,36.0,50.0,44.8333,95.6154
COD,21.3077,44.3125,23.4,19.5455,25.25,40.875,39.9655,31.5862,9.5,13.0,14.3333,31.8889,79.4286,56.25,34.1111,51.25,12.1111,50.0526,51.8,11.3684,7.4,19.0,34.4286,69.8333,19.4286,51.0,23.6667,16.0,46.625,26.0769,25.5789,51.6364,21.1053,29.7,204.6,68.1538,10.0,34.5714,55.0833,35.7273,40.6667,17.25,2.5,117.1111,32.6923,65.6111,30.0,26.6,52.1667,94.9167,158.1333,30.875,43.36,37.7778,33.1111,57.8571,18.6429,30.25,,33.0
COS,50.985,41.8608,29.2133,34.6798,34.352,44.2667,37.5993,35.3759,27.7048,31.6845,31.9569,38.3439,36.9235,40.8839,44.9684,34.5808,46.0196,46.9248,51.8435,42.0308,30.8353,40.0508,29.0359,39.1554,50.3037,33.0222,37.6211,36.5743,44.5991,50.0435,54.8362,54.0819,42.8462,43.8667,37.7062,51.9898,56.4591,40.1741,30.3122,51.1902,52.7535,55.384,46.5296,60.3779,54.427,50.7425,40.9256,52.4187,48.2541,52.011,51.291,52.178,45.7477,54.119,54.8753,47.8237,38.6211,48.1254,45.3534,48.716
COU,47.7015,43.2586,40.6852,32.8837,65.9825,46.3684,27.2031,26.36,29.1316,25.8333,56.8214,33.9259,,,,,,,,,,,,,,,129.8333,66.5833,60.3,21.0769,41.8235,57.9118,65.6667,47.6111,43.0,61.6757,46.78,54.3019,58.6296,55.8431,42.082,70.3231,45.7,60.1379,58.4182,38.25,44.8537,38.2326,52.1905,75.6038,47.3906,48.9032,43.7805,53.9672,63.0154,51.8913,32.3158,48.878,42.0862,41.4459
CPR,32.7937,28.3878,21.6875,27.7143,29.55,29.619,27.8358,26.4483,31.6471,30.3333,23.1923,21.08,47.125,47.0,40.0,46.56,33.3611,36.5417,31.3077,37.1667,18.0,23.8,15.5,41.56,36.8421,28.7778,38.0833,60.75,58.0,15.8,25.2,40.2,62.0,21.5833,22.1,37.4375,105.9167,80.6923,33.25,16.3333,27.0,26.8846,18.2857,16.5556,11.3,10.8182,35.0,24.85,10.1111,17.2727,27.0,16.5,14.3478,25.3235,49.1667,57.0789,20.8125,25.3333,12.5,60.12
CRP,31.1912,29.6585,31.1695,34.032,39.2093,43.0629,25.375,37.0313,26.2593,28.5922,28.3182,30.9823,20.4444,31.2903,21.9365,24.7973,28.4894,28.31,36.9556,28.0676,17.102,16.0571,25.209,24.4659,27.5714,31.2273,28.7955,35.029,32.9352,35.4321,45.1429,35.6197,27.1087,34.0702,73.3333,31.3889,43.0541,37.9226,31.0256,37.9587,39.3889,34.442,39.9826,52.1161,49.9557,50.8882,30.8954,44.0833,27.5385,35.0067,29.6963,36.6547,47.1696,43.8343,44.3171,34.4759,48.5789,36.1263,38.8654,49.8295
CRW,41.2059,58.1132,34.9898,30.5658,39.4557,37.6071,29.087,41.375,43.0,25.6875,32.6393,39.8,32.2963,52.8364,36.7647,39.3103,27.6267,36.2471,50.8765,44.5616,35.0323,30.1739,32.5106,50.4426,48.973,40.3721,38.127,54.4146,73.0968,70.0645,41.4667,38.5172,33.9474,41.8947,31.1111,60.48,53.7586,44.7798,38.9386,43.0859,43.8538,70.2358,43.0444,61.4336,30.5667,33.544,45.6716,43.0677,34.4021,49.6481,38.2975,57.4729,47.424,44.2647,55.5779,62.2177,43.0427,34.1557,49.5957,59.8889
CSG,57.6154,39.5667,29.525,33.2258,36.04,38.6818,40.6786,34.4857,38.3548,28.1212,33.3548,55.0476,41.0909,35.6389,31.6957,39.0714,65.25,39.0789,53.3721,46.4118,29.0323,33.375,38.3846,30.4167,35.3462,34.0,45.55,54.6129,68.7576,47.8235,38.2667,45.6522,36.6,,,,38.2778,38.2258,37.0714,39.0,22.4762,49.0909,48.0357,44.3889,33.2105,47.8462,101.4286,28.5385,53.0,57.25,42.6957,46.8077,32.4706,73.1842,56.2759,30.2222,48.9333,26.5938,75.0,20.9091
CVG,34.4089,40.7655,30.7544,29.9832,33.9019,36.9105,38.2036,30.3407,30.7888,25.7823,29.998,36.7172,36.2743,36.4462,34.8788,39.9713,34.0812,39.9536,40.42,46.8575,34.8161,31.3173,26.0712,50.5626,46.5,37.5018,33.4246,50.0385,37.8145,40.7278,49.008,45.1272,26.9977,42.0693,33.9928,42.7103,42.8983,40.9974,36.4102,41.3607,48.8987,48.7899,51.5495,48.3801,46.814,36.5731,42.9062,38.2015,46.4367,46.9871,40.3489,44.457,46.7619,51.9082,49.6768,49.2421,41.3704,42.4759,36.3347,41.6228
CWA,59.3889,44.9851,33.0784,37.0571,29.3478,41.72,29.7907,26.9773,37.3659,21.7826,34.8,32.7,26.3333,32.6842,23.8,38.4,38.8462,36.55,42.0455,45.75,50.5714,23.75,57.8667,31.913,47.7857,27.7143,59.9804,61.2188,44.7273,59.3333,63.9492,49.4737,56.8,28.2667,38.8182,56.0,39.7907,68.3462,51.122,39.8837,47.3846,26.0833,39.28,34.4364,57.7429,26.3,26.7059,65.95,36.2759,70.6316,78.878,55.3667,60.175,69.6471,55.4167,77.587,38.1667,46.6341,42.4412,106.7674
CYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.75,30.7,95.2,50.375,36.7143,28.6364,76.75,112.0526,61.3571,98.4444,29.75,13.6667,16.0,83.2222
DAB,17.2813,30.1786,20.0741,22.9,31.8333,32.3559,29.2642,28.1569,18.9375,12.5484,12.6154,46.2381,16.4,20.6066,35.0588,21.4821,24.9091,37.7813,44.4306,45.6528,15.439,25.4333,15.7179,42.3556,46.2889,25.6154,18.8846,61.0625,25.5244,27.0357,27.5397,20.0328,27.1081,12.7174,15.8077,20.88,27.3093,33.8125,19.2459,24.809,29.1351,53.7463,40.512,38.3793,35.0448,20.5517,26.0762,38.2973,17.3231,34.3855,21.6,42.4409,25.8267,34.178,39.5638,33.8846,26.7045,22.5778,27.9577,29.4948
DAL,24.3981,26.1461,24.1004,24.6519,34.335,30.2956,28.1621,27.1331,20.3209,23.4885,22.4545,28.0734,20.3687,18.8905,24.2854,24.8746,24.2242,35.6054,37.0069,27.1753,19.984,16.6781,20.0218,24.8014,26.9473,19.0091,22.3234,26.1325,25.8773,30.2407,27.1402,26.8051,19.7021,20.0354,18.2657,24.2104,21.7225,23.7752,21.7251,25.4485,29.0132,26.6648,30.02,28.6151,27.1767,24.1689,22.5127,25.1545,21.0415,26.7732,20.3502,24.0672,28.8264,28.1377,26.0842,22.8481,23.319,22.802,18.9289,21.6437
DAY,33.1599,33.7516,30.4702,28.2461,32.7661,36.2529,40.565,30.7419,31.95,23.0051,30.6162,38.8101,41.548,33.0455,29.7644,29.2071,26.8982,39.4524,49.0769,38.4545,24.2248,30.904,27.3969,34.366,43.2605,30.9403,43.0388,42.6954,32.9333,40.193,45.9859,48.3385,36.9778,33.0155,40.6941,38.5077,46.7788,59.6482,44.0888,36.4118,43.9025,57.2361,52.1678,47.22,40.3176,36.8875,41.9112,37.8086,43.2063,44.5268,44.1188,55.8522,51.9358,58.9748,55.778,55.6432,50.7932,48.5255,50.4437,49.8021
DBQ,42.6571,47.1429,29.7037,33.125,19.7826,29.6552,32.0,28.5789,29.3,24.5,72.4545,28.0,,,,,,,,,,,,,,,,,,,,,,,,,34.16,34.8077,16.8889,18.0,48.0667,36.25,29.1429,30.8947,52.6667,28.5333,29.5556,37.0,27.7333,36.963,37.7917,49.0,42.75,51.475,50.3611,40.3077,58.3333,33.4667,28.5,34.0667
DCA,30.5636,31.9111,30.0358,26.8424,31.708,39.9019,33.4684,34.9487,30.6493,24.1265,26.365,34.9829,27.4374,33.9137,29.6486,29.2301,29.7384,40.6483,46.497,40.3684,30.1586,26.8064,25.106,33.1465,32.5847,26.243,29.0215,42.7197,35.4954,43.277,45.9748,35.7322,29.1588,26.7446,26.0039,34.4521,42.493,34.404,32.0821,34.806,44.9284,44.3439,45.2587,46.7555,41.4508,36.8049,39.318,36.1345,44.758,44.1367,36.9334,42.6946,44.9873,45.9396,54.3842,49.1947,38.864,39.0009,34.4265,43.8466
DEN,34.4562,33.805,30.3572,30.5658,30.5656,40.3807,35.0689,32.122,26.9703,26.0258,32.9567,38.6415,28.9946,31.0018,34.1324,29.3285,33.2738,36.1999,39.2199,35.2166,29.5957,27.2822,27.8921,37.414,37.9724,31.2288,38.0347,33.1928,33.6911,33.9322,39.3808,34.7313,28.7998,28.7491,25.9619,33.5128,35.3296,33.9291,33.9715,33.1453,36.2708,39.4275,41.5808,40.4921,35.6197,34.2077,34.0911,32.6145,36.7871,41.3764,40.1253,36.1353,39.3608,50.1461,44.9551,41.7232,35.2349,41.5423,37.8321,36.8871
DFW,40.5895,39.1723,37.8687,45.6014,47.8191,46.3173,37.128,40.0882,35.9061,40.0519,40.7689,42.6185,38.0635,38.0089,44.8929,45.397,45.1308,49.7007,51.8221,55.699,35.9078,32.7441,36.873,42.2705,45.5219,36.6784,41.6175,53.4488,41.8898,52.974,44.4031,41.7838,34.1571,36.651,30.8785,40.1147,39.0036,49.1203,34.7853,38.2846,49.4217,45.3887,48.2656,48.3266,49.7341,49.8337,37.164,41.5228,39.2594,46.0908,44.3251,51.6541,58.1807,53.1422,47.7863,49.9073,42.7653,50.2264,37.3885,44.5531
DHN,52.9429,30.5357,29.0513,27.7045,30.3333,45.0,27.75,30.4,33.0,24.0323,30.4865,42.3913,49.878,54.5476,39.7857,40.4762,33.1923,48.375,83.875,41.85,47.973,28.2759,54.1667,48.4,56.025,58.3214,74.0588,92.4211,29.7273,62.7895,54.5,48.1935,40.0625,40.1563,20.7222,79.3214,68.6522,100.4231,41.7419,54.5,32.9773,61.2857,25.9706,41.5882,34.7576,39.3889,47.4222,35.931,40.4,46.2353,43.9459,37.7436,41.9615,48.1935,41.7045,44.6061,36.1379,40.9245,20.7333,36.6667
DIK,33.1892,33.7429,27.2,41.6667,56.0,19.5714,13.2727,8.5,11.0,17.3333,24.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLG,,,,,,22.0,50.5,2.0,,,,,,,,,,14.6364,7.5,73.0,,,,,,,,,,14.2857,11.0,45.0,,,,,,,,,,56.0,16.0,24.4286,,,,,,,,,,10.7778,16.3333,72.4,,,,
DLH,42.8333,36.5094,23.2581,32.9143,33.4615,30.9661,37.2766,42.9808,36.9464,23.7727,53.2444,41.7174,43.6667,34.525,38.625,36.122,35.0256,33.5714,60.7231,44.7805,82.0968,39.8205,64.84,59.1579,23.9,34.0,35.5,58.303,34.0345,52.0938,55.1176,52.3947,35.3889,75.1452,87.4314,42.403,47.6667,38.7761,34.1148,45.4516,80.4026,72.2,45.3289,52.4894,38.9375,49.039,55.9483,32.6545,64.5965,70.1563,39.0781,86.32,74.5846,77.681,45.8077,46.1171,105.1735,68.7447,27.3194,69.0722
