Dest,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
ALB,33.7821,31.6375,30.0155,27.938,30.1233,31.4597,36.8302,32.64,26.5219,23.4477,27.3745,27.7138,28.9373,23.5933,27.9353,27.3095,28.8259,34.6886,44.2281,36.413,25.9231,21.9557,32.4493,31.6864,38.0868,28.1067,23.9199,35.3754,28.0693,40.5239,46.9818,38.1199,23.3301,27.0735,24.3705,32.1289,35.8756,31.0347,28.8983,32.4734,35.5167,34.6696,36.8333,40.6813,30.785,29.8765,31.8281,35.2701,36.5413,38.7016,29.7854,39.4509,33.4093,40.5596,48.3737,37.6716,33.3646,29.233,26.0095,41.0224
ALO,62.3704,46.5667,32.8333,19.5,34.2778,28.9565,49.5333,37.1667,54.2727,23.1429,73.8,19.4286,,,,,,,,,,,,,,,,40.65,75.9444,52.5,68.7222,87.5333,48.5833,72.8421,37.9286,27.1111,30.8947,19.3571,14.9091,28.1429,24.4444,25.3158,11.0,31.25,46.8571,15.5,45.0,18.8947,34.4706,63.0,27.4286,72.0,30.3333,44.1154,41.3077,42.0714,31.4762,30.0,33.7692,42.4348
AMA,31.3529,27.6667,25.4109,29.708,30.7293,32.1667,33.2595,25.2556,16.3462,26.1818,26.7143,20.6,24.3,17.7209,26.1034,21.878,23.1895,42.4565,36.0495,28.6667,20.5882,21.8953,25.9296,29.1364,31.0778,19.9583,23.6351,30.3699,28.2796,30.5865,26.3617,30.1982,23.6207,22.4805,19.1159,24.6306,24.7522,29.2517,33.5469,30.5793,38.5827,41.255,32.886,36.0947,41.7095,33.6497,45.649,39.5063,35.1406,44.7172,33.8939,40.2463,44.7989,38.5,37.5245,40.2897,39.6373,47.9329,34.1295,59.2874
ANC,27.7451,29.0029,25.6499,20.4286,18.9711,24.7627,23.7198,23.5933,24.2269,27.073,28.3434,22.2535,22.5563,20.5019,22.2677,19.7749,19.0546,22.3198,24.1888,26.2255,20.423,21.0234,18.7979,26.5274,29.8037,32.6144,22.7469,24.9329,19.8345,23.367,24.6015,21.6219,22.6198,23.447,28.7853,25.9332,21.4191,21.4821,23.2879,21.7732,21.719,22.3594,24.3203,27.7924,22.8547,26.3413,34.3492,23.694,23.6196,33.6243,19.2,26.7027,26.4345,24.6523,27.923,23.789,22.2713,20.1659,21.1145,29.2589
APN,75.6667,68.8333,48.3333,65.75,49.6,61.2857,64.0,28.75,43.4444,52.0,40.3333,109.6667,92.0,75.1333,38.0,107.0,78.5556,52.3333,27.3636,108.9333,121.4444,54.5556,40.4,54.3462,44.4375,67.375,35.875,83.4,33.6667,63.8889,57.8333,43.3,124.2308,49.2727,149.5,87.2917,136.5333,80.9,215.4,28.0,40.5,9.3333,25.3571,65.3,30.0,23.1111,88.7143,131.2857,54.6923,101.1111,104.7778,78.4615,31.0909,50.0909,47.2,26.5263,39.8889,56.5,58.0,199.5385
ART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2727,36.8667,56.3333,60.0952,66.8636,,,,,,,,
ASE,39.0572,34.5907,25.8038,23.4151,30.7222,38.3934,34.2124,33.6341,29.5,42.0,32.9412,57.9712,33.3641,31.2696,34.5058,22.4493,23.6316,26.8941,35.8662,36.8444,35.0862,29.5556,124.8846,54.4291,54.8134,50.7686,46.4223,35.4634,111.1538,54.2797,86.4013,69.9306,36.2909,47.5897,64.6757,70.7597,61.6347,63.1616,54.6457,61.5932,52.5962,61.3904,62.8596,63.6474,66.3896,83.1566,79.4925,64.1122,71.7637,65.511,74.4574,25.4717,52.9855,58.5784,52.3867,70.6154,38.3548,127.6623,45.4186,66.3975
ATL,31.5482,35.5435,30.2542,29.3516,37.553,39.0397,33.3184,34.5254,28.7546,26.9533,28.4587,42.6324,33.023,35.7868,31.4299,30.0363,29.6318,40.4827,49.0363,56.9197,30.7789,27.1021,28.0219,34.1061,48.2024,31.0169,33.0573,64.1134,34.3242,40.7276,38.2882,31.5496,31.2123,29.3031,22.6918,39.318,46.4634,37.4275,27.6436,32.0811,33.6649,51.1956,42.1234,40.5969,32.6784,27.7932,32.3934,33.1507,31.4823,39.3435,32.0545,39.9701,35.3699,46.0784,46.8911,38.4403,30.7299,30.4166,25.474,30.592
ATW,43.5479,39.6563,28.0921,30.5246,42.2381,34.4355,32.0,36.3478,24.5909,32.561,31.6596,40.9577,37.9508,31.1373,37.0667,32.04,30.3019,63.8108,42.9853,32.4333,35.5538,41.9692,44.6081,45.8434,79.4386,31.6667,77.3143,89.4655,54.434,53.3778,53.7476,56.6364,38.5385,59.9286,66.3448,48.75,68.3333,56.9625,37.9155,45.7684,39.9913,45.25,56.4151,50.1639,24.6875,39.8462,32.4878,57.25,70.8462,51.92,34.2716,38.275,34.73,47.4435,57.8712,30.9158,46.3158,69.5067,36.5474,69.7895
ATY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3333,47.7,92.9048,89.4286,42.9444,59.2222,36.7222,28.3636,31.6875
