Origin,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
BDL,103.0,127.0,35.0,6.0,5.0,27.0,9.0,20.0,6.0,6.0,10.0,14.0,37.0,20.0,4.0,9.0,9.0,18.0,31.0,23.0,2.0,14.0,3.0,31.0,12.0,70.0,89.0,36.0,12.0,27.0,26.0,20.0,88.0,11.0,3.0,22.0,129.0,55.0,222.0,19.0,41.0,51.0,40.0,32.0,14.0,8.0,28.0,13.0,107.0,75.0,49.0,49.0,36.0,39.0,49.0,31.0,38.0,30.0,9.0,28.0
BET,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,5.0,0.0,1.0,9.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,1.0,6.0,4.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,6.0,0.0,2.0,3.0,2.0,0.0,0.0,5.0,3.0,0.0,4.0,5.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0
BFF,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,4.0,2.0
BFL,5.0,2.0,2.0,3.0,4.0,2.0,5.0,9.0,2.0,0.0,2.0,6.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,7.0,2.0,2.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,6.0,2.0,3.0,1.0,4.0,1.0,4.0,4.0,3.0,5.0,8.0,4.0,4.0,2.0,2.0,4.0,2.0
BFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0
BGM,,2.0,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,7.0,2.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
BGR,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,2.0,8.0,1.0,1.0,0.0,0.0,,,,2.0,,8.0,7.0,10.0,7.0,1.0,2.0,0.0,0.0,30.0,8.0,50.0,9.0,3.0,8.0,23.0,22.0,5.0,3.0,14.0,2.0,14.0,11.0,8.0,5.0,5.0,16.0,21.0,14.0,7.0,5.0,3.0,8.0
BHM,12.0,37.0,22.0,9.0,14.0,27.0,16.0,13.0,5.0,3.0,5.0,21.0,16.0,15.0,9.0,12.0,8.0,15.0,26.0,20.0,3.0,5.0,2.0,18.0,20.0,6.0,15.0,21.0,4.0,12.0,10.0,51.0,42.0,1.0,2.0,23.0,41.0,19.0,18.0,17.0,14.0,66.0,33.0,34.0,20.0,21.0,16.0,25.0,34.0,26.0,27.0,30.0,63.0,61.0,39.0,63.0,31.0,14.0,16.0,11.0
BIL,3.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,3.0,7.0,5.0,0.0,0.0,2.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,7.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,2.0,4.0,4.0,1.0,3.0,1.0,6.0,0.0,5.0,2.0,3.0
BIS,3.0,12.0,5.0,5.0,4.0,8.0,4.0,3.0,1.0,1.0,6.0,9.0,3.0,4.0,7.0,5.0,0.0,4.0,1.0,3.0,0.0,0.0,3.0,15.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,3.0,13.0,5.0,12.0,7.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,10.0,9.0,9.0,7.0,6.0,4.0,3.0,4.0,2.0,12.0,4.0,7.0
