Origin,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
BQN,3.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,9.0,4.0,1.0,5.0,0.0,1.0,5.0,4.0,1.0,5.0,0.0,6.0,4.0,2.0,3.0,3.0,5.0,5.0,8.0,1.0,63.0,33.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0,3.0,8.0,0.0,0.0,2.0
BRD,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BRO,12.0,14.0,15.0,8.0,14.0,8.0,3.0,5.0,1.0,8.0,3.0,14.0,4.0,2.0,3.0,7.0,5.0,6.0,12.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,14.0,7.0,0.0,0.0,0.0,11.0,5.0,4.0,1.0,3.0,3.0,7.0,9.0,9.0,16.0,7.0,6.0,3.0,15.0,4.0,7.0,8.0,9.0,3.0,2.0,7.0,3.0,4.0,3.0
BRW,0.0,4.0,1.0,1.0,2.0,2.0,9.0,5.0,2.0,1.0,1.0,0.0,2.0,6.0,5.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0
BTM,3.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTR,15.0,31.0,34.0,13.0,24.0,13.0,4.0,8.0,2.0,11.0,5.0,14.0,3.0,4.0,5.0,14.0,12.0,21.0,9.0,51.0,2.0,0.0,2.0,5.0,23.0,3.0,3.0,15.0,8.0,0.0,5.0,21.0,23.0,2.0,0.0,21.0,31.0,3.0,6.0,1.0,6.0,9.0,2.0,12.0,8.0,5.0,5.0,37.0,13.0,7.0,10.0,25.0,32.0,24.0,35.0,7.0,13.0,7.0,0.0,3.0
BTV,10.0,13.0,9.0,5.0,2.0,15.0,5.0,3.0,2.0,3.0,8.0,17.0,19.0,12.0,3.0,4.0,4.0,14.0,37.0,23.0,9.0,5.0,4.0,17.0,8.0,15.0,18.0,11.0,12.0,8.0,13.0,13.0,4.0,12.0,0.0,5.0,56.0,22.0,93.0,26.0,19.0,24.0,40.0,46.0,11.0,9.0,28.0,10.0,61.0,22.0,9.0,19.0,8.0,26.0,38.0,31.0,9.0,4.0,6.0,8.0
BUF,48.0,74.0,36.0,19.0,7.0,36.0,21.0,22.0,10.0,8.0,21.0,23.0,56.0,46.0,11.0,11.0,7.0,17.0,62.0,37.0,8.0,16.0,10.0,46.0,29.0,22.0,67.0,37.0,24.0,39.0,47.0,40.0,31.0,10.0,2.0,15.0,121.0,46.0,118.0,71.0,41.0,46.0,71.0,80.0,30.0,5.0,30.0,12.0,171.0,129.0,31.0,53.0,30.0,36.0,71.0,56.0,20.0,12.0,22.0,27.0
BUR,41.0,30.0,25.0,26.0,20.0,36.0,28.0,43.0,27.0,13.0,13.0,26.0,60.0,25.0,55.0,22.0,15.0,27.0,51.0,19.0,4.0,26.0,11.0,51.0,70.0,88.0,40.0,28.0,19.0,31.0,38.0,49.0,34.0,37.0,27.0,18.0,49.0,36.0,39.0,45.0,39.0,31.0,34.0,46.0,34.0,26.0,28.0,48.0,83.0,160.0,120.0,93.0,114.0,81.0,89.0,79.0,85.0,74.0,48.0,63.0
BWI,158.0,335.0,332.0,44.0,71.0,260.0,52.0,145.0,31.0,20.0,31.0,74.0,631.0,180.0,34.0,28.0,20.0,176.0,264.0,78.0,15.0,84.0,8.0,128.0,150.0,106.0,369.0,67.0,76.0,151.0,126.0,254.0,284.0,31.0,16.0,100.0,201.0,98.0,474.0,65.0,229.0,219.0,396.0,336.0,107.0,28.0,111.0,56.0,307.0,344.0,322.0,307.0,293.0,223.0,261.0,195.0,116.0,67.0,59.0,77.0
BZN,2.0,3.0,2.0,4.0,0.0,5.0,3.0,3.0,1.0,1.0,2.0,14.0,2.0,3.0,4.0,3.0,1.0,0.0,4.0,6.0,1.0,1.0,0.0,6.0,5.0,5.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,8.0,5.0,2.0,4.0,3.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,4.0,8.0,4.0,10.0,4.0,1.0,4.0,2.0,2.0,1.0,3.0,7.0,7.0
CAE,16.0,23.0,17.0,3.0,8.0,8.0,4.0,3.0,2.0,20.0,4.0,6.0,3.0,9.0,4.0,3.0,3.0,2.0,12.0,13.0,1.0,1.0,0.0,5.0,5.0,1.0,6.0,19.0,2.0,7.0,5.0,9.0,5.0,0.0,1.0,13.0,10.0,3.0,8.0,8.0,10.0,50.0,9.0,6.0,33.0,10.0,3.0,14.0,8.0,6.0,3.0,12.0,11.0,12.0,14.0,17.0,0.0,2.0,6.0,1.0
CAK,8.0,26.0,23.0,5.0,1.0,11.0,5.0,4.0,2.0,2.0,5.0,10.0,11.0,12.0,2.0,2.0,1.0,3.0,19.0,19.0,0.0,1.0,6.0,13.0,16.0,7.0,18.0,14.0,8.0,6.0,8.0,7.0,13.0,9.0,1.0,4.0,22.0,23.0,24.0,9.0,13.0,40.0,20.0,16.0,9.0,6.0,12.0,14.0,20.0,30.0,7.0,17.0,11.0,11.0,15.0,22.0,11.0,3.0,6.0,14.0
CDC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDV,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
CEC,1.0,7.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,5.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0,10.0,9.0,3.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,3.0,0.0
CHA,7.0,31.0,8.0,3.0,2.0,8.0,2.0,2.0,0.0,2.0,2.0,5.0,3.0,2.0,1.0,0.0,0.0,6.0,3.0,7.0,0.0,0.0,3.0,11.0,10.0,3.0,9.0,22.0,2.0,2.0,9.0,4.0,6.0,3.0,1.0,14.0,21.0,11.0,10.0,9.0,6.0,25.0,14.0,12.0,10.0,3.0,7.0,13.0,41.0,11.0,12.0,11.0,6.0,12.0,16.0,16.0,4.0,6.0,4.0,7.0
CHO,18.0,28.0,11.0,3.0,5.0,5.0,13.0,6.0,3.0,1.0,3.0,5.0,12.0,11.0,4.0,0.0,2.0,1.0,7.0,3.0,1.0,0.0,1.0,3.0,7.0,1.0,4.0,7.0,2.0,7.0,9.0,2.0,5.0,3.0,4.0,8.0,19.0,17.0,24.0,9.0,11.0,25.0,12.0,20.0,16.0,5.0,17.0,27.0,26.0,23.0,5.0,16.0,12.0,13.0,25.0,23.0,17.0,4.0,4.0,16.0
CHS,33.0,57.0,31.0,9.0,13.0,31.0,22.0,9.0,1.0,2.0,10.0,18.0,37.0,14.0,8.0,8.0,8.0,14.0,47.0,28.0,12.0,103.0,7.0,19.0,16.0,20.0,20.0,28.0,20.0,15.0,22.0,30.0,44.0,12.0,3.0,21.0,274.0,16.0,59.0,19.0,27.0,61.0,57.0,65.0,248.0,39.0,18.0,16.0,38.0,31.0,23.0,48.0,45.0,33.0,65.0,51.0,162.0,15.0,9.0,14.0
CID,29.0,54.0,22.0,15.0,13.0,24.0,14.0,12.0,7.0,3.0,17.0,17.0,7.0,13.0,7.0,2.0,2.0,6.0,6.0,7.0,1.0,0.0,0.0,10.0,16.0,2.0,10.0,9.0,2.0,7.0,12.0,8.0,2.0,3.0,1.0,6.0,15.0,33.0,10.0,6.0,12.0,30.0,11.0,15.0,12.0,12.0,21.0,5.0,60.0,77.0,8.0,15.0,18.0,21.0,23.0,11.0,11.0,9.0,11.0,7.0
